Ticker,Class_x,Date,Shares,Value,Shares_Change,Value_Change,price,PRC,Class_y,Last_PRC
BXLT,COM,201606,0,0,-10591296.0,-427888000.0,40.399966160892866,40.399966160892866,,
CAREMARK RX INC,COM,200412,5522226,217741000,5522226.0,217741000.0,39.42993278435182,39.42993278435182,,
CAREMARK RX INC,COM,200501,5522226,217741000,0.0,0.0,39.42993278435182,39.42993278435182,,39.42993278435182
CAREMARK RX INC,COM,200502,5522226,217741000,0.0,0.0,39.42993278435182,39.42993278435182,,39.42993278435182
CAREMARK RX INC,COM,200503,4919826,195711000,-602400.0,-22030000.0,39.780065392556565,39.780065392556565,,39.42993278435182
CAREMARK RX INC,COM,200504,4919826,195711000,0.0,0.0,39.780065392556565,39.780065392556565,,39.780065392556565
CAREMARK RX INC,COM,200505,4919826,195711000,0.0,0.0,39.780065392556565,39.780065392556565,,39.780065392556565
CAREMARK RX INC,COM,200506,3526026,156979000,-1393800.0,-38732000.0,44.5200914570681,44.5200914570681,,39.780065392556565
CAREMARK RX INC,COM,200507,3526026,156979000,0.0,0.0,44.5200914570681,44.5200914570681,,44.5200914570681
CAREMARK RX INC,COM,200508,3526026,156979000,0.0,0.0,44.5200914570681,44.5200914570681,,44.5200914570681
CAREMARK RX INC,COM,200509,3055826,152577000,-470200.0,-4402000.0,49.929871661540936,49.929871661540936,,44.5200914570681
CAREMARK RX INC,COM,200510,3055826,152577000,0.0,0.0,49.929871661540936,49.929871661540936,,49.929871661540936
CAREMARK RX INC,COM,200511,3055826,152577000,0.0,0.0,49.929871661540936,49.929871661540936,,49.929871661540936
CAREMARK RX INC,COM,200512,0,0,-3055826.0,-152577000.0,49.929871661540936,49.929871661540936,,49.929871661540936
CCMM,COM,201209,327422,24576000,327422.0,24576000.0,75.05909804472516,75.05909804472516,,
CCMM,COM,201210,327422,24576000,0.0,0.0,75.05909804472516,75.05909804472516,,75.05909804472516
CCMM,COM,201211,327422,24576000,0.0,0.0,75.05909804472516,75.05909804472516,,75.05909804472516
