Name,Ticker,Class,Shares,Change,Value,Change,% Port,% OS,Hist,Date
"ALTRIA GROUP, INC.",MO,Common,4464936,127689,392066000,19843000,,,Hist,03/31/2007
BERKSHIRE HATHAWAY INC,BRK.A,Common,3486,64,379939000,3553000,,,Hist,03/31/2007
NESTLE SA,NSRGY,Common,3771119,221231,367948000,52931000,,,Hist,03/31/2007
HEINEKEN HOLDING N V,HKHHF,Common,6280976,99547,278373000,27160000,,,Hist,03/31/2007
MARTIN MARIETTA MATERIALS INC,MLM,Common,1999476,-16605,270329000,60838000,,,Hist,03/31/2007
COMCAST CORP,CMCSK,Common,8835718,2982695,225046000,-20079000,,,Hist,03/31/2007
WELLS FARGO & COMPANY/MN,WFC,Common,5361885,212196,184610000,1487000,,,Hist,03/31/2007
COMPAGNIE FINANCIERE RICHEMONT AG /FI,CFRUF,Common,3196278,-37120,179119000,-9097000,,,Hist,03/31/2007
UST INC,UST,Common,3005885,26790,174281000,898000,,,Hist,03/31/2007
AMERICAN INTERNATIONAL GROUP INC,AIG,Common,2574939,74697,173087000,-6080000,,,Hist,03/31/2007
TELEGRAAF MEDIA GROEP NV,TGRAF,Common,5033768,-59291,173011000,39624000,,,Hist,03/31/2007
Graham Holdings Co,WPO,Cl B,184684,3263,141006000,5739000,,,Hist,03/31/2007
DIAGEO PLC,DGEAF,Common,6799751,12786,137899000,4603000,,,Hist,03/31/2007
E.W. SCRIPPS Co,SSP,Common,3031576,128493,135451000,-9529000,,,Hist,03/31/2007
CADBURY PUBLIC LTD CO,CSGWF,Common,10108462,221885,129793000,23908000,,,Hist,03/31/2007
CITIGROUP INC,C,Common,2372140,42709,121786000,-7963000,,,Hist,03/31/2007
BROWN FORMAN CORP,BF.A,CL A,1612470,16665,111389000,3784000,,,Hist,03/31/2007
PERNOD RICARD S A /FI,PDRDF,Common,523959,844,106379000,6294000,,,Hist,03/31/2007
UNILEVER N V,UN,N Y SHS NEW,3630220,143155,106075000,11052000,,,Hist,03/31/2007
MCCLATCHY CO,MNI,CL A,3227209,237405,102012000,-27447000,,,Hist,03/31/2007
HASBRO INC,HAS,Common,3274370,-741791,93712000,-15728000,,,Hist,03/31/2007
H&R BLOCK INC,HRB,Common,4104173,118140,86352000,-5486000,,,Hist,03/31/2007
BERKSHIRE HATHAWAY INC,BRK.B,CL B,22829,629,83098000,1713000,,,Hist,03/31/2007
SCHWEITZER MAUDUIT INTERNATIONAL INC,SWM,Common,1737306,-55248,43172000,-3524000,,,Hist,03/31/2007
INTERNATIONAL SPEEDWAY CORP,ISCA,Common,750402,24188,38796000,1730000,,,Hist,03/31/2007
MARKEL CORP,MKL,Common,70600,-375,34229000,154000,,,Hist,03/31/2007
DIAGEO PLC,DEO,SPON ADR NEW,418002,2850,33837000,911000,,,Hist,03/31/2007
MILLER HERMAN INC,MLHR,Common,759956,150765,25451000,3301000,,,Hist,03/31/2007
ABBOTT LABORATORIES,ABT,Common,419617,-10634,23415000,2457000,,,Hist,03/31/2007
EXXON MOBIL CORP,XOM,Common,301362,-5753,22738000,-796000,,,Hist,03/31/2007
"ALTRIA GROUP, INC.",MO,Common,341329,341329,22490000,22490000,,,Hist,03/31/2007
KONINKLIJKE WEGENER NV,KWEGF,Common,936340,-57100,19317000,4912000,,,Hist,03/31/2007
PROGRESSIVE CORP/OH/,PGR,Common,877036,-13400,19137000,-2429000,,,Hist,03/31/2007
BROWN FORMAN CORP,BF.B,CL B,286277,-3897,18768000,-453000,,,Hist,03/31/2007
INTERNATIONAL SPEEDWAY CORP,ISCB,Common,344205,-1175,17589000,-25000,,,Hist,03/31/2007
HORMEL FOODS CORP /DE/,HRL,Common,444815,-2550,16543000,-162000,,,Hist,03/31/2007
SWEDISH MATCH CORP,SWMAF,Common,765500,-15650,13687000,-936000,,,Hist,03/31/2007
AVISHUSET DAGBLADET,ASVHF,Common,116554,0,13638000,543000,,,Hist,03/31/2007
Vulcan Materials CO,VMC,Common,90625,725,10556000,2477000,,,Hist,03/31/2007
BRITISH AMERICAN TOBACCO PLC /ADR/,BTAFF,Common,334945,-5425,10480000,953000,,,Hist,03/31/2007
"ANHEUSER-BUSCH COMPANIES, LLC",BUD,Common,194963,-1715,9838000,161000,,,Hist,03/31/2007
ARMSTRONG WORLD INDUSTRIES INC,AWI,Common,189544,-5585,9638000,1366000,,,Hist,03/31/2007
PEPSICO INC,PEP,Common,146247,-775,9295000,99000,,,Hist,03/31/2007
GROUPE DANONE,GDNNY,SPONSORED ADR,255900,-800,9141000,773000,,,Hist,03/31/2007
PARGESA HOLDING SA,PRGAF,Common,83300,-375,8759000,-762000,,,Hist,03/31/2007
CRANE CO /DE/,CR,Common,213174,2550,8616000,899000,,,Hist,03/31/2007
GENERAL ELECTRIC CO,GE,Common,241725,3331,8547000,-324000,,,Hist,03/31/2007
CANADIAN OIL SANDS TRUST /FI,COS.UN,Common,330000,0,8026000,-1165000,,,Hist,03/31/2007
ALTADIS SA,ALTDF,Common,122650,-2450,7879000,1339000,,,Hist,03/31/2007
OMNICOM GROUP INC.,OMC,Common,68585,-150,7022000,-164000,,,Hist,03/31/2007
PHILIP MORRIS CR AS,TBKSF,Common,14158,140,6518000,-768000,,,Hist,03/31/2007
"SUN MICROSYSTEMS, INC.",JAVA,Common,1000000,0,6010000,590000,,,Hist,03/31/2007
KINGSPAN GROUP PLC,KGSPF,Common,220225,4250,5847000,119000,,,Hist,03/31/2007
CRH PUBLIC LTD CO,CRHCF,Common,134900,4050,5767000,321000,,,Hist,03/31/2007
JOHNSON & JOHNSON,JNJ,Common,92718,-1575,5587000,-638000,,,Hist,03/31/2007
WACHOVIA CORP NEW,WB,Common,98608,-3707,5428000,-399000,,,Hist,03/31/2007
Royal Dutch Shell plc,RDS.A,SPONS ADR A,81816,500,5424000,-332000,,,Hist,03/31/2007
BANK OF AMERICA CORP /DE/,BAC,Common,103230,2000,5267000,-138000,,,Hist,03/31/2007
HEINEKEN NV /ADR/,HINKY,Common,200791,-512,5233000,482000,,,Hist,03/31/2007
FEDERAL HOME LOAN MORTGAGE CORP,FRE,Common,86998,-108374,5176000,-8090000,,,Hist,03/31/2007
TAMEDIA AG,TDAAF,Common,37375,300,5086000,208000,,,Hist,03/31/2007
READYMIX,RDMXF,Common,1255500,-65500,4783000,252000,,,Hist,03/31/2007
RINKER GROUP LTD,,Common,297065,-7500,4346000,12000,,,Hist,03/31/2007
ENCANA CORP,ECA,Common,82000,0,4152000,384000,,,Hist,03/31/2007
DEERE & CO,DE,Common,38217,0,4152000,519000,,,Hist,03/31/2007
"CISCO SYSTEMS, INC.",CSCO,Common,160300,-19007,4092000,-808000,,,Hist,03/31/2007
PROCTER & GAMBLE Co,PG,Common,64468,250,4072000,-55000,,,Hist,03/31/2007
MICROSOFT CORP,MSFT,Common,135168,-364,3767000,-280000,,,Hist,03/31/2007
TEGNA INC,GCI,Common,66375,-7200,3736000,-712000,,,Hist,03/31/2007
BIC CORP,BICEF,Common,52875,575,3702000,62000,,,Hist,03/31/2007
AMERICAN TOWER CORP /MA/,AMT,Common,87000,-1500,3389000,90000,,,Hist,03/31/2007
SCOTTS MIRACLE-GRO CO,SMG,CL A,74550,-32575,3282000,-2251000,,,Hist,03/31/2007
WPP plc,WPPRF,Common,215864,0,3272000,351000,,,Hist,03/31/2007
DOVER Corp,DOV,Common,66090,0,3226000,-14000,,,Hist,03/31/2007
CARLISLE COMPANIES INC,CSL,Common,74438,37219,3196000,274000,,,Hist,03/31/2007
DEVON ENERGY CORP/DE,DVN,Common,45000,0,3115000,96000,,,Hist,03/31/2007
AMERICAN EXPRESS CO,AXP,Common,49898,9075,2814000,337000,,,Hist,03/31/2007
LEUCADIA NATIONAL CORP,LUK,Common,94686,0,2786000,116000,,,Hist,03/31/2007
NORGES HANDELS OG SJOF,,Common,17172,0,2745000,71000,,,Hist,03/31/2007
MCCORMICK & CO INC,MKC,Common,70800,0,2727000,-3000,,,Hist,03/31/2007
BENFIELD GROUP LTD,BFLDF,Common,405550,-3850,2587000,-283000,,,Hist,03/31/2007
INTERNATIONAL BUSINESS MACHINES CORP,IBM,Common,26524,-6000,2500000,-660000,,,Hist,03/31/2007
"LEE ENTERPRISES, INC",LEE,Common,83135,-2275,2498000,-155000,,,Hist,03/31/2007
WAL MART STORES INC,WMT,Common,50543,75,2373000,42000,,,Hist,03/31/2007
MEDIMMUNE INC /DE,MEDI,Common,60000,0,2183000,241000,,,Hist,03/31/2007
MERCURY GENERAL CORP,MCY,Common,40050,-4500,2124000,-225000,,,Hist,03/31/2007
PFIZER INC,PFE,Common,83926,-23350,2120000,-658000,,,Hist,03/31/2007
CHEVRON CORP,CVX,Common,27974,0,2069000,12000,,,Hist,03/31/2007
VORNADO REALTY TRUST,VNO,SH BEN INT,17000,0,2029000,-37000,,,Hist,03/31/2007
MATTEL INC /DE/,MAT,Common,69400,0,1913000,340000,,,Hist,03/31/2007
JPMORGAN CHASE & CO,JPM,Common,38605,6300,1868000,308000,,,Hist,03/31/2007
MURPHY OIL CORP /DE,MUR,Common,34400,-1400,1837000,17000,,,Hist,03/31/2007
HEARTLAND EXPRESS INC,HTLD,Common,112951,-1500,1794000,75000,,,Hist,03/31/2007
SCHIBSTED A/S,SBSNF,Common,36787,-850,1625000,278000,,,Hist,03/31/2007
CONOCOPHILLIPS,COP,Common,23592,-150,1613000,-95000,,,Hist,03/31/2007
FULTON FINANCIAL CORP,FULT,Common,110323,-360,1603000,-245000,,,Hist,03/31/2007
MOHAWK INDUSTRIES INC,MHK,Common,17050,-100,1399000,115000,,,Hist,03/31/2007
GENERAL DYNAMICS CORP,GD,Common,18300,-250,1398000,19000,,,Hist,03/31/2007
MCDONALDS CORP,MCD,Common,28878,-2300,1301000,-81000,,,Hist,03/31/2007
MESA ROYALTY TRUST/TX,MTR,UNIT BEN INT,23000,0,1290000,94000,,,Hist,03/31/2007
3M CO,MMM,Common,15710,0,1201000,-23000,,,Hist,03/31/2007
TJX COMPANIES INC /DE/,TJX,Common,44050,0,1188000,-68000,,,Hist,03/31/2007
"PNC FINANCIAL SERVICES GROUP, INC.",PNC,Common,16260,0,1170000,-34000,,,Hist,03/31/2007
COCA COLA CO,KO,Common,24271,-802,1165000,-45000,,,Hist,03/31/2007
AES CORP,AES,Common,54000,0,1162000,-28000,,,Hist,03/31/2007
LEXINGTON REALTY TRUST,LXP,Common,49000,0,1035000,-64000,,,Hist,03/31/2007
COMCAST CORP,CMCSA,Common,39251,13104,1019000,-88000,,,Hist,03/31/2007
