Name,Ticker,Class,Shares,Change,Value,Change,% Port,% OS,Hist,Date
NESTLE SA,NSRGY,Common,15823803,44811,1187219000,4320000,10.03,,Hist,03/31/2016
BERKSHIRE HATHAWAY INC,BRK.A,Common,5013,-22,1070025000,86992000,9.04,0.00,Hist,03/31/2016
Philip Morris International Inc.,PM,Common,10511803,31921,1031313000,199944000,8.71,0.68,Hist,03/31/2016
Mastercard Inc,MA,CL A,9725470,-205137,919057000,24111000,7.77,0.88,Hist,03/31/2016
HEINEKEN HOLDING N V,HKHHF,Common,10830034,-24287,846370000,75423000,7.15,,Hist,03/31/2016
Anheuser-Busch InBev SA/NV,BUD,ADR,6502526,1329241,810605000,260581000,6.85,,Hist,03/31/2016
COMPAGNIE FINANCIERE RICHEMONT AG /FI,CFRHF,Com,11376709,2517838,754963000,68629000,6.38,,Hist,03/31/2016
WELLS FARGO & COMPANY/MN,WFC,Common,14692910,117407,710549000,-37903000,6.00,0.29,Hist,03/31/2016
PERNOD RICARD S A /FI,PDRDF,Common,5916349,267749,660713000,92108000,5.58,,Hist,03/31/2016
UNILEVER N V,UN,N Y SHS NEW,14312004,166488,639460000,70810000,5.40,,Hist,03/31/2016
"ALTRIA GROUP, INC.",MO,Common,5945898,-476411,372570000,23196000,3.15,0.30,Hist,03/31/2016
BERKSHIRE HATHAWAY INC,BRK/B,Common,2590604,78562,367555000,39985000,3.11,0.21,Hist,03/31/2016
MARTIN MARIETTA MATERIALS INC,MLM,Common,2103643,33116,335552000,20935000,2.84,3.27,Hist,03/31/2016
SWATCH GROUP,SWGAF,Common,861996,754472,299829000,260103000,2.53,,Hist,03/31/2016
BRITISH AMERICAN TOBACCO PLC /ADR/,BTAFF,Common,5091660,120068,299316000,24970000,2.53,,Hist,03/31/2016
BROWN FORMAN CORP,BF.A,CL A,2440882,-156074,260418000,-17430000,2.20,1.22,Hist,03/31/2016
DIAGEO PLC,DGEAF,Common,9314735,30417,251896000,2901000,2.13,,Hist,03/31/2016
JCDECAUX SA /FI,JCDXF,Common,5570228,1702158,244190000,104318000,2.06,,Hist,03/31/2016
COMCAST CORP,CMCSA,Common,3838373,3805968,234448000,232605000,1.98,0.16,Hist,03/31/2016
SABMILLER PLC/FI,SBMRF,Common,1821270,-10215747,111410000,-569965000,0.94,,Hist,03/31/2016
"Scripps Networks Interactive, Inc.",SNI,Common,1190190,-55643,77957000,16674000,0.66,0.92,Hist,03/31/2016
BROWN FORMAN CORP,BF.B,CL B,574634,43699,56584000,5136000,0.48,0.29,Hist,03/31/2016
DIAGEO PLC,DEO,SPON ADR NEW,473132,4281,51037000,500000,0.43,,Hist,03/31/2016
VISA INC.,V,CL A,540796,16855,41360000,4862000,0.35,0.03,Hist,03/31/2016
EXXON MOBIL CORP,XOM,Common,166128,-218,13887000,1519000,0.12,0.00,Hist,03/31/2016
MARKEL CORP,MKL,Common,13137,-2484,11713000,-813000,0.10,0.09,Hist,03/31/2016
MEXICAN ECONOMIC DEVELOPMENT INC,FMX,ADR,121470,2855,11699000,1113000,0.10,,Hist,03/31/2016
SWEDISH MATCH CORP,SWMAF,Common,304213,-8336,10342000,925000,0.09,,Hist,03/31/2016
COCA COLA CO,KO,Common,205182,-15055,9518000,682000,0.08,0.00,Hist,03/31/2016
AMERICAN EXPRESS CO,AXP,Common,151773,6545,9319000,-1447000,0.08,0.02,Hist,03/31/2016
GROUPE DANONE,DANOY,ADR,638500,120595,9096000,2573000,0.08,,Hist,03/31/2016
CRANE CO /DE/,CR,Common,159341,-5250,8582000,910000,0.07,0.27,Hist,03/31/2016
MILLER HERMAN INC,MLHR,Common,238277,-71950,7360000,-1587000,0.06,0.40,Hist,03/31/2016
HORMEL FOODS CORP /DE/,HRL,Common,170069,66000,7354000,765000,0.06,0.03,Hist,03/31/2016
PROCTER & GAMBLE Co,PG,Common,85987,-11040,7078000,98000,0.06,0.00,Hist,03/31/2016
OUTFRONT Media Inc.,OUT,COM,234705,131113,4952000,2797000,0.04,0.17,Hist,03/31/2016
HEINEKEN N V/ /FI,HINKF,Common,49788,0,4519000,504000,0.04,,Hist,03/31/2016
DOVER Corp,DOV,Common,64926,-5680,4177000,140000,0.04,0.04,Hist,03/31/2016
WELLS FARGO & COMPANY/MN,WFC/WS,WARRANTS,253000,50250,3959000,291000,0.03,,Hist,03/31/2016
MCCORMICK & CO INC,MKC,Common,39480,-2375,3927000,487000,0.03,0.03,Hist,03/31/2016
CHEVRON CORP,CVX,Common,40883,-627,3900000,626000,0.03,0.00,Hist,03/31/2016
PEPSICO INC,PEP,Common,36647,-3146,3756000,4000,0.03,0.00,Hist,03/31/2016
JPMORGAN CHASE & CO,JPM/WS,W EXP 10/28/2018,200750,0,3553000,-444000,0.03,,Hist,03/31/2016
BIC CORP,BICEF,Common,21625,2235,3258000,254000,0.03,,Hist,03/31/2016
M&T BANK CORP,MTB/WS,WARRANT,82139,12139,3114000,-331000,0.03,,Hist,03/31/2016
NESTLE SA /FI,NSRGF,Common,41310,0,3099000,2000,0.03,,Hist,03/31/2016
Royal Dutch Shell plc,RDS.A,SPONS ADR A,60970,-2775,2954000,-67000,0.02,,Hist,03/31/2016
RECKITT BENCKISER GROUP PLC,RBGPF,Common,30187,-380,2920000,148000,0.02,,Hist,03/31/2016
MICROSOFT CORP,MSFT,Common,49450,0,2731000,542000,0.02,0.00,Hist,03/31/2016
LINDT & SPRUENGLI AG-REG,LDSRF,Common,33,0,2481000,146000,0.02,,Hist,03/31/2016
DUPONT E I DE NEMOURS & CO,DD,Common,38144,-2264,2415000,467000,0.02,0.00,Hist,03/31/2016
"ANHEUSER-BUSCH COMPANIES, LLC",AHBIF,COM,15000,0,1867000,278000,0.02,,Hist,03/31/2016
EATON VANCE SENIOR INCOME TRUST,EVF,Common,285958,3858,1656000,0,0.01,,Hist,03/31/2016
Kraft Heinz Co,KHC,COM,20950,20950,1646000,1646000,0.01,0.00,Hist,03/31/2016
GOLDMAN SACHS GROUP INC,GS,Common,10393,0,1631000,-175000,0.01,0.00,Hist,03/31/2016
"PNC FINANCIAL SERVICES GROUP, INC.",PNC,Common,17627,-317,1491000,-110000,0.01,0.00,Hist,03/31/2016
BB&T CORP,BBT,Common,41191,-5069,1370000,-277000,0.01,0.01,Hist,03/31/2016
PERNOD RICARD S A /FI,PDRDY,COM,59050,3500,1319000,201000,0.01,,Hist,03/31/2016
INTERNATIONAL BUSINESS MACHINES CORP,IBM,Common,8674,-616,1314000,-33000,0.01,0.00,Hist,03/31/2016
WAL MART STORES INC,WMT,Common,18674,-800,1279000,16000,0.01,0.00,Hist,03/31/2016
AbbVie Inc.,ABBV,COM,21718,-65000,1241000,-3477000,0.01,0.00,Hist,03/31/2016
Alphabet Inc.,GOOG,COM,1646,541,1226000,554000,0.01,0.00,Hist,03/31/2016
PARGESA HOLDING SA,PRGAF,Common,18601,-1089,1190000,38000,0.01,,Hist,03/31/2016
Alphabet Inc.,GOOGL,COM,1529,261,1166000,357000,0.01,0.00,Hist,03/31/2016
COSTCO WHOLESALE CORP /NEW,COST,Common,6391,96,1007000,97000,0.01,0.00,Hist,03/31/2016
LAMAR ADVERTISING CO/NEW,LAMR,Common,14660,-2300,902000,17000,0.01,14660.00,Hist,03/31/2016
ABBOTT LABORATORIES,ABT,Common,20400,-65000,853000,-2582000,0.01,0.00,Hist,03/31/2016
PRAXAIR INC,PX,Common,6725,-4125,770000,-335000,0.01,0.00,Hist,03/31/2016
BAT INDUSTRIES PLC /FI,BTI,Common,6136,-10,717000,40000,0.01,,Hist,03/31/2016
A P MOLLER-MAERSK A/S,AMKAF,Common,554,0,708000,-124000,0.01,,Hist,03/31/2016
BANK OF AMERICA CORP /DE/,BAC,Common,51100,0,691000,-105000,0.01,0.00,Hist,03/31/2016
Walt Disney Co,DIS,Common,4803,-47,477000,-19000,0.00,0.00,Hist,03/31/2016
FULTON FINANCIAL CORP,FULT,Common,34930,-4100,467000,-5000,0.00,0.02,Hist,03/31/2016
MCDONALDS CORP,MCD,Common,3640,-5,457000,98000,0.00,0.00,Hist,03/31/2016
PIONEER NATURAL RESOURCES CO,PXD,Common,2700,0,380000,52000,0.00,0.00,Hist,03/31/2016
O REILLY AUTOMOTIVE INC,ORLY,COM,1340,1340,367000,367000,0.00,0.00,Hist,03/31/2016
WABCO Holdings Inc.,WBC,Common,3168,3168,339000,339000,0.00,0.01,Hist,03/31/2016
AMERICAN INTERNATIONAL GROUP INC,AIG,COM,6000,0,324000,-17000,0.00,0.00,Hist,03/31/2016
SABMILLER PLC/FI,SBMRY,Common,5125,-21500,314000,-1193000,0.00,,Hist,03/31/2016
GENERAL ELECTRIC CO,GE,Common,9246,-1300,294000,28000,0.00,0.00,Hist,03/31/2016
Nielsen Holdings plc,NLSN,COM,5450,0,287000,45000,0.00,0.00,Hist,03/31/2016
CHICAGO BRIDGE & IRON CO N V,CBI,Common,7475,-3100,274000,-145000,0.00,0.01,Hist,03/31/2016
CARLISLE COMPANIES INC,CSL,Common,2700,-300,269000,7000,0.00,0.00,Hist,03/31/2016
Mylan N.V.,MYL,Common,5395,-455,250000,14000,0.00,0.00,Hist,03/31/2016
US BANCORP \DE\,USB,Common,6000,0,244000,-2000,0.00,0.00,Hist,03/31/2016
3M CO,MMM,Common,1425,-175,237000,10000,0.00,0.00,Hist,03/31/2016
HEARTLAND EXPRESS INC,HTLD,Common,12499,0,232000,-17000,0.00,0.02,Hist,03/31/2016
