Name,Ticker,Class,Shares,Change,Value,Change,% Port,% OS,Hist,Date
NESTLE SA,NSRGY,Common,14520387,14520387,1066151000,1066151000,10.54,,Hist,12/31/2013
BERKSHIRE HATHAWAY INC,BRK.A,Common,5078,5078,903376000,903376000,8.93,,Hist,12/31/2013
Philip Morris International Inc.,PM,Common,9971107,9971107,868783000,868783000,8.59,0.62,Hist,12/31/2013
Mastercard Inc,MA,CL A,990747,990747,827729000,827729000,8.19,,Hist,12/31/2013
COMPAGNIE FINANCIERE RICHEMONT AG /FI,CFRHF,Com,6912947,6912947,692543000,692543000,6.85,,Hist,12/31/2013
WELLS FARGO & COMPANY/MN,WFC,Common,14534770,14534770,659879000,659879000,6.53,,Hist,12/31/2013
HEINEKEN HOLDING N V,HKHHF,Common,10181924,10181924,645174000,645174000,6.38,,Hist,12/31/2013
SABMILLER PLC/FI,SBMRF,Common,11037653,11037653,566901000,566901000,5.61,,Hist,12/31/2013
PERNOD RICARD S A /FI,PDRDF,Common,4732860,4732860,540054000,540054000,5.34,,Hist,12/31/2013
Anheuser-Busch InBev SA/NV,BUD,ADR,4944404,4944404,526381000,526381000,5.21,,Hist,12/31/2013
UNILEVER N V,UN,N Y SHS NEW,11808636,11808636,475061000,475061000,4.70,,Hist,12/31/2013
BERKSHIRE HATHAWAY INC,BRK/B,Common,2317684,2317684,274785000,274785000,2.72,,Hist,12/31/2013
"ALTRIA GROUP, INC.",MO,Common,7075151,7075151,271615000,271615000,2.69,,Hist,12/31/2013
DIAGEO PLC,DGEAF,Common,8092869,8092869,268078000,268078000,2.65,,Hist,12/31/2013
BRITISH AMERICAN TOBACCO PLC /ADR/,BTAFF,Common,4746338,4746338,254545000,254545000,2.52,,Hist,12/31/2013
COMCAST CORP,CMCSK,Common,4753215,4753215,237090000,237090000,2.34,,Hist,12/31/2013
BROWN FORMAN CORP,BF.A,CL A,2868913,2868913,211640000,211640000,2.09,,Hist,12/31/2013
MARTIN MARIETTA MATERIALS INC,MLM,Common,1931562,1931562,193040000,193040000,1.91,4.18,Hist,12/31/2013
