Name,Ticker,Class,Shares,Change,Value,Change,% Port,% OS,Hist,Date
BERKSHIRE HATHAWAY INC,BRK.A,Common,3478,-52,454227000,27979000,16.15,,Hist,09/30/2008
Philip Morris International Inc.,PM,Common,6325150,148189,304240000,-840000,10.81,,Hist,09/30/2008
WELLS FARGO & COMPANY/MN,WFC,Common,6577773,-410192,246864000,80900000,8.77,,Hist,09/30/2008
MARTIN MARIETTA MATERIALS INC,MLM,Common,1923698,-108373,215416000,4914000,7.66,,Hist,09/30/2008
COMCAST CORP,CMCSK,Common,9814578,-128411,193543000,7013000,6.88,,Hist,09/30/2008
UST INC,UST,Common,2512444,-749520,167178000,-10958000,5.94,,Hist,09/30/2008
"ALTRIA GROUP, INC.",MO,Common,7405509,1363937,146925000,22710000,5.22,,Hist,09/30/2008
BROWN FORMAN CORP,BF.A,CL A,1651765,-28368,117275000,-10466000,4.17,,Hist,09/30/2008
"Scripps Networks Interactive, Inc.",SNI,Common,3172927,3172927,115209000,115209000,4.10,,Hist,09/30/2008
UNILEVER N V,UN,N Y SHS NEW,3843548,72368,108234000,1132000,3.85,,Hist,09/30/2008
Graham Holdings Co,WPO,Cl B,193096,-4427,107508000,-8418000,3.82,,Hist,09/30/2008
BERKSHIRE HATHAWAY INC,BRK.B,CL B,24287,-175,106741000,8599000,3.79,,Hist,09/30/2008
HASBRO INC,HAS,Common,2188441,-75508,75983000,-4885000,2.70,,Hist,09/30/2008
H&R BLOCK INC,HRB,Common,2649587,-532614,60278000,-7821000,2.14,,Hist,09/30/2008
DIAGEO PLC,DEO,SPON ADR NEW,430228,-5932,29626000,-2593000,1.05,,Hist,09/30/2008
INTERNATIONAL SPEEDWAY CORP,ISCA,Common,737581,-39796,28699000,-1642000,1.02,,Hist,09/30/2008
MARKEL CORP,MKL,Common,69834,-175,24547000,-1146000,0.87,,Hist,09/30/2008
ABBOTT LABORATORIES,ABT,Common,417981,-50,24067000,1924000,0.86,,Hist,09/30/2008
MILLER HERMAN INC,MLHR,Common,982556,-14900,24043000,-784000,0.85,,Hist,09/30/2008
SCHWEITZER MAUDUIT INTERNATIONAL INC,SWM,Common,1216737,-158088,23106000,-60000,0.82,,Hist,09/30/2008
MCCLATCHY CO,MNI,CL A,4547631,-651549,20010000,-15240000,0.71,,Hist,09/30/2008
EXXON MOBIL CORP,XOM,Common,249946,-4589,19411000,-3021000,0.69,,Hist,09/30/2008
BROWN FORMAN CORP,BF.B,CL B,251120,-4425,18033000,-1279000,0.64,,Hist,09/30/2008
HORMEL FOODS CORP /DE/,HRL,Common,409425,-3100,14854000,577000,0.53,,Hist,09/30/2008
PROGRESSIVE CORP/OH/,PGR,Common,457059,-50229,7953000,-1543000,0.28,,Hist,09/30/2008
PEPSICO INC,PEP,Common,110195,-1250,7854000,767000,0.28,,Hist,09/30/2008
E.W. SCRIPPS Co,SSP,Common Stock,1054223,1054223,7453000,7453000,0.26,,Hist,09/30/2008
"ANHEUSER-BUSCH COMPANIES, LLC",BUD,Common,112433,-14118,7295000,-566000,0.26,,Hist,09/30/2008
"Mondelez International, Inc.",KFT,Common,212171,-1512485,6949000,-42117000,0.25,,Hist,09/30/2008
CRANE CO /DE/,CR,Common,213224,900,6335000,-1846000,0.23,,Hist,09/30/2008
Vulcan Materials CO,VMC,Common,79375,0,5913000,1168000,0.21,,Hist,09/30/2008
ARMSTRONG WORLD INDUSTRIES INC,AWI,Common,184182,-3967,5323000,-175000,0.19,,Hist,09/30/2008
Mastercard Inc,MA,CL A,29430,29430,5219000,5219000,0.19,,Hist,09/30/2008
PROCTER & GAMBLE Co,PG,Common,72010,-1500,5018000,548000,0.18,,Hist,09/30/2008
JOHNSON & JOHNSON,JNJ,Common,67642,-800,4686000,282000,0.17,,Hist,09/30/2008
Royal Dutch Shell plc,RDS.A,SPONS ADR A,72419,-1875,4273000,-1798000,0.15,,Hist,09/30/2008
STAPLES INC,SPLS,Common,189187,-6150,4257000,-382000,0.15,,Hist,09/30/2008
LEUCADIA NATIONAL CORP,LUK,Common,91186,-2500,4143000,-255000,0.15,,Hist,09/30/2008
ENCANA CORP,ECA,Common,61750,0,4059000,-1556000,0.14,,Hist,09/30/2008
"CISCO SYSTEMS, INC.",CSCO,Common,162200,0,3659000,-114000,0.13,,Hist,09/30/2008
DEVON ENERGY CORP/DE,DVN,Common,40000,0,3648000,-1158000,0.13,,Hist,09/30/2008
MICROSOFT CORP,MSFT,Common,124952,-6000,3335000,-267000,0.12,,Hist,09/30/2008
