NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE,SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE
JC Decaux SA ACT,COM,f5333n100,60374,1461955,SH,,SOLE,,1316860,0,145095
Lindt & Spruengli AG - Reg,COM,h49983176,1954,36,SH,,SOLE,,36,0,0
Loreal SA,COM,f58149133,999,5675,SH,,SOLE,,5495,0,180
Nestle SA-REG,COM,h57312649,2970,40310,SH,,SOLE,,40000,0,310
NHST Media Group,COM,r4700l117,1401,19772,SH,,SOLE,,19390,0,382
Pargesa Holding AG - B,COM,h60477207,1943,23950,SH,,SOLE,,21950,0,2000
Pernod Ricard,COM,f72027109,540054,4732860,SH,,SOLE,,4492911,0,239949
PZ Cussons PLC,COM,g6850s109,94,15000,SH,,SOLE,,15000,0,0
Reckitt Benckiser Group PLC,COM,g74079107,1958,24665,SH,,SOLE,,17090,0,7575
SABMiller PLC,COM,g77395104,566901,11037653,SH,,SOLE,,10479326,0,558327
Schibsted A/S,COM,r75677105,406,6150,SH,,SOLE,,6150,0,0
Swedish Match AB,COM,w92277115,11131,346062,SH,,SOLE,,328662,0,17400
Syngenta AG,COM,h84140112,209,521,SH,,SOLE,,521,0,0
The Swatch Group AG-BR,COM,h83949141,39151,58870,SH,,SOLE,,53017,0,5853
Unilever NV,COM,n8981f271,1311,32500,SH,,SOLE,,32500,0,0
