Name,Ticker,Class,Shares,Change,Value,Change,% Port,% OS,Hist,Date
BERKSHIRE HATHAWAY INC,BRK.A,Common,3246,86,293276000,13237000,,,Hist,03/31/2006
"ALTRIA GROUP, INC.",MO,Common,4033006,206464,285779000,-140000,,,Hist,03/31/2006
NESTLE SA,NSRGY,Common,3286151,172138,237917000,5518000,,,Hist,03/31/2006
MARTIN MARIETTA MATERIALS INC,MLM,Common,1970683,-82676,210922000,53388000,,,Hist,03/31/2006
HEINEKEN HOLDING N V,HKHHF,Common,5889355,186731,203359000,35930000,,,Hist,03/31/2006
WELLS FARGO & COMPANY/MN,WFC,Common,2499266,57826,159628000,6232000,,,Hist,03/31/2006
COMPAGNIE FINANCIERE RICHEMONT AG /FI,CFRHF,Common,3207093,22012,153844000,15452000,,,Hist,03/31/2006
AMERICAN INTERNATIONAL GROUP INC,AIG,Common,2267210,179764,149840000,7414000,,,Hist,03/31/2006
COMCAST CORP,CMCSK,Common,5360292,492718,140011000,14963000,,,Hist,03/31/2006
TELEGRAAF MEDIA GROEP NV,TGRAF,Common,5176001,158025,133179000,24841000,,,Hist,03/31/2006
Graham Holdings Co,WPO,Cl B,167334,4956,129977000,5758000,,,Hist,03/31/2006
E.W. SCRIPPS Co,SSP,Common,2687383,76597,120153000,-5217000,,,Hist,03/31/2006
BROWN FORMAN CORP,BF.A,CL A,1515304,22698,118573000,12688000,,,Hist,03/31/2006
UST INC,UST,Common,2764188,146111,114990000,8094000,,,Hist,03/31/2006
DIAGEO PLC,DGEAF,Common,6545176,259699,103217000,12203000,,,Hist,03/31/2006
CITIGROUP INC,C,Common,2144629,137040,101291000,3863000,,,Hist,03/31/2006
HASBRO INC,HAS,Common,4584644,-83265,96736000,2538000,,,Hist,03/31/2006
H&R BLOCK INC,HRB,Common,4007049,-9353,86753000,-11850000,,,Hist,03/31/2006
CADBURY PUBLIC LTD CO,CSGWF,Common,8708488,864968,86562000,12441000,,,Hist,03/31/2006
MCCLATCHY CO,MNI,CL A,1746311,444608,85307000,8376000,,,Hist,03/31/2006
PERNOD RICARD S A /FI,PDRDF,Common,389599,25771,74791000,11350000,,,Hist,03/31/2006
UNILEVER N V,UN,N Y SHS NEW,1018006,90150,70466000,6769000,,,Hist,03/31/2006
BERKSHIRE HATHAWAY INC,BRK.B,CL B,20465,660,61641000,3503000,,,Hist,03/31/2006
"Mondelez International, Inc.",KFT,Common,1721490,-254765,52178000,-3493000,,,Hist,03/31/2006
SCHWEITZER MAUDUIT INTERNATIONAL INC,SWM,Common,1842923,2235,44230000,-1382000,,,Hist,03/31/2006
DIAGEO PLC,DEO,SPON ADR NEW,448008,-4630,28417000,2028000,,,Hist,03/31/2006
PROGRESSIVE CORP/OH/,PGR,Common,247481,-18431,25802000,-5251000,,,Hist,03/31/2006
MARKEL CORP,MKL,Common,73985,-465,24983000,1379000,,,Hist,03/31/2006
BROWN FORMAN CORP,BF.B,CL B,318035,-8388,24479000,1851000,,,Hist,03/31/2006
MILLER HERMAN INC,MLHR,Common,662836,-16367,21476000,2329000,,,Hist,03/31/2006
KONINKLIJKE WEGENER NV,KWEGF,Common,1238730,-200685,20600000,2363000,,,Hist,03/31/2006
EXXON MOBIL CORP,XOM,Common,333624,-11275,20304000,931000,,,Hist,03/31/2006
ABBOTT LABORATORIES,ABT,Common,423352,-850,17980000,1254000,,,Hist,03/31/2006
INTERNATIONAL SPEEDWAY CORP,ISCA,Common,353732,-309347,17863000,-13898000,,,Hist,03/31/2006
HORMEL FOODS CORP /DE/,HRL,Common,516661,-8975,17463000,285000,,,Hist,03/31/2006
FEDERAL HOME LOAN MORTGAGE CORP,FRE,Common,219150,3250,13368000,-741000,,,Hist,03/31/2006
SWEDISH MATCH CORP,SWMAF,Common,920275,-16500,12617000,1601000,,,Hist,03/31/2006
AVISHUSET DAGBLADET,ASVHF,Common,116554,0,12104000,780000,,,Hist,03/31/2006
PEPSICO INC,PEP,Common,165972,-1125,9592000,-280000,,,Hist,03/31/2006
