Name,Ticker,Class,Shares,Change,Value,Change,% Port,% OS,Hist,Date
NESTLE SA,NSRGY,Common,16090733,-1276,1351782000,-51441000,9.56,,Hist,09/30/2017
Mastercard Inc,MA,CL A,9501788,-56917,1341652000,180747000,9.49,0.89,Hist,09/30/2017
BERKSHIRE HATHAWAY INC,BRK.A,Common,4815,-19,1322873000,91653000,9.36,0.29,Hist,09/30/2017
Philip Morris International Inc.,PM,Common,10190340,1048,1131230000,-65502000,8.00,0.66,Hist,09/30/2017
COMPAGNIE FINANCIERE RICHEMONT AG /FI,CFRHF,Com,11871712,23493,1085827000,108425000,7.68,,Hist,09/30/2017
HEINEKEN HOLDING N V,HKHHF,Common,10980972,-72572,1032046000,20325000,7.30,,Hist,09/30/2017
UNILEVER N V,UN,N Y SHS NEW,15026289,-55093,887152000,53604000,6.27,,Hist,09/30/2017
PERNOD RICARD S A /FI,PDRDF,Common,6270809,-2247,867733000,28840000,6.14,,Hist,09/30/2017
WELLS FARGO & COMPANY/MN,WFC,Common,12704228,55602,700638000,-222000,4.96,0.26,Hist,09/30/2017
BERKSHIRE HATHAWAY INC,BRK/B,Common,2518342,8624,461662000,36591000,3.27,153.08,Hist,09/30/2017
SWATCH GROUP,SWGAF,Common,1073987,32480,447088000,61981000,3.16,,Hist,09/30/2017
MARTIN MARIETTA MATERIALS INC,MLM,Common,2034151,268198,419503000,26437000,2.97,3.24,Hist,09/30/2017
"ALTRIA GROUP, INC.",MO,Common,5683852,337555,360470000,-37669000,2.55,0.30,Hist,09/30/2017
BRITISH AMERICAN TOBACCO PLC /ADR/,BTAFF,Common,5295611,224303,331939000,-12844000,2.35,,Hist,09/30/2017
DIAGEO PLC,DGEAF,Common,9126500,-32152,300359000,30484000,2.12,,Hist,09/30/2017
JCDECAUX SA /FI,JCDXF,Common,7777411,600729,291280000,56196000,2.06,,Hist,09/30/2017
COMCAST CORP,CMCSA,Common,7160960,78893,275554000,-80000,1.95,0.15,Hist,09/30/2017
BROWN FORMAN CORP,BF.A,CL A,4441151,-54915,247328000,25672000,1.75,1.16,Hist,09/30/2017
BROWN FORMAN CORP,BF.B,CL B,1528826,80331,83015000,12618000,0.59,0.40,Hist,09/30/2017
DIAGEO PLC,DEO,SPON ADR NEW,461365,-10405,60960000,4428000,0.43,,Hist,09/30/2017
VISA INC.,V,CL A,567051,4865,59676000,6954000,0.42,0.02,Hist,09/30/2017
AMERICAN EXPRESS CO,AXP,Common,165351,539,14958000,1074000,0.11,0.02,Hist,09/30/2017
EXXON MOBIL CORP,XOM,Common,160552,-767,13162000,139000,0.09,0.00,Hist,09/30/2017
MEXICAN ECONOMIC DEVELOPMENT INC,FMX,ADR,133775,-85,12780000,-384000,0.09,,Hist,09/30/2017
"Scripps Networks Interactive, Inc.",SNI,Common,147901,-1004270,12703000,-66002000,0.09,0.11,Hist,09/30/2017
GROUPE DANONE,DANOY,ADR,795070,5025,12477000,617000,0.09,,Hist,09/30/2017
MARKEL CORP,MKL,Common,10908,-204,11650000,806000,0.08,0.08,Hist,09/30/2017
CRANE CO /DE/,CR,Common,133123,-1450,10649000,-33000,0.08,0.22,Hist,09/30/2017
SWEDISH MATCH CORP,SWMAF,Common,275838,-1405,9655000,-98000,0.07,,Hist,09/30/2017
OUTFRONT Media Inc.,OUT,COM,325815,15090,8204000,1020000,0.06,0.24,Hist,09/30/2017
COCA COLA CO,KO,Common,164777,-4750,7417000,-186000,0.05,0.00,Hist,09/30/2017
MILLER HERMAN INC,MLHR,Common,205416,-100,7374000,1126000,0.05,0.34,Hist,09/30/2017
PROCTER & GAMBLE Co,PG,Common,62267,-2125,5665000,53000,0.04,0.00,Hist,09/30/2017
HORMEL FOODS CORP /DE/,HRL,Common,159273,3424,5119000,-197000,0.04,0.03,Hist,09/30/2017
HEINEKEN N V/ /FI,HINKF,Common,49688,0,4914000,90000,0.03,,Hist,09/30/2017
DOVER Corp,DOV,Common,53666,-1760,4905000,459000,0.03,0.03,Hist,09/30/2017
PEPSICO INC,PEP,Common,35200,-19,3922000,-145000,0.03,0.00,Hist,09/30/2017
MICROSOFT CORP,MSFT,Common,49400,0,3680000,275000,0.03,0.00,Hist,09/30/2017
JPMORGAN CHASE & CO,JPM/WS,W EXP 10/28/2018,67800,-10620,3665000,-279000,0.03,,Hist,09/30/2017
MCCORMICK & CO INC,MKC,Common,33655,-100,3454000,163000,0.02,0.03,Hist,09/30/2017
NESTLE SA /FI,NSRGF,Common,41000,0,3436000,-137000,0.02,,Hist,09/30/2017
DowDuPont Inc.,DWDP,Common Stock,48139,48139,3333000,3333000,0.02,,Hist,09/30/2017
Royal Dutch Shell plc,RDS.A,SPONS ADR A,53825,0,3261000,398000,0.02,,Hist,09/30/2017
"PNC FINANCIAL SERVICES GROUP, INC.",PNC,Common,22890,0,3085000,227000,0.02,0.00,Hist,09/30/2017
M&T BANK CORP,MTB/WS,WARRANT,34930,0,2988000,-88000,0.02,,Hist,09/30/2017
WELLS FARGO & COMPANY/MN,WFC/WS,WARRANTS,134895,0,2908000,-87000,0.02,,Hist,09/30/2017
CHEVRON CORP,CVX,Common,24256,-1600,2850000,152000,0.02,0.00,Hist,09/30/2017
BIC CORP,BICEF,Common,21680,1075,2599000,157000,0.02,,Hist,09/30/2017
Alphabet Inc.,GOOG,COM,2665,195,2556000,311000,0.02,0.00,Hist,09/30/2017
RECKITT BENCKISER GROUP PLC,RBGPF,Common,26217,-150,2396000,-270000,0.02,,Hist,09/30/2017
FULTON FINANCIAL CORP,FULT,Common,117072,32229,2195000,583000,0.02,0.07,Hist,09/30/2017
Alphabet Inc.,GOOGL,COM,2097,-5,2042000,88000,0.01,0.00,Hist,09/30/2017
EATON VANCE SENIOR INCOME TRUST,EVF,Common,287323,1993,1902000,5000,0.01,,Hist,09/30/2017
LINDT & SPRUENGLI AG-REG,LDSRF,Common,27,0,1874000,-11000,0.01,,Hist,09/30/2017
PERNOD RICARD S A /FI,PDRDY,COM,65650,1025,1817000,89000,0.01,,Hist,09/30/2017
Kraft Heinz Co,KHC,COM,22535,0,1748000,-182000,0.01,0.00,Hist,09/30/2017
AbbVie Inc.,ABBV,COM,17800,1600,1582000,407000,0.01,0.00,Hist,09/30/2017
BB&T CORP,BBT,Common,26967,3291,1266000,191000,0.01,0.00,Hist,09/30/2017
BANK OF AMERICA CORP /DE/,BAC,Common,46975,-2125,1190000,-1000,0.01,0.00,Hist,09/30/2017
INTERNATIONAL BUSINESS MACHINES CORP,IBM,Common,8184,-750,1187000,-187000,0.01,0.00,Hist,09/30/2017
Vulcan Materials CO,VMC,Common,9845,860,1177000,39000,0.01,0.01,Hist,09/30/2017
PARGESA HOLDING SA,PRGAF,Common,13026,0,1084000,92000,0.01,,Hist,09/30/2017
ABBOTT LABORATORIES,ABT,Common,16500,-100,880000,73000,0.01,0.00,Hist,09/30/2017
COSTCO WHOLESALE CORP /NEW,COST,Common,5318,-1325,874000,-188000,0.01,0.00,Hist,09/30/2017
LAMAR ADVERTISING CO/NEW,LAMR,Common,12490,-750,856000,-118000,0.01,0.01,Hist,09/30/2017
Nielsen Holdings plc,NLSN,COM,19341,0,802000,54000,0.01,0.01,Hist,09/30/2017
BAT INDUSTRIES PLC /FI,BTI,Common,12572,450,785000,-46000,0.01,,Hist,09/30/2017
A P MOLLER-MAERSK A/S,AMKAF,Common,425,0,781000,-29000,0.01,,Hist,09/30/2017
COTY INC.,COTY,Common,42474,-1728,702000,-127000,0.00,0.01,Hist,09/30/2017
WAL MART STORES INC,WMT,Common,7009,-3010,548000,-210000,0.00,0.00,Hist,09/30/2017
MCDONALDS CORP,MCD,Common,3380,0,530000,12000,0.00,0.00,Hist,09/30/2017
Walt Disney Co,DIS,Common,4703,0,464000,-36000,0.00,0.00,Hist,09/30/2017
PIONEER NATURAL RESOURCES CO,PXD,Common,2700,0,398000,-33000,0.00,0.00,Hist,09/30/2017
AMERICAN INTERNATIONAL GROUP INC,AIG,COM,5735,-265,352000,-23000,0.00,0.00,Hist,09/30/2017
Chemours Co,CC,COM,6779,0,343000,86000,0.00,0.00,Hist,09/30/2017
3M CO,MMM,Common,1525,0,320000,3000,0.00,0.00,Hist,09/30/2017
Anheuser-Busch InBev SA/NV,BUD,ADR,2665,-1180,318000,-106000,0.00,,Hist,09/30/2017
SCHLUMBERGER LIMITED/NV,SLB,Common,4390,0,306000,17000,0.00,0.00,Hist,09/30/2017
ROCHE HOLDING LTD,RHHBY,Common,1179,0,301000,0,0.00,,Hist,09/30/2017
MONSANTO CO /NEW/,MON,Common,2425,0,291000,4000,0.00,0.00,Hist,09/30/2017
UNION PACIFIC CORP,UNP,Common,2410,0,279000,17000,0.00,0.00,Hist,09/30/2017
O REILLY AUTOMOTIVE INC,ORLY,COM,1100,0,237000,-4000,0.00,0.00,Hist,09/30/2017
Unum Group,UNM,Common,4500,0,230000,20000,0.00,0.00,Hist,09/30/2017
"CenterState Banks, Inc.",CSFL,COMMON,8504,0,228000,17000,0.00,0.01,Hist,09/30/2017
CONOCOPHILLIPS,COP,Common,4388,-500,220000,5000,0.00,0.00,Hist,09/30/2017
ORACLE CORP,ORCL,Common,4300,0,208000,-8000,0.00,0.00,Hist,09/30/2017
Phillips 66,PSX,COM,2270,2270,208000,208000,0.00,0.00,Hist,09/30/2017
ALLEGHANY CORP /DE,Y,Common,0,-391,0,-233000,0.00,0.00,Hist,09/30/2017
DUPONT E I DE NEMOURS & CO,DD,Common,0,-37553,0,-3031000,0.00,0.00,Hist,09/30/2017
