NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE,SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE
Bank of America Corp 7.2500 C,CONV,060505682,28,21,SH,,SOLE,,21,0,0
Micropore Inc C CV PFD,CONV,595998816,14,2750,SH,,SOLE,,2750,0,0
Wells Fargo 7.5000 Conv Pfd S,CONV,949746804,24,18,SH,,SOLE,,18,0,0
Eaton Vance Sr Income TR SF,SH BEN INT,27826s103,1887,289387,SH,,SOLE,,289387,0,0
Pimco Total Return Fund-Inst,SH BEN INT,693390700,17,1623,SH,,SOLE,,1623,0,0
Templeton Global Bond FD,SH BEN INT,880208400,16,1373,SH,,SOLE,,1373,0,0
3M Company,COM,88579y101,353,1500,SH,,SOLE,,1500,0,0
A T & T Inc,COM,00206r102,58,1500,SH,,SOLE,,1500,0,0
Abbott Labs,COM,002824100,730,12800,SH,,SOLE,,10800,0,2000
AbbVie Inc,COM,00287Y109,1364,14100,SH,,SOLE,,12100,0,2000
ACNB Corp,COM,000868109,26,881,SH,,SOLE,,330,0,551
Alleghany Corp,COM,017175100,193,324,SH,,SOLE,,117,0,207
Alphabet Inc Cl A,COM,02079k305,2188,2077,SH,,SOLE,,2027,0,50
Alphabet Inc Cl C,COM,02079k107,2590,2475,SH,,SOLE,,2425,0,50
Altria Group Inc,COM,02209s103,399264,5591153,SH,,SOLE,,5385121,0,206032
Amazon.com Inc,COM,023135106,88,75,SH,,SOLE,,75,0,0
American Express,COM,025816109,16366,164801,SH,,SOLE,,134267,0,30534
American Intl Group Inc,COM,026874784,342,5735,SH,,SOLE,,5735,0,0
Anheuser-Busch InBev ADR,COM,03524a108,74,665,SH,,SOLE,,665,0,0
Anthem Inc,COM,036752103,23,100,SH,,SOLE,,100,0,0
Apple Computer Inc,COM,037833100,245,1450,SH,,SOLE,,1450,0,0
Bank Amer Corp,COM,060505104,1416,47975,SH,,SOLE,,47975,0,0
Bank Mutual Corp,COM,063750103,16,1467,SH,,SOLE,,1467,0,0
Bank of New York Mellon,COM,064058100,81,1500,SH,,SOLE,,1500,0,0
BB&T Corp,COM,054937107,1348,27105,SH,,SOLE,,27105,0,0
Berkshire Hathaway Inc Cl A,COM,084670108,1392768,4680,SH,,SOLE,,4372,0,308
