NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE,SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE
Berkshire Hathaway Inc Cl B,COM,084670702,495549,2499995,SH,,SOLE,,2354728,0,145267
Boeing,COM,097023105,103,350,SH,,SOLE,,350,0,0
BP PLC ADR,COM,055622104,188,4475,SH,,SOLE,,4475,0,0
British Amern Tob PLC ADR,COM,110448107,733,10947,SH,,SOLE,,10947,0,0
Brown-Forman Corp Cl A,COM,115637100,290838,4325375,SH,,SOLE,,4139858,0,185518
Brown-Forman Corp Cl B,COM,115637209,101664,1480467,SH,,SOLE,,1338623,0,141844
Cable One Inc,COM,12685j105,97,139,SH,,SOLE,,139,0,0
Campbell Soup,COM,134429109,63,1300,SH,,SOLE,,1300,0,0
Carlisle Inc,COM,142339100,102,900,SH,,SOLE,,900,0,0
Caterpillar Inc,COM,149123101,102,650,SH,,SOLE,,650,0,0
Celgene Corp,COM,151020104,52,500,SH,,SOLE,,500,0,0
Centerstate BKS FLA Inc,COM,15201p109,219,8504,SH,,SOLE,,8504,0,0
Chemours Co,COM,163851108,320,6388,SH,,SOLE,,6388,0,0
Chevron Corp,COM,166764100,2156,17219,SH,,SOLE,,16819,0,400
CIE Financiere Richemont-Unsp,COM,204319107,1773,195665,SH,,SOLE,,195665,0,0
Coca-Cola,COM,191216100,5983,130412,SH,,SOLE,,111662,0,18750
Colgate Palmolive,COM,194162103,158,2100,SH,,SOLE,,2100,0,0
Comcast Corp New Cl A,COM,20030n101,285156,7120002,SH,,SOLE,,6712791,0,407210
Conocophillips,COM,20825c104,227,4138,SH,,SOLE,,3538,0,600
Constellation Brands Inc,COM,21036p108,46,200,SH,,SOLE,,200,0,0
Costco Whsl Corp,COM,22160k105,990,5318,SH,,SOLE,,5318,0,0
Coty Inc-CL A,COM,222070203,826,41543,SH,,SOLE,,38091,0,3452
Crane,COM,224399105,11486,128743,SH,,SOLE,,118143,0,10600
CSX Corp,COM,126408103,77,1400,SH,,SOLE,,1400,0,0
Daily Journal Corp,COM,233912104,23,100,SH,,SOLE,,100,0,0
Danaher Corp,COM,235851102,130,1400,SH,,SOLE,,1400,0,0
Danone ADR,COM,23636T100,12119,721410,SH,,SOLE,,620745,0,100665
Deere & Co,COM,244199105,10,65,SH,,SOLE,,65,0,0
Diageo PLC Sponsored ADR,COM,25243q205,62607,428725,SH,,SOLE,,395055,0,33670
Disney Walt Productions,COM,254687106,495,4603,SH,,SOLE,,3635,0,968
Dover Corp,COM,260003108,5354,53016,SH,,SOLE,,43516,0,9500
DowDupont Inc,COM,26078j100,3369,47305,SH,,SOLE,,47305,0,0
Estee Lauder Cos Inc Cl A,COM,518439104,24,190,SH,,SOLE,,190,0,0
Exxon Mobil Corp,COM,30231g102,13251,158428,SH,,SOLE,,147484,0,10944
Fastenal,COM,311900104,70,1275,SH,,SOLE,,1275,0,0
FedEx Corp,COM,31428x106,92,370,SH,,SOLE,,370,0,0
Fomento Economico Mex Sp ADR,COM,344419106,12924,137640,SH,,SOLE,,113810,0,23830
Fortive Corp,COM,34959j108,36,500,SH,,SOLE,,500,0,0
Franklin Resources Inc,COM,354613101,34,775,SH,,SOLE,,775,0,0
Fulton Finl Corp,COM,360271100,2091,116822,SH,,SOLE,,41379,0,75443
Gannet Co Inc,COM,36473h104,32,2750,SH,,SOLE,,0,0,2750
General Electric,COM,369604103,124,7080,SH,,SOLE,,7080,0,0
Genesee & Wyo Inc Cl A,COM,371559105,18,225,SH,,SOLE,,225,0,0
Graham Holdings Co,COM,384637104,77,138,SH,,SOLE,,138,0,0
Hain Celestial Group Inc,COM,405217100,4,100,SH,,SOLE,,100,0,0
Hasbro Inc,COM,418056107,137,1507,SH,,SOLE,,1507,0,0
Heartland Express Inc,COM,422347104,152,6499,SH,,SOLE,,6499,0,0
Heineken NV Spons ADR,COM,423012301,1852,35482,SH,,SOLE,,35482,0,0
Herman Miller Inc,COM,600544100,8178,204191,SH,,SOLE,,185241,0,18950
Hershey Foods Corp,COM,427866108,77,676,SH,,SOLE,,676,0,0
Home Depot Inc,COM,437076102,85,450,SH,,SOLE,,450,0,0
Hormel Foods Corp,COM,440452100,5761,158314,SH,,SOLE,,138774,0,19540
I B M,COM,459200101,1164,7588,SH,,SOLE,,5293,0,2295
J.P. Morgan Chase,COM,46625h100,214,2000,SH,,SOLE,,2000,0,0
John Wiley & Son Inc Cl A,COM,968223206,82,1250,SH,,SOLE,,0,0,1250
Johnson & Johnson,COM,478160104,184,1315,SH,,SOLE,,1065,0,250
Knowles Corp,COM,49926d109,4,300,SH,,SOLE,,300,0,0
Kraft Heinz Co,COM,500754106,1752,22535,SH,,SOLE,,22535,0,0
Lamar Advertising Co-A,COM,512816109,904,12170,SH,,SOLE,,12170,0,0
Lockheed Martin Corp,COM,539830109,55,170,SH,,SOLE,,170,0,0
Lowes Inc,COM,548661107,28,300,SH,,SOLE,,0,0,300
Luxottica Group SPA ADR,COM,55068r202,29,466,SH,,SOLE,,466,0,0
LVMH Moet Hennessy Louis Vuitt,COM,502441306,88,1500,SH,,SOLE,,1500,0,0
Manpowergroup,COM,56418h100,27,215,SH,,SOLE,,215,0,0
Markel Corp,COM,570535104,9492,8333,SH,,SOLE,,7183,0,1150
Martin Marietta Materials,COM,573284106,444679,2011757,SH,,SOLE,,1886438,0,125319
Mastercard Inc Cl A,COM,57636q104,1384385,9146308,SH,,SOLE,,8634960,0,511348
Mattel Inc,COM,577081102,102,6625,SH,,SOLE,,5125,0,1500
McClatchy Company Cl A,COM,579489303,22,2500,SH,,SOLE,,0,0,2500
McCormick Inc,COM,579780206,3425,33605,SH,,SOLE,,29305,0,4300
McDonalds Corp,COM,580135101,557,3235,SH,,SOLE,,3235,0,0
McKesson HBOC Inc,COM,58155q103,15,95,SH,,SOLE,,95,0,0
Merck Inc,COM,58933Y105,162,2886,SH,,SOLE,,2886,0,0
Microsoft Corp,COM,594918104,376,4400,SH,,SOLE,,3200,0,1200
Mirant Corp Escrow Shares,COM,604675991,0,500,SH,,SOLE,,500,0,0
Mohawk Inds Inc,COM,608190104,83,300,SH,,SOLE,,300,0,0
Monsanto,COM,61166w101,283,2425,SH,,SOLE,,2425,0,0
Murphy Oil Corp,COM,626717102,30,975,SH,,SOLE,,975,0,0
Murphy USA Inc,COM,626755102,20,250,SH,,SOLE,,250,0,0
Nestle SA-Spons ADR,COM,641069406,1365816,15887125,SH,,SOLE,,15013950,0,873175
Newell Brands Inc,COM,651229106,5,150,SH,,SOLE,,150,0,0
Nextera Energy Inc,COM,65339F101,86,550,SH,,SOLE,,550,0,0
Nike Inc - Cl B,COM,654106103,147,2350,SH,,SOLE,,2350,0,0
Northern Trust Corp,COM,665859104,113,1129,SH,,SOLE,,1129,0,0
Novartis AG ADR Sponsored,COM,66987v109,10,125,SH,,SOLE,,125,0,0
O Reilly Automotive Inc,COM,67103h107,265,1100,SH,,SOLE,,1100,0,0
Oracle Corp,COM,68389x105,203,4300,SH,,SOLE,,4300,0,0
Outfront Media Inc,COM,69007j106,7572,326359,SH,,SOLE,,276024,0,50335
Pepsico Inc,COM,713448108,4098,34175,SH,,SOLE,,30875,0,3300
Pernod-Ricard SA-Unspon ADR,COM,714264207,1622,51200,SH,,SOLE,,51200,0,0
Pfizer Inc,COM,717081103,69,1900,SH,,SOLE,,0,0,1900
Philip Morris International In,COM,718172109,1071609,10143009,SH,,SOLE,,9683355,0,459654
Phillips 66,COM,718546104,179,1770,SH,,SOLE,,1470,0,300
Pioneer Nat Res,COM,723787107,467,2700,SH,,SOLE,,2700,0,0
PNC Bank Corp,COM,693475105,3043,21090,SH,,SOLE,,11890,0,9200
Procter & Gamble,COM,742718109,5552,60424,SH,,SOLE,,55409,0,5015
Rite Aid Corp,COM,767754104,1,500,SH,,SOLE,,500,0,0
Royal Dutch Shell PLC ADR A,COM,780259206,3469,52005,SH,,SOLE,,43500,0,8505
Royal Dutch Shell PLC ADR B,COM,780259107,22,325,SH,,SOLE,,325,0,0
Schlumberger LTD,COM,806857108,285,4225,SH,,SOLE,,1225,0,3000
Scripps Networks Interactive C,COM,811065101,5224,61183,SH,,SOLE,,58333,0,2850
Tencent Holdings LTD ADR,COM,88032q109,87,1675,SH,,SOLE,,1675,0,0
The Swatch Group AG ADR,COM,870123106,783,38385,SH,,SOLE,,38385,0,0
UGI Corp,COM,902681105,70,1500,SH,,SOLE,,1500,0,0
Unilever NV ADR,COM,904784709,832520,14781958,SH,,SOLE,,13955310,0,826648
Unilever PLC ADR,COM,904767704,152,2749,SH,,SOLE,,2749,0,0
Union Pac Corp,COM,907818108,323,2410,SH,,SOLE,,2410,0,0
Unum Group,COM,91529y106,247,4500,SH,,SOLE,,4500,0,0
US Bancorp,COM,902973304,150,2800,SH,,SOLE,,800,0,2000
Vectren Corp,COM,92240g101,104,1599,SH,,SOLE,,1599,0,0
Verizon Communications,COM,92343v104,9,175,SH,,SOLE,,175,0,0
Visa Inc Cl A,COM,92826c839,65492,574391,SH,,SOLE,,496947,0,77444
Vulcan Materials,COM,929160109,1891,14730,SH,,SOLE,,9055,0,5675
WABCO Holdings Inc,COM,92927k102,179,1250,SH,,SOLE,,1250,0,0
Wal Mart Stores Inc,COM,931142103,555,5619,SH,,SOLE,,4669,0,950
Walgreens Boots Alliance Inc,COM,931427108,9,125,SH,,SOLE,,125,0,0
Wells Fargo,COM,949746101,756606,12470839,SH,,SOLE,,11776216,0,694623
Weyco Group Inc,COM,962149100,67,2250,SH,,SOLE,,2250,0,0
Yum Brands Inc,COM,988498101,98,1200,SH,,SOLE,,1200,0,0
"Yum China Holdings, Inc.",COM,98850P109,48,1200,SH,,SOLE,,1200,0,0
Bank of America Corp WTS Exp 1,WTS,060505153,4,2000,SH,,SOLE,,2000,0,0
Citigroup Inc A WTS Exp 1/4/19,WTS,172967226,0,2000,SH,,SOLE,,2000,0,0
Hostess Brands Inc Wts Exp 11/,WTS,44109j114,134,57500,SH,,SOLE,,57500,0,0
JP Morgan Chase & Co WTS Exp 1,WTS,46634e114,3840,57800,SH,,SOLE,,57800,0,0
M&T Bank Corp Wts Exp 12/23/1,WTS,55261f112,2928,30000,SH,,SOLE,,30000,0,0
Wells Fargo WTS Exp 10/28/18,WTS,949746119,3497,127195,SH,,SOLE,,127195,0,0
A P Moller-Maersk A/S,COM,k0514g135,708,424,SH,,SOLE,,399,0,25
Anheuser-Busch InBev SA,COM,b639cj108,799868,7152503,SH,,SOLE,,6764236,0,388267
Anheuser-Busch InBev SA Restri,COM,b639cj116,5813,51983,SH,,SOLE,,51983,0,0
Bayerische Motoren Werke AG,COM,d12096109,52,500,SH,,SOLE,,500,0,0
BIC,COM,f10080103,2386,21680,SH,,SOLE,,21245,0,435
Bollore,COM,f10659260,163,30000,SH,,SOLE,,30000,0,0
British American Tobacco PLC,COM,g1510j102,353891,5213405,SH,,SOLE,,5027558,0,185847
Canadian Natl Railway Co,COM,136375102,17,200,SH,,SOLE,,200,0,0
Cir SPA,COM,t28980125,175,125000,SH,,SOLE,,125000,0,0
Compagnie Financiere Richemont,COM,h25662182,1050114,11589314,SH,,SOLE,,10986165,0,603149
Daimler,COM,d1668r123,77,902,SH,,SOLE,,902,0,0
Davide Campari-Milano SPA,COM,t3490m150,14,1825,SH,,SOLE,,1825,0,0
Diageo PLC,COM,g42089113,327656,8888628,SH,,SOLE,,8459084,0,429544
Essilor International,COM,001179764,191,1385,SH,,SOLE,,1385,0,0
Groupe Danone,COM,f12033134,275,3275,SH,,SOLE,,3275,0,0
Hanjaya Mandala Sampoerna,COM,y7121z146,240,687500,SH,,SOLE,,687500,0,0
Heineken Holding NV,COM,n39338194,1066556,10767419,SH,,SOLE,,10201898,0,565521
Heineken NV,COM,n39427211,5187,49688,SH,,SOLE,,45663,0,4025
Indivior PLC,COM,g4766e108,128,23192,SH,,SOLE,,15717,0,7475
Ingersoll-Rand PLC,COM,g47791101,78,875,SH,,SOLE,,875,0,0
JC Decaux SA ACT,COM,f5333n100,312091,7734042,SH,,SOLE,,7294135,0,439907
Lindt & Spruengli AG - Reg,COM,h49983176,1953,27,SH,,SOLE,,27,0,0
Loreal SA,COM,f58149133,1142,5140,SH,,SOLE,,4960,0,180
LT Group Inc,COM,y5342m100,225,600000,SH,,SOLE,,600000,0,0
LVMH Moet Hennessy Louis Vuitt,COM,f58485115,198,671,SH,,SOLE,,671,0,0
Mylan NV,COM,n59465109,107,2540,SH,,SOLE,,2540,0,0
Nestle SA-REG,COM,h57312649,3526,41000,SH,,SOLE,,41000,0,0
Nielsen Holdings PLC ORD,COM,g6518l108,740,20341,SH,,SOLE,,18841,0,1500
Pargesa Holding AG - B,COM,h60477207,1021,11776,SH,,SOLE,,11526,0,250
Pernod Ricard,COM,f72027109,965885,6096008,SH,,SOLE,,5797940,0,298068
PZ Cussons PLC,COM,g6850s109,66,15000,SH,,SOLE,,15000,0,0
Reckitt Benckiser Group PLC,COM,g74079107,2430,25967,SH,,SOLE,,18417,0,7550
Remy Cointreau,COM,f7725a100,135,975,SH,,SOLE,,975,0,0
Roche Holding AG,COM,001203204,298,1179,SH,,SOLE,,1179,0,0
Schibsted A/S CL A,COM,r75677105,98,3400,SH,,SOLE,,3400,0,0
Schibsted A/S CL B,COM,r75677147,91,3400,SH,,SOLE,,3400,0,0
Shiseido Co Ltd,COM,001228935,280,5800,SH,,SOLE,,5800,0,0
Strauss Group LTD,COM,M8553H110,107,5000,SH,,SOLE,,5000,0,0
Suncor Energy Inc,COM,867224107,147,4000,SH,,SOLE,,0,0,4000
Swedish Match AB,COM,w92277115,10885,275753,SH,,SOLE,,270503,0,5250
The Swatch Group AG-BR,COM,h83949141,467942,1147483,SH,,SOLE,,1093157,0,54326
Unilever NV,COM,n8981f271,2199,39000,SH,,SOLE,,39000,0,0
Wal-Mart De Mexico S A,COM,p98180188,10,4025,SH,,SOLE,,0,0,4025
Yoox S P A Shs Prive Di Valore,COM,t9846s106,52,1500,SH,,SOLE,,1500,0,0
