Name,Ticker,Class,Shares,Change,Value,Change,% Port,% OS,Hist,Date
NESTLE SA,NSRGY,Common,9965126,16979,549656000,-67672000,11.57,,Hist,09/30/2011
Philip Morris International Inc.,PM,Common,8208203,81825,512028000,-30570000,10.78,,Hist,09/30/2011
BERKSHIRE HATHAWAY INC,BRK.A,Common,3834,119,409471000,-21859000,8.62,,Hist,09/30/2011
HEINEKEN HOLDING N V,HKHHF,Common,7283645,267345,282767000,-76120000,5.95,,Hist,09/30/2011
COMPAGNIE FINANCIERE RICHEMONT AG /FI,CFRHF,COM,6201168,247280,279575000,-109690000,5.88,,Hist,09/30/2011
SABMILLER PLC/FI,SBMRF,Common,8255601,206175,271037000,-22507000,5.71,,Hist,09/30/2011
Mastercard Inc,MA,CL A,754696,10637,239359000,15144000,5.04,,Hist,09/30/2011
PERNOD RICARD S A /FI,PDRDF,Common,2999888,169511,236789000,-42133000,4.98,,Hist,09/30/2011
UNILEVER N V,UN,N Y SHS NEW,6635977,150420,208967000,-4084000,4.40,,Hist,09/30/2011
WELLS FARGO & COMPANY/MN,WFC,Common,8658622,583007,208846000,-17756000,4.40,,Hist,09/30/2011
"ALTRIA GROUP, INC.",MO,Common,7104090,39500,190461000,3885000,4.01,,Hist,09/30/2011
BRITISH AMERICAN TOBACCO PLC /ADR/,BTAFF,Common,4168778,82020,177192000,-1991000,3.73,,Hist,09/30/2011
Anheuser-Busch InBev SA/NV,BUD,ADR,3057353,190865,161979000,-4306000,3.41,,Hist,09/30/2011
COMCAST CORP,CMCSK,Common,6897524,5088,142917000,-24087000,3.01,,Hist,09/30/2011
DIAGEO PLC,DGEAF,Common,6446169,81550,123716000,-6360000,2.60,,Hist,09/30/2011
BROWN FORMAN CORP,BF.A,CL A,1727738,27475,117417000,-5002000,2.47,,Hist,09/30/2011
BERKSHIRE HATHAWAY INC,BRK/B,Common,1522415,33135,108152000,-7103000,2.28,,Hist,09/30/2011
MARTIN MARIETTA MATERIALS INC,MLM,Common,1569735,23889,99239000,-24382000,2.09,3.44,Hist,09/30/2011
"Scripps Networks Interactive, Inc.",SNI,Common,1618953,-77,60176000,-18962000,1.27,,Hist,09/30/2011
Graham Holdings Co,WPO,Cl B,124419,-385,40681000,-11606000,0.86,,Hist,09/30/2011
DIAGEO PLC,DEO,SPON ADR NEW,460782,-19459,34987000,-4330000,0.74,,Hist,09/30/2011
HASBRO INC,HAS,Common,946654,4465,30870000,-10520000,0.65,,Hist,09/30/2011
JCDECAUX SA /FI,JCDXF,Common,1031051,55375,25834000,-5435000,0.54,,Hist,09/30/2011
ABBOTT LABORATORIES,ABT,Common,425177,-9568,21744000,-1132000,0.46,,Hist,09/30/2011
SWEDISH MATCH CORP,SWMAF,Common,443700,-500,14729000,-202000,0.31,,Hist,09/30/2011
SWATCH GROUP,SWGAF,Common,42008,139,13981000,-7093000,0.29,,Hist,09/30/2011
EXXON MOBIL CORP,XOM,Common,191538,-3874,13911000,-1992000,0.29,,Hist,09/30/2011
PROCTER & GAMBLE Co,PG,Common,186137,-8694,11760000,-625000,0.25,,Hist,09/30/2011
MILLER HERMAN INC,MLHR,Common,457561,-5300,8172000,-4427000,0.17,,Hist,09/30/2011
MARKEL CORP,MKL,Common,22394,-1000,7998000,-1285000,0.17,,Hist,09/30/2011
BROWN FORMAN CORP,BF.B,CL B,102860,-6500,7215000,-953000,0.15,,Hist,09/30/2011
CRANE CO /DE/,CR,Common,191947,1350,6851000,-2566000,0.14,,Hist,09/30/2011
MEXICAN ECONOMIC DEVELOPMENT INC,FMX,ADR,104119,-1931,6749000,-302000,0.14,,Hist,09/30/2011
GOLDMAN SACHS GROUP INC,GS,Common,63375,-175,5992000,-2466000,0.13,,Hist,09/30/2011
CHEVRON CORP,CVX,Common,64646,-3530,5986000,-1025000,0.13,,Hist,09/30/2011
VISA INC.,V,CL A,69565,-310,5963000,75000,0.13,,Hist,09/30/2011
HORMEL FOODS CORP /DE/,HRL,Common,219779,-8667,5938000,-872000,0.12,,Hist,09/30/2011
PEPSICO INC,PEP,Common,88105,-4369,5454000,-1059000,0.11,,Hist,09/30/2011
AMERICAN EXPRESS CO,AXP,Common,115250,-8400,5175000,-1218000,0.11,,Hist,09/30/2011
COCA COLA CO,KO,Common,70986,-175,4796000,8000,0.10,0.00,Hist,09/30/2011
MCCORMICK & CO INC,MKC,Common,94416,-43584,4358000,-2483000,0.09,,Hist,09/30/2011
Royal Dutch Shell plc,RDS.A,SPONS ADR A,66619,-2725,4098000,-834000,0.09,,Hist,09/30/2011
HEINEKEN N V/ /FI,HINKF,Common,90103,0,4055000,-1362000,0.09,,Hist,09/30/2011
AMERICAN TOWER CORP /MA/,AMT,Common,71330,0,3838000,105000,0.08,0.02,Hist,09/30/2011
PRAXAIR INC,PX,Common,34900,-575,3262000,-583000,0.07,,Hist,09/30/2011
MICROSOFT CORP,MSFT,Common,126947,-6250,3160000,-303000,0.07,0.00,Hist,09/30/2011
STAPLES INC,SPLS,Common,226080,-13400,3007000,-777000,0.06,0.03,Hist,09/30/2011
DOVER Corp,DOV,Common,63175,26825,2944000,479000,0.06,0.03,Hist,09/30/2011
GROUPE DANONE,DANOY,ADR,222750,0,2762000,-561000,0.06,,Hist,09/30/2011
PARGESA HOLDING SA,PRGAF,Common,36750,50,2533000,-862000,0.05,,Hist,09/30/2011
BIC CORP,BICEF,Common,28225,0,2423000,-304000,0.05,,Hist,09/30/2011
PROGRESSIVE CORP/OH/,PGR,Common,121132,-1000,2151000,-460000,0.05,,Hist,09/30/2011
COSTCO WHOLESALE CORP /NEW,COST,Common,24160,-1620,1984000,-110000,0.04,,Hist,09/30/2011
INTERNATIONAL BUSINESS MACHINES CORP,IBM,Common,11102,100,1941000,54000,0.04,,Hist,09/30/2011
"PNC FINANCIAL SERVICES GROUP, INC.",PNC,Common,37774,19400,1820000,725000,0.04,,Hist,09/30/2011
CONOCOPHILLIPS,COP,Common,23891,-100,1513000,-291000,0.03,,Hist,09/30/2011
LINDT & SPRUENGLI AG-REG,LDSRF,Common,36,0,1249000,-61000,0.03,,Hist,09/30/2011
WELLS FARGO & COMPANY/MN,WFC/WS,WARRANTS,152250,44500,1172000,170000,0.02,,Hist,09/30/2011
PRECISION CASTPARTS CORP,PCP,Common,6600,0,1026000,-61000,0.02,0.00,Hist,09/30/2011
WAL MART STORES INC,WMT,Common,19478,-5100,1011000,-295000,0.02,0.00,Hist,09/30/2011
Vulcan Materials CO,VMC,Common,34675,-4250,956000,-544000,0.02,,Hist,09/30/2011
A P MOLLER-MAERSK A/S,AMKAF,Common,165,1,935000,-422000,0.02,,Hist,09/30/2011
"CISCO SYSTEMS, INC.",CSCO,Common,59000,0,915000,-6000,0.02,0.00,Hist,09/30/2011
LEUCADIA NATIONAL CORP,LUK,Common,39715,-62135,901000,-2572000,0.02,,Hist,09/30/2011
EATON VANCE SENIOR INCOME TRUST,EVF,Common,136708,710,863000,-116000,0.02,,Hist,09/30/2011
JOHNSON & JOHNSON,JNJ,Common,13051,-50,831000,-40000,0.02,,Hist,09/30/2011
APTARGROUP INC,ATR,Common,17884,0,799000,-137000,0.02,0.03,Hist,09/30/2011
FULTON FINANCIAL CORP,FULT,Common,97591,-1000,747000,-309000,0.02,,Hist,09/30/2011
VORNADO REALTY TRUST,VNO,SH BEN INT,10000,0,746000,-186000,0.02,,Hist,09/30/2011
GENERAL DYNAMICS CORP,GD,Common,12400,-500,705000,-256000,0.01,,Hist,09/30/2011
HEINEKEN NV /ADR/,HINKY,Common,31087,-9675,699000,-526000,0.01,,Hist,09/30/2011
JPMORGAN CHASE & CO,JPM,Common,23000,0,693000,-249000,0.01,,Hist,09/30/2011
DUPONT E I DE NEMOURS & CO,DD,Common,17184,0,687000,-242000,0.01,,Hist,09/30/2011
DEERE & CO,DE,Common,10300,0,665000,-184000,0.01,,Hist,09/30/2011
MCDONALDS CORP,MCD,Common,7535,-75,662000,20000,0.01,,Hist,09/30/2011
JPMORGAN CHASE & CO,JPM/WS,W EXP 10/28/2018,67800,15300,631000,-76000,0.01,,Hist,09/30/2011
COMCAST CORP,CMCSA,Common,29921,-25,626000,-133000,0.01,,Hist,09/30/2011
SABMILLER PLC/FI,SBMRY,Common,18950,-8150,622000,-366000,0.01,,Hist,09/30/2011
MATTEL INC /DE/,MAT,Common,22625,0,586000,-36000,0.01,,Hist,09/30/2011
BB&T CORP,BBT,Common,25150,0,536000,-139000,0.01,,Hist,09/30/2011
PERNOD RICARD S A /FI,PDRDY,COM,33955,-11700,536000,-364000,0.01,,Hist,09/30/2011
Walt Disney Co,DIS,Common,14175,0,428000,-125000,0.01,0.00,Hist,09/30/2011
SCHLUMBERGER LIMITED/NV,SLB,Common,6525,-50,390000,-178000,0.01,,Hist,09/30/2011
CARLISLE COMPANIES INC,CSL,Common,11634,-40000,371000,-2171000,0.01,,Hist,09/30/2011
PIONEER NATURAL RESOURCES CO,PXD,Common,5600,-700,368000,-196000,0.01,0.00,Hist,09/30/2011
ANGLO AMERICAN PLC,AAUKF,Common,10500,0,365000,-155000,0.01,,Hist,09/30/2011
3M CO,MMM,Common,4475,0,321000,-103000,0.01,,Hist,09/30/2011
BAT INDUSTRIES PLC /FI,BTI,Common,3775,-2200,320000,-206000,0.01,,Hist,09/30/2011
GOOGLE INC.,GOOG,CL A,575,105,296000,58000,0.01,,Hist,09/30/2011
DANAHER CORP /DE/,DHR,Common,7012,0,294000,-78000,0.01,0.00,Hist,09/30/2011
BP PLC,BP,SPONSORED ADR,7976,-134,288000,-71000,0.01,,Hist,09/30/2011
RECKITT BENCKISER GROUP PLC,RBGPF,Common,5600,0,286000,-23000,0.01,,Hist,09/30/2011
LAMAR ADVERTISING CO/NEW,LAMR,Common,15850,15850,270000,270000,0.01,,Hist,09/30/2011
IMPERIAL TOBACCO GROUP PLC,ITYBF,Common,7750,0,262000,4000,0.01,,Hist,09/30/2011
HEARTLAND EXPRESS INC,HTLD,Common,19232,-1000,261000,-74000,0.01,,Hist,09/30/2011
ROCHE HOLDING LTD,RHHBY,Common,1575,0,255000,-8000,0.01,,Hist,09/30/2011
BARRY CALLEBAUT AG,BYCBF,Common,300,0,253000,-44000,0.01,,Hist,09/30/2011
"SWISS HELVETIA FUND, INC.",SWZ,Common,22500,0,252000,-85000,0.01,,Hist,09/30/2011
"Merck & Co., Inc.",MRK,COM,7586,0,248000,-20000,0.01,,Hist,09/30/2011
SCOTTS MIRACLE-GRO CO,SMG,CL A,5200,0,232000,-35000,0.00,,Hist,09/30/2011
AT&T CORP,T,Common,7453,-300,213000,-31000,0.00,,Hist,09/30/2011
GENERAL ELECTRIC CO,GE,Common,13625,0,207000,-50000,0.00,,Hist,09/30/2011
YUM BRANDS INC,YUM,Common,4000,0,198000,-23000,0.00,,Hist,09/30/2011
NORTHERN TRUST CORP,NTRS,Common,5000,0,175000,-55000,0.00,,Hist,09/30/2011
AES CORP,AES/PC,CV 6.75%,3500,-4000,172000,-167000,0.00,,Hist,09/30/2011
NEXTERA ENERGY INC,FPL,common,3000,3000,162000,162000,0.00,,Hist,09/30/2011
Unum Group,UNM,Common,7650,7650,160000,160000,0.00,,Hist,09/30/2011
LEXINGTON REALTY TRUST,LXP,Common,23957,0,157000,-62000,0.00,,Hist,09/30/2011
SCHIBSTED A/S,SBSNF,Common,6587,0,142000,-69000,0.00,,Hist,09/30/2011
ALLEGHANY CORP /DE,Y,Common,465,465,134000,134000,0.00,,Hist,09/30/2011
LOREAL,,Common,1350,1350,133000,133000,0.00,,Hist,09/30/2011
MONSANTO CO /NEW/,MON,Common,2190,-1000,131000,-100000,0.00,,Hist,09/30/2011
HOME DEPOT INC,HD,Common,3950,3950,130000,130000,0.00,,Hist,09/30/2011
EXPEDITORS INTERNATIONAL OF WASHINGTON INC,EXPD,Common,3000,3000,122000,122000,0.00,,Hist,09/30/2011
"WILEY JOHN & SONS, INC.",JW.A,CL A,2500,2500,111000,111000,0.00,,Hist,09/30/2011
SUSQUEHANNA BANCSHARES INC,SUSQ,Common,19581,0,107000,-50000,0.00,,Hist,09/30/2011
"Mondelez International, Inc.",KFT,Common,3188,3188,107000,107000,0.00,,Hist,09/30/2011
SUNCOR ENERGY INC,SU,COM,4000,4000,103000,103000,0.00,,Hist,09/30/2011
UNION PACIFIC CORP,UNP,Common,1150,1150,94000,94000,0.00,,Hist,09/30/2011
BRISTOL MYERS SQUIBB CO,BMY,Common,3000,3000,94000,94000,0.00,0.00,Hist,09/30/2011
PPG INDUSTRIES INC,PPG,Common,1075,1075,76000,76000,0.00,,Hist,09/30/2011
OMNICOM GROUP INC.,OMC,Common,1900,1900,70000,70000,0.00,,Hist,09/30/2011
MEDTRONIC INC,MDT,Common,2100,2100,70000,70000,0.00,0.00,Hist,09/30/2011
ORACLE CORP,ORCL,Common,2375,2375,68000,68000,0.00,0.00,Hist,09/30/2011
WALGREEN CO,WAG,Common,2050,2050,67000,67000,0.00,,Hist,09/30/2011
HEALTHSOUTH CORP,HLS,Common,4400,4400,66000,66000,0.00,,Hist,09/30/2011
Discover Financial Services,DFS,Common,2800,2800,64000,64000,0.00,,Hist,09/30/2011
"TWENTY-FIRST CENTURY FOX, INC.",NWS,Common,4000,4000,62000,62000,0.00,,Hist,09/30/2011
TOTAL S.A.,TOT,Common,1400,1400,61000,61000,0.00,,Hist,09/30/2011
MYLAN INC.,MYL,Common,3500,3500,59000,59000,0.00,,Hist,09/30/2011
MURPHY OIL CORP /DE,MUR,Common,1300,1300,57000,57000,0.00,,Hist,09/30/2011
WAL MART DE MEXICO SA DE CV /FI,WMMVF,Common,22650,0,52000,-15000,0.00,,Hist,09/30/2011
CAMPBELL SOUP CO,CPB,Common,1600,1600,52000,52000,0.00,,Hist,09/30/2011
AUTOMATIC DATA PROCESSING INC,ADP,Common,1100,1100,52000,52000,0.00,,Hist,09/30/2011
BAYERISCHE MOTOREN WERKE AG,BAMXF,Common,750,750,50000,50000,0.00,,Hist,09/30/2011
EMC CORP,EMC,Common,2250,2250,47000,47000,0.00,0.00,Hist,09/30/2011
US GLOBAL INVESTORS FUNDS,GROW,CL A,6750,6750,46000,46000,0.00,,Hist,09/30/2011
"Hill-Rom Holdings, Inc.",HRC,COM,1500,1500,45000,45000,0.00,,Hist,09/30/2011
DAIMLER AG,DAI,Common,1002,1002,44000,44000,0.00,,Hist,09/30/2011
MEADWESTVACO Corp,MWV,Common,1807,1807,44000,44000,0.00,,Hist,09/30/2011
VECTREN CORP,VVC,Common,1599,1599,43000,43000,0.00,,Hist,09/30/2011
VERIZON COMMUNICATIONS INC,VZ,Common,1150,1150,42000,42000,0.00,,Hist,09/30/2011
