Name,Ticker,Class,Shares,Change,Value,Change,% Port,% OS,Hist,Date
NESTLE SA,NSRGY,Common,4065778,106104,455692000,78295000,,,Hist,09/30/2007
BERKSHIRE HATHAWAY INC,BRK.A,Common,3549,45,420592000,36992000,,,Hist,09/30/2007
"ALTRIA GROUP, INC.",MO,Common,5604537,221994,389683000,12151000,,,Hist,09/30/2007
HEINEKEN HOLDING N V,HKHHF,Common,6444975,76688,368846000,38396000,,,Hist,09/30/2007
MARTIN MARIETTA MATERIALS INC,MLM,Common,1982255,10524,264730000,-54730000,,,Hist,09/30/2007
COMCAST CORP,CMCSK,Common,9239801,184673,221385000,-31796000,,,Hist,09/30/2007
COMPAGNIE FINANCIERE RICHEMONT AG /FI,CFRUF,Common,3261758,55810,215700000,22926000,,,Hist,09/30/2007
WELLS FARGO & COMPANY/MN,WFC,Common,5954163,341403,212087000,14686000,,,Hist,09/30/2007
AMERICAN INTERNATIONAL GROUP INC,AIG,Common,2864490,109774,193783000,870000,,,Hist,09/30/2007
TELEGRAAF MEDIA GROEP NV,TGRAF,Common,4851471,-115167,163543000,-11183000,,,Hist,09/30/2007
UST INC,UST,Common,3151723,125510,156325000,-6213000,,,Hist,09/30/2007
Graham Holdings Co,WPO,Cl B,192165,2014,154270000,6696000,,,Hist,09/30/2007
DIAGEO PLC,DGEAF,Common,6825392,3597,149613000,7651000,,,Hist,09/30/2007
E.W. SCRIPPS Co,SSP,Common,3175251,80565,133361000,-8035000,,,Hist,09/30/2007
BROWN FORMAN CORP,BF.A,CL A,1645433,14958,128344000,4738000,,,Hist,09/30/2007
CADBURY PUBLIC LTD CO,CSGWF,Common,10314635,185446,119340000,-18923000,,,Hist,09/30/2007
PERNOD RICARD S A /FI,PDRDF,Common,543045,12686,118313000,669000,,,Hist,09/30/2007
UNILEVER N V,UN,N Y SHS NEW,3735942,59715,115254000,1217000,,,Hist,09/30/2007
CITIGROUP INC,C,Common,2413151,8776,112622000,-10698000,,,Hist,09/30/2007
BERKSHIRE HATHAWAY INC,BRK.B,CL B,24101,389,95247000,9765000,,,Hist,09/30/2007
HASBRO INC,HAS,Common,3128538,-35952,87224000,-12173000,,,Hist,09/30/2007
H&R BLOCK INC,HRB,Common,4091763,-19070,86664000,-9406000,,,Hist,09/30/2007
MCCLATCHY CO,MNI,CL A,3703602,294900,73998000,-12276000,,,Hist,09/30/2007
"Mondelez International, Inc.",KFT,Common,1791156,-8672,61813000,-1631000,,,Hist,09/30/2007
SCHWEITZER MAUDUIT INTERNATIONAL INC,SWM,Common,1644801,-37460,38324000,-13826000,,,Hist,09/30/2007
DIAGEO PLC,DEO,SPON ADR NEW,431194,14650,37829000,3127000,,,Hist,09/30/2007
INTERNATIONAL SPEEDWAY CORP,ISCA,Common,759919,-902,34850000,-5253000,,,Hist,09/30/2007
MARKEL CORP,MKL,Common,70000,-225,33880000,-148000,,,Hist,09/30/2007
MILLER HERMAN INC,MLHR,Common,974256,159850,26441000,706000,,,Hist,09/30/2007
EXXON MOBIL CORP,XOM,Common,276205,-13950,25566000,1228000,,,Hist,09/30/2007
ABBOTT LABORATORIES,ABT,Common,421017,1400,22575000,105000,,,Hist,09/30/2007
KONINKLIJKE WEGENER NV,KWEGF,Common,858440,-45100,21633000,-2202000,,,Hist,09/30/2007
BROWN FORMAN CORP,BF.B,CL B,283045,-4230,21203000,209000,,,Hist,09/30/2007
AVISHUSET DAGBLADET,ASVHF,Common,116554,0,15836000,1292000,,,Hist,09/30/2007
PROGRESSIVE CORP/OH/,PGR,Common,799980,-59208,15528000,-5032000,,,Hist,09/30/2007
HORMEL FOODS CORP /DE/,HRL,Common,433365,-4800,15506000,-859000,,,Hist,09/30/2007
INTERNATIONAL SPEEDWAY CORP,ISCB,Common,340486,-1519,15492000,-2692000,,,Hist,09/30/2007
SWEDISH MATCH CORP,SWMAF,Common,727625,-23975,15084000,533000,,,Hist,09/30/2007
BRITISH AMERICAN TOBACCO PLC /ADR/,BTAFF,Common,327645,-1525,11717000,499000,,,Hist,09/30/2007
CANADIAN OIL SANDS TRUST /FI,COS.UN,Common,330000,0,10989000,868000,,,Hist,09/30/2007
PEPSICO INC,PEP,Common,146447,775,10729000,1282000,,,Hist,09/30/2007
CRANE CO /DE/,CR,Common,214274,300,10279000,554000,,,Hist,09/30/2007
PARGESA HOLDING SA,PRGAF,Common,85200,425,9370000,-118000,,,Hist,09/30/2007
GENERAL ELECTRIC CO,GE,Common,207481,-24743,8590000,-300000,,,Hist,09/30/2007
GROUPE DANONE,GDNNY,SPONSORED ADR,514190,2450,8073000,-248000,,,Hist,09/30/2007
ALTADIS SA,ALTDF,Common,113425,-4725,7961000,123000,,,Hist,09/30/2007
ARMSTRONG WORLD INDUSTRIES INC,AWI,Common,194894,5350,7911000,-1595000,,,Hist,09/30/2007
"ANHEUSER-BUSCH COMPANIES, LLC",BUD,Common,147887,-41066,7393000,-2463000,,,Hist,09/30/2007
PHILIP MORRIS CR AS,TBKSF,Common,14158,40,7274000,-74000,,,Hist,09/30/2007
Vulcan Materials CO,VMC,Common,80575,0,7183000,-2046000,,,Hist,09/30/2007
Royal Dutch Shell plc,RDS.A,SPONS ADR A,79941,-150,6570000,67000,,,Hist,09/30/2007
HEINEKEN NV /ADR/,HINKY,Common,200641,-300,6566000,665000,,,Hist,09/30/2007
OMNICOM GROUP INC.,OMC,Common,133050,-3120,6398000,-808000,,,Hist,09/30/2007
CRH PUBLIC LTD CO,CRHCF,Common,144800,6650,5741000,-1106000,,,Hist,09/30/2007
"SUN MICROSYSTEMS, INC.",JAVA,Common,1000000,0,5620000,360000,,,Hist,09/30/2007
JOHNSON & JOHNSON,JNJ,Common,85445,450,5614000,377000,,,Hist,09/30/2007
