Name,Ticker,Class,Shares,Change,Value,Change,% Port,% OS,Hist,Date
BERKSHIRE HATHAWAY INC,BRK.A,Common,3532,-17,500131000,79539000,,,Hist,12/31/2007
NESTLE SA,NSRGY,Common,4048897,-16881,464044000,8352000,,,Hist,12/31/2007
"ALTRIA GROUP, INC.",MO,Common,5681034,76497,429373000,39690000,,,Hist,12/31/2007
HEINEKEN HOLDING N V,HKHHF,Common,6400663,-44312,361381000,-7465000,,,Hist,12/31/2007
MARTIN MARIETTA MATERIALS INC,MLM,Common,2002751,20496,265565000,835000,,,Hist,12/31/2007
COMPAGNIE FINANCIERE RICHEMONT AG /FI,CFRUF,Common,3265087,3329,223854000,8154000,,,Hist,12/31/2007
WELLS FARGO & COMPANY/MN,WFC,Common,6795672,841509,205161000,-6926000,,,Hist,12/31/2007
AMERICAN INTERNATIONAL GROUP INC,AIG,Common,3357212,492722,195725000,1942000,,,Hist,12/31/2007
UST INC,UST,Common,3250274,98551,178115000,21790000,,,Hist,12/31/2007
COMCAST CORP,CMCSK,Common,9691374,451573,175608000,-45777000,,,Hist,12/31/2007
TELEGRAAF MEDIA GROEP NV,TGRAF,Common,4530759,-320712,165146000,1603000,,,Hist,12/31/2007
Graham Holdings Co,WPO,Cl B,193048,883,152784000,-1486000,,,Hist,12/31/2007
DIAGEO PLC,DGEAF,Common,6773440,-51952,145087000,-4526000,,,Hist,12/31/2007
E.W. SCRIPPS Co,SSP,Common,3217898,42647,144838000,11477000,,,Hist,12/31/2007
UNILEVER N V,UN,N Y SHS NEW,3748279,12337,136662000,21408000,,,Hist,12/31/2007
CADBURY PUBLIC LTD CO,CSGWF,Common,11008511,693876,135515000,16175000,,,Hist,12/31/2007
PERNOD RICARD S A /FI,PDRDF,Common,1093993,550948,126077000,7764000,,,Hist,12/31/2007
BROWN FORMAN CORP,BF.A,CL A,1649377,3944,123439000,-4905000,,,Hist,12/31/2007
BERKSHIRE HATHAWAY INC,BRK.B,CL B,23669,-432,112096000,16849000,,,Hist,12/31/2007
HASBRO INC,HAS,Common,3041370,-87168,77798000,-9426000,,,Hist,12/31/2007
H&R BLOCK INC,HRB,Common,3398961,-692802,63119000,-23545000,,,Hist,12/31/2007
MCCLATCHY CO,MNI,CL A,4724427,1020825,59150000,-14848000,,,Hist,12/31/2007
"Mondelez International, Inc.",KFT,Common,1736117,-55039,56649000,-5164000,,,Hist,12/31/2007
SCHWEITZER MAUDUIT INTERNATIONAL INC,SWM,Common,1437829,-206972,37254000,-1070000,,,Hist,12/31/2007
DIAGEO PLC,DEO,SPON ADR NEW,430006,-1188,36907000,-922000,,,Hist,12/31/2007
MARKEL CORP,MKL,Common,69210,-790,33989000,109000,,,Hist,12/31/2007
MILLER HERMAN INC,MLHR,Common,999381,25125,32370000,5929000,,,Hist,12/31/2007
INTERNATIONAL SPEEDWAY CORP,ISCA,Common,718089,-41830,29571000,-5279000,,,Hist,12/31/2007
EXXON MOBIL CORP,XOM,Common,273077,-3128,25585000,19000,,,Hist,12/31/2007
ABBOTT LABORATORIES,ABT,Common,421017,0,23640000,1065000,,,Hist,12/31/2007
BROWN FORMAN CORP,BF.B,CL B,279345,-3700,20702000,-501000,,,Hist,12/31/2007
HORMEL FOODS CORP /DE/,HRL,Common,428225,-5140,17335000,1829000,,,Hist,12/31/2007
SWEDISH MATCH CORP,SWMAF,Common,696400,-31225,16616000,1532000,,,Hist,12/31/2007
AVISHUSET DAGBLADET,ASVHF,Common,116354,-200,16570000,734000,,,Hist,12/31/2007
INTERNATIONAL SPEEDWAY CORP,ISCB,Common,336048,-4438,13778000,-1714000,,,Hist,12/31/2007
CANADIAN OIL SANDS TRUST /FI,COS.UN,Common,330000,0,12854000,1865000,,,Hist,12/31/2007
PROGRESSIVE CORP/OH/,PGR,Common,665086,-134894,12743000,-2785000,,,Hist,12/31/2007
BRITISH AMERICAN TOBACCO PLC /ADR/,BTAFF,Common,296145,-31500,11541000,-176000,,,Hist,12/31/2007
PEPSICO INC,PEP,Common,145047,-1400,11009000,280000,,,Hist,12/31/2007
PARGESA HOLDING SA,PRGAF,Common,87490,2290,9757000,387000,,,Hist,12/31/2007
CRANE CO /DE/,CR,Common,210974,-3300,9051000,-1228000,,,Hist,12/31/2007
GROUPE DANONE,GDNNY,SPONSORED ADR,477190,-37000,8568000,495000,,,Hist,12/31/2007
ARMSTRONG WORLD INDUSTRIES INC,AWI,Common,194763,-131,7812000,-99000,,,Hist,12/31/2007
GENERAL ELECTRIC CO,GE,Common,207493,12,7692000,-898000,,,Hist,12/31/2007
"ANHEUSER-BUSCH COMPANIES, LLC",BUD,Common,146079,-1808,7646000,253000,,,Hist,12/31/2007
Royal Dutch Shell plc,RDS.A,SPONS ADR A,80744,803,6799000,229000,,,Hist,12/31/2007
HEINEKEN NV /ADR/,HINKY,Common,202891,2250,6559000,-7000,,,Hist,12/31/2007
Vulcan Materials CO,VMC,Common,79825,-750,6313000,-870000,,,Hist,12/31/2007
OMNICOM GROUP INC.,OMC,Common,131050,-2000,6229000,-169000,,,Hist,12/31/2007
PHILIP MORRIS CR AS,TBKSF,Common,14140,-18,6176000,-1098000,,,Hist,12/31/2007
CRH PUBLIC LTD CO,CRHCF,Common,161550,16750,5617000,-124000,,,Hist,12/31/2007
TAMEDIA AG,TDAAF,Common,39050,1750,5057000,328000,,,Hist,12/31/2007
ENCANA CORP,ECA,Common,72000,-10000,4893000,-179000,,,Hist,12/31/2007
MICROSOFT CORP,MSFT,Common,134952,-34,4804000,827000,,,Hist,12/31/2007
