NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE,SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE
Eaton Vance Sr Income TR SF,SH BEN INT,27826s103,1738,279947,SH,,SOLE,,279947,0,0
Pimco High Yield Fun-Instl,SH BEN INT,693390841,101,11116,SH,,SOLE,,0,0,11116
Templeton Global Bond FD,SH BEN INT,880208400,143,11714,SH,,SOLE,,11714,0,0
Abbott Labs,COM,002824100,4191,85400,SH,,SOLE,,83400,0,2000
AbbVie Inc,COM,00287Y109,5827,86718,SH,,SOLE,,83400,0,3318
Altria Group Inc,COM,02209s103,317918,6500066,SH,,SOLE,,6229614,0,270452
American Express,COM,025816109,11898,153088,SH,,SOLE,,126084,0,27004
American Intl Group Inc,COM,026874784,371,6000,SH,,SOLE,,6000,0,0
Anheuser-Busch InBev ADR,COM,03524a108,628100,5205103,SH,,SOLE,,4929416,0,275687
Bank Amer Corp,COM,060505104,870,51100,SH,,SOLE,,50100,0,1000
BB&T Corp,COM,054937107,1709,42408,SH,,SOLE,,42408,0,0
Berkshire Hathaway Inc Cl A,COM,084670108,1045145,5102,SH,,SOLE,,4791,0,311
Berkshire Hathaway Inc Cl B,COM,084670702,336537,2472536,SH,,SOLE,,2320561,0,151975
BP PLC ADR,COM,055622104,312,7814,SH,,SOLE,,7814,0,0
British Amern Tob PLC ADR,COM,110448107,750,6925,SH,,SOLE,,6925,0,0
Brown-Forman Corp Cl A,COM,115637100,302920,2718726,SH,,SOLE,,2601515,0,117211
Brown-Forman Corp Cl B,COM,115637209,51836,517433,SH,,SOLE,,469918,0,47515
Carlisle Inc,COM,142339100,350,3500,SH,,SOLE,,3500,0,0
Centerstate BKS FLA Inc,COM,15201p109,149,11004,SH,,SOLE,,11004,0,0
Chevron Corp,COM,166764100,4049,41973,SH,,SOLE,,40923,0,1050
CIE Financiere Richemont-Unsp,COM,204319107,1565,192350,SH,,SOLE,,192350,0,0
Coca-Cola,COM,191216100,8924,227487,SH,,SOLE,,194512,0,32975
Comcast Corp New Cl A,COM,20030n101,1920,31926,SH,,SOLE,,31926,0,0
Comcast Corp Special Cl A,COM,20030n200,249615,4164417,SH,,SOLE,,3923624,0,240794
Conocophillips,COM,20825c104,448,7288,SH,,SOLE,,6688,0,600
Costco Whsl Corp,COM,22160k105,764,5655,SH,,SOLE,,5655,0,0
Crane,COM,224399105,9734,165742,SH,,SOLE,,146992,0,18750
Danone ADR,COM,23636T100,6091,471330,SH,,SOLE,,412505,0,58825
Diageo PLC Sponsored ADR,COM,25243q205,53936,464807,SH,,SOLE,,426432,0,38375
Disney Walt Productions,COM,254687106,554,4850,SH,,SOLE,,4850,0,0
Dover Corp,COM,260003108,5067,72206,SH,,SOLE,,61656,0,10550
Du Pont E I De Nemours,COM,263534109,2369,37048,SH,,SOLE,,37048,0,0
Exxon Mobil Corp,COM,30231g102,13600,163466,SH,,SOLE,,153194,0,10272
Fomento Economico Mex Sp ADR,COM,344419106,11318,127035,SH,,SOLE,,107560,0,19475
Fulton Finl Corp,COM,360271100,484,37030,SH,,SOLE,,31030,0,6000
General Dynamics Corp,COM,369550108,227,1600,SH,,SOLE,,1600,0,0
General Electric,COM,369604103,280,10546,SH,,SOLE,,10546,0,0
Goldman Sachs Group Inc,COM,38141g104,2170,10393,SH,,SOLE,,9993,0,400
Google Inc Cl A,COM,38259p508,666,1233,SH,,SOLE,,1183,0,50
Google Inc Cl C,COM,38259p706,608,1168,SH,,SOLE,,1118,0,50
Graham Holdings Co,COM,384637104,218,203,SH,,SOLE,,203,0,0
Heartland Express Inc,COM,422347104,253,12499,SH,,SOLE,,10499,0,2000
Heineken NV Spons ADR,COM,423012301,1909,50337,SH,,SOLE,,50337,0,0
Herman Miller Inc,COM,600544100,9245,319577,SH,,SOLE,,286727,0,32850
Hormel Foods Corp,COM,440452100,5962,105769,SH,,SOLE,,90475,0,15294
I B M,COM,459200101,1549,9524,SH,,SOLE,,9524,0,0
Lamar Advertising Co-A,COM,512816109,994,17285,SH,,SOLE,,17285,0,0
Markel Corp,COM,570535104,12913,16128,SH,,SOLE,,14548,0,1580
Martin Marietta Materials,COM,573284106,296663,2096408,SH,,SOLE,,1976082,0,120326
Mastercard Inc Cl A,COM,57636q104,937808,10032175,SH,,SOLE,,9487043,0,545132
McCormick Inc,COM,579780206,3441,42505,SH,,SOLE,,35705,0,6800
McDonalds Corp,COM,580135101,347,3645,SH,,SOLE,,3645,0,0
Merck Inc,COM,58933Y105,218,3836,SH,,SOLE,,3036,0,800
Microsoft Corp,COM,594918104,2404,54450,SH,,SOLE,,53650,0,800
Nestle SA-Spons ADR,COM,641069406,1144275,15842688,SH,,SOLE,,14993854,0,848834
Oracle Corp,COM,68389x105,302,7500,SH,,SOLE,,7500,0,0
Outfront Media Inc,COM,69007j106,2268,89847,SH,,SOLE,,74597,0,15250
Pepsico Inc,COM,713448108,3723,39892,SH,,SOLE,,39592,0,300
Pernod-Ricard SA-Unspon ADR,COM,714264207,1461,63275,SH,,SOLE,,63275,0,0
Philip Morris International In,COM,718172109,836039,10428329,SH,,SOLE,,9962538,0,465791
Pioneer Nat Res,COM,723787107,374,2700,SH,,SOLE,,2700,0,0
PNC Bank Corp,COM,693475105,1716,17944,SH,,SOLE,,16127,0,1817
Praxair Inc,COM,74005p104,1384,11575,SH,,SOLE,,10000,0,1575
Precision Castparts Corp,COM,740189105,6289,31465,SH,,SOLE,,29965,0,1500
Procter & Gamble,COM,742718109,8072,103172,SH,,SOLE,,92672,0,10500
Royal Dutch Shell PLC ADR A,COM,780259206,4070,71385,SH,,SOLE,,59230,0,12155
SABMiller PLC Sponsored ADR,COM,78572m105,1590,30600,SH,,SOLE,,30600,0,0
Schlumberger LTD,COM,806857108,218,2525,SH,,SOLE,,2525,0,0
Scripps Networks Interactive C,COM,811065101,82740,1265716,SH,,SOLE,,1199938,0,65778
Spectrum Brands Hldgs Inc,COM,84763r101,204,2000,SH,,SOLE,,2000,0,0
Susquehanna Bancshrs Inc,COM,869099101,198,14000,SH,,SOLE,,14000,0,0
Unilever NV ADR,COM,904784709,599752,14334418,SH,,SOLE,,13568673,0,765745
Union Pac Corp,COM,907818108,239,2510,SH,,SOLE,,2510,0,0
Visa Inc Cl A,COM,92826c839,36471,543124,SH,,SOLE,,476090,0,67034
WABCO Holdings Inc,COM,92927k102,211,1703,SH,,SOLE,,1703,0,0
Wal Mart Stores Inc,COM,931142103,1381,19474,SH,,SOLE,,16720,0,2754
Wells Fargo,COM,949746101,825325,14675054,SH,,SOLE,,13878900,0,796154
