NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE,SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE
Eaton Vance Sr Income TR SF,SH BEN INT,27826s103,1897,285330,SH,,SOLE,,285330,0,0
3M Company,COM,88579y101,317,1525,SH,,SOLE,,1525,0,0
Abbott Labs,COM,002824100,807,16600,SH,,SOLE,,14600,0,2000
AbbVie Inc,COM,00287Y109,1175,16200,SH,,SOLE,,14200,0,2000
Alleghany Corp,COM,017175100,233,391,SH,,SOLE,,184,0,207
Alphabet Inc Cl A,COM,02079k305,1954,2102,SH,,SOLE,,2052,0,50
Alphabet Inc Cl C,COM,02079k107,2245,2470,SH,,SOLE,,2420,0,50
Altria Group Inc,COM,02209s103,398139,5346297,SH,,SOLE,,5142457,0,203841
American Express,COM,025816109,13884,164812,SH,,SOLE,,134278,0,30534
American Intl Group Inc,COM,026874784,375,6000,SH,,SOLE,,6000,0,0
Anheuser-Busch InBev ADR,COM,03524a108,424,3845,SH,,SOLE,,3845,0,0
Bank Amer Corp,COM,060505104,1191,49100,SH,,SOLE,,49100,0,0
BB&T Corp,COM,054937107,1075,23676,SH,,SOLE,,23676,0,0
Berkshire Hathaway Inc Cl A,COM,084670108,1231220,4834,SH,,SOLE,,4517,0,317
Berkshire Hathaway Inc Cl B,COM,084670702,425071,2509718,SH,,SOLE,,2363654,0,146064
British Amern Tob PLC ADR,COM,110448107,831,12122,SH,,SOLE,,12122,0,0
Brown-Forman Corp Cl A,COM,115637100,221656,4496066,SH,,SOLE,,4301766,0,194300
Brown-Forman Corp Cl B,COM,115637209,70397,1448495,SH,,SOLE,,1319566,0,128929
Centerstate BKS FLA Inc,COM,15201p109,211,8504,SH,,SOLE,,8504,0,0
Chemours Co,COM,163851108,257,6779,SH,,SOLE,,6779,0,0
Chevron Corp,COM,166764100,2698,25856,SH,,SOLE,,25156,0,700
CIE Financiere Richemont-Unsp,COM,204319107,1960,237640,SH,,SOLE,,237640,0,0
Coca-Cola,COM,191216100,7603,169527,SH,,SOLE,,150777,0,18750
