Name,Ticker,Class,Shares,Change,Value,Change,% Port,% OS,Hist,Date
NESTLE SA,NSRGY,Common,12691576,808386,920087000,146352000,10.76,,Hist,03/31/2013
Philip Morris International Inc.,PM,Common,8823806,824998,818055000,149035000,9.57,,Hist,03/31/2013
BERKSHIRE HATHAWAY INC,BRK.A,Common,4833,219,755301000,136748000,8.84,,Hist,03/31/2013
HEINEKEN HOLDING N V,HKHHF,Common,9556340,329157,613439000,109381000,7.18,,Hist,03/31/2013
COMPAGNIE FINANCIERE RICHEMONT AG /FI,CFRHF,COM,7325847,342370,576351000,30337000,6.74,,Hist,03/31/2013
SABMILLER PLC/FI,SBMRF,Common,9871166,540789,519212000,90761000,6.07,,Hist,03/31/2013
Mastercard Inc,MA,CL A,943961,53803,510806000,73489000,5.98,,Hist,03/31/2013
PERNOD RICARD S A /FI,PDRDF,Common,3947008,235375,492692000,64814000,5.76,,Hist,03/31/2013
WELLS FARGO & COMPANY/MN,WFC,Common,12684283,1027358,469192000,70758000,5.49,,Hist,03/31/2013
Anheuser-Busch InBev SA/NV,BUD,ADR,4310388,330100,429099000,81182000,5.02,,Hist,03/31/2013
UNILEVER N V,UN,N Y SHS NEW,8927405,672553,366024000,49863000,4.28,,Hist,03/31/2013
"ALTRIA GROUP, INC.",MO,Common,7358505,374026,253059000,33467000,2.96,,Hist,03/31/2013
BRITISH AMERICAN TOBACCO PLC /ADR/,BTAFF,Common,4628490,222260,247881000,24346000,2.90,,Hist,03/31/2013
BERKSHIRE HATHAWAY INC,BRK/B,Common,2192268,108809,228434000,41548000,2.67,,Hist,03/31/2013
DIAGEO PLC,DGEAF,Common,7238925,325719,228082000,27271000,2.67,,Hist,03/31/2013
BROWN FORMAN CORP,BF.A,CL A,2812370,32179,206990000,36008000,2.42,,Hist,03/31/2013
COMCAST CORP,CMCSK,Common,4596518,68511,182068000,19422000,2.13,,Hist,03/31/2013
MARTIN MARIETTA MATERIALS INC,MLM,Common,1704576,40466,173901000,17009000,2.03,3.71,Hist,03/31/2013
"Scripps Networks Interactive, Inc.",SNI,Common,1403150,853,90279000,9058000,1.06,,Hist,03/31/2013
DIAGEO PLC,DEO,SPON ADR NEW,408378,7400,51390000,4644000,0.60,,Hist,03/31/2013
Graham Holdings Co,WPO,Cl B,108948,-7451,48700000,6190000,0.57,,Hist,03/31/2013
JCDECAUX SA /FI,JCDXF,Common,1338726,90286,36753000,7151000,0.43,,Hist,03/31/2013
HASBRO INC,HAS,Common,801409,-63316,35214000,4170000,0.41,,Hist,03/31/2013
SWATCH GROUP,SWGAF,Common,55881,1380,32574000,5049000,0.38,,Hist,03/31/2013
BROWN FORMAN CORP,BF.B,CL B,263691,131161,18828000,10446000,0.22,,Hist,03/31/2013
VISA INC.,V,CL A,105580,2753,17932000,2345000,0.21,,Hist,03/31/2013
EXXON MOBIL CORP,XOM,Common,161161,-5110,14522000,131000,0.17,,Hist,03/31/2013
MEXICAN ECONOMIC DEVELOPMENT INC,FMX,ADR,110995,2025,12598000,1625000,0.15,,Hist,03/31/2013
SWEDISH MATCH CORP,SWMAF,Common,383188,-13900,11922000,-1386000,0.14,,Hist,03/31/2013
PROCTER & GAMBLE Co,PG,Common,149435,-3475,11515000,1134000,0.13,,Hist,03/31/2013
MILLER HERMAN INC,MLHR,Common,390540,-8900,10806000,2234000,0.13,,Hist,03/31/2013
CRANE CO /DE/,CR,Common,185472,-1875,10360000,1690000,0.12,,Hist,03/31/2013
MARKEL CORP,MKL,Common,19956,66,10048000,1427000,0.12,,Hist,03/31/2013
GOLDMAN SACHS GROUP INC,GS,Common,58770,-140,8648000,1133000,0.10,0.01,Hist,03/31/2013
AMERICAN EXPRESS CO,AXP,Common,115965,405,7823000,1181000,0.09,,Hist,03/31/2013
COCA COLA CO,KO,Common,180778,5520,7311000,958000,0.09,,Hist,03/31/2013
DOVER Corp,DOV,Common,86745,-1200,6322000,543000,0.07,0.05,Hist,03/31/2013
CHEVRON CORP,CVX,Common,50221,-245,5967000,510000,0.07,,Hist,03/31/2013
HORMEL FOODS CORP /DE/,HRL,Common,131784,-5191,5445000,1170000,0.06,,Hist,03/31/2013
PEPSICO INC,PEP,Common,62906,-3264,4976000,448000,0.06,0.00,Hist,03/31/2013
Royal Dutch Shell plc,RDS.A,SPONS ADR A,74185,2575,4834000,-104000,0.06,,Hist,03/31/2013
HEINEKEN N V/ /FI,HINKF,Common,54963,-766,4150000,442000,0.05,,Hist,03/31/2013
MCCORMICK & CO INC,MKC,Common,52830,0,3886000,530000,0.05,,Hist,03/31/2013
PRAXAIR INC,PX,Common,30260,-75,3375000,55000,0.04,,Hist,03/31/2013
ABBOTT LABORATORIES,ABT,Common,87700,-1600,3098000,-2751000,0.04,,Hist,03/31/2013
GROUPE DANONE,DANOY,ADR,212075,50,2956000,166000,0.03,,Hist,03/31/2013
NESTLE SA /FI,NSRGF,Common,40000,0,2900000,289000,0.03,,Hist,03/31/2013
BIC CORP,BICEF,Common,23325,200,2713000,-41000,0.03,,Hist,03/31/2013
INTERNATIONAL BUSINESS MACHINES CORP,IBM,Common,12490,1665,2664000,590000,0.03,,Hist,03/31/2013
EATON VANCE SENIOR INCOME TRUST,EVF,Common,343930,62804,2607000,487000,0.03,,Hist,03/31/2013
PROGRESSIVE CORP/OH/,PGR,Common,96611,-8075,2441000,232000,0.03,,Hist,03/31/2013
COMCAST CORP,CMCSA,Common,55023,-275,2310000,244000,0.03,,Hist,03/31/2013
JPMORGAN CHASE & CO,JPM/WS,W EXP 10/28/2018,150750,0,2148000,360000,0.03,,Hist,03/31/2013
WELLS FARGO & COMPANY/MN,WFC/WS,WARRANTS,177750,0,2133000,355000,0.02,,Hist,03/31/2013
PARGESA HOLDING SA,PRGAF,Common,29175,25,1986000,-14000,0.02,,Hist,03/31/2013
PRECISION CASTPARTS CORP,PCP,Common,10000,2800,1896000,532000,0.02,0.01,Hist,03/31/2013
MICROSOFT CORP,MSFT,Common,65617,-1650,1877000,80000,0.02,0.00,Hist,03/31/2013
"PNC FINANCIAL SERVICES GROUP, INC.",PNC,Common,26551,0,1766000,218000,0.02,,Hist,03/31/2013
LINDT & SPRUENGLI AG-REG,LDSRF,Common,38,2,1719000,358000,0.02,,Hist,03/31/2013
WAL MART STORES INC,WMT,Common,22939,5,1717000,152000,0.02,,Hist,03/31/2013
"ANHEUSER-BUSCH COMPANIES, LLC",AHBIF,COM,15000,0,1488000,188000,0.02,,Hist,03/31/2013
DUPONT E I DE NEMOURS & CO,DD,Common,27618,220,1358000,126000,0.02,,Hist,03/31/2013
SABMILLER PLC/FI,SBMRY,Common,24675,1925,1298000,253000,0.02,,Hist,03/31/2013
