Name,Ticker,Class,Shares,Change,Value,Change,% Port,% OS,Hist,Date
BERKSHIRE HATHAWAY INC,BRK.A,Common,2572,2572,228779400000,228779400000,,,Hist,06/30/2004
NESTLE SA,NSRGY,Common,2322014,2322014,154808673000,154808673000,,,Hist,06/30/2004
"ALTRIA GROUP, INC.",MO,Common,3086033,3086033,154455952000,154455952000,,,Hist,06/30/2004
HEINEKEN HOLDING N V,HKHHF,Common,4797458,4797458,140709443000,140709443000,,,Hist,06/30/2004
Graham Holdings Co,WPO,Cl B,143423,143423,133384824000,133384824000,,,Hist,06/30/2004
E.W. SCRIPPS Co,SSP,Common,1136746,1136746,119358330000,119358330000,,,Hist,06/30/2004
WELLS FARGO & COMPANY/MN,WFC,Common,1940438,1940438,111051267000,111051267000,,,Hist,06/30/2004
TELEGRAAF MEDIA GROEP NV,TGRAF,Common,4775886,4775886,106741052000,106741052000,,,Hist,06/30/2004
COMCAST CORP,CMCSK,Common,3389203,3389203,93575895000,93575895000,,,Hist,06/30/2004
AMERICAN INTERNATIONAL GROUP INC,AIG,Common,1310991,1310991,93447438000,93447438000,,,Hist,06/30/2004
H&R BLOCK INC,HRB,Common,1815979,1815979,86585879000,86585879000,,,Hist,06/30/2004
MARTIN MARIETTA MATERIALS INC,MLM,Common,1946348,1946348,86281607000,86281607000,,,Hist,06/30/2004
UST INC,UST,Common,2142256,2142256,77121216000,77121216000,,,Hist,06/30/2004
COMPAGNIE FINANCIERE RICHEMONT AG /FI,CFRHF,Common,2831635,2831635,73933990000,73933990000,,,Hist,06/30/2004
HASBRO INC,HAS,Common,3850048,3850048,73150912000,73150912000,,,Hist,06/30/2004
DIAGEO PLC,DGEAF,Common,4876315,4876315,65781489000,65781489000,,,Hist,06/30/2004
CITIGROUP INC,C,Common,1400334,1400334,65115531000,65115531000,,,Hist,06/30/2004
MCCLATCHY CO,MNI,CL A,903867,903867,63406270000,63406270000,,,Hist,06/30/2004
BROWN FORMAN CORP,BF.A,CL A,1258262,1258262,60459489000,60459489000,,,Hist,06/30/2004
SCHWEITZER MAUDUIT INTERNATIONAL INC,SWM,Common,1805312,104075,55296707000,55240225932,,,Hist,06/30/2004
"Mondelez International, Inc.",KFT,Common,1714473,1714473,54314505000,54314505000,,,Hist,06/30/2004
BERKSHIRE HATHAWAY INC,BRK.B,CL B,14653,14653,43299615000,43299615000,,,Hist,06/30/2004
UNILEVER N V,UN,N Y SHS NEW,529551,529551,36279539000,36279539000,,,Hist,06/30/2004
CADBURY PUBLIC LTD CO,CSGWF,Common,3962895,3962895,34199784000,34199784000,,,Hist,06/30/2004
PERNOD RICARD S A /FI,PDRDF,Common,223985,223985,28672320000,28672320000,,,Hist,06/30/2004
PROGRESSIVE CORP/OH/,PGR,Common,276673,276673,23600207000,23600207000,,,Hist,06/30/2004
MARKEL CORP,MKL,Common,76575,76575,21249563000,21249563000,,,Hist,06/30/2004
MILLER HERMAN INC,MLHR,Common,724582,724582,20969403000,20969403000,,,Hist,06/30/2004
HORMEL FOODS CORP /DE/,HRL,Common,562500,562500,17493750000,17493750000,,,Hist,06/30/2004
EXXON MOBIL CORP,XOM,Common,387656,387656,17215803000,17215803000,,,Hist,06/30/2004
FEDERAL HOME LOAN MORTGAGE CORP,FRE,Common,255387,255387,16165997000,16165997000,,,Hist,06/30/2004
BROWN FORMAN CORP,BF.B,CL B,330477,330477,15952125000,15952125000,,,Hist,06/30/2004
INTERNATIONAL SPEEDWAY CORP,ISCB,Common,326807,326807,15850140000,15850140000,,,Hist,06/30/2004
ABBOTT LABORATORIES,ABT,Common,387881,387881,15810030000,15810030000,,,Hist,06/30/2004
TEGNA INC,GCI,Common,165475,165475,14040554000,14040554000,,,Hist,06/30/2004
DIAGEO PLC,DEO,SPON ADR NEW,250737,250737,13727851000,13727851000,,,Hist,06/30/2004
KONINKLIJKE WEGENER NV,KWEGF,Common,1349818,1349818,12958253000,12958253000,,,Hist,06/30/2004
INTERNATIONAL SPEEDWAY CORP,ISCA,Common,246305,246305,11980275000,11980275000,,,Hist,06/30/2004
GENERAL ELECTRIC CO,GE,Common,368972,368972,11954693000,11954693000,,,Hist,06/30/2004
SCOTTS MIRACLE-GRO CO,SMG,CL A,180500,180500,11530340000,11530340000,,,Hist,06/30/2004
"ANHEUSER-BUSCH COMPANIES, LLC",BUD,Common,188460,188460,10176840000,10176840000,,,Hist,06/30/2004
SWEDISH MATCH CORP,SWMAF,Common,957416,957416,9794366000,9794366000,,,Hist,06/30/2004
