Name,Ticker,Class,Shares,Change,Value,Change,% Port,% OS,Hist,Date
BERKSHIRE HATHAWAY INC,BRK.A,Common,3392,30,422304000,18864000,17.74,,Hist,09/30/2010
Philip Morris International Inc.,PM,Common,7523040,98165,421441000,81085000,17.71,,Hist,09/30/2010
UNILEVER N V,UN,N Y SHS NEW,5315736,251410,158834000,20477000,6.67,,Hist,09/30/2010
"ALTRIA GROUP, INC.",MO,Common,6564151,79352,157671000,27716000,6.62,,Hist,09/30/2010
WELLS FARGO & COMPANY/MN,WFC,Common,6193137,742860,155541000,16014000,6.54,,Hist,09/30/2010
COMCAST CORP,CMCSK,Common,7611598,-912039,129473000,-10570000,5.44,,Hist,09/30/2010
Mastercard Inc,MA,CL A,506827,182887,113529000,48893000,4.77,,Hist,09/30/2010
MARTIN MARIETTA MATERIALS INC,MLM,Common,1453255,-54991,111857000,-16057000,4.70,,Hist,09/30/2010
BROWN FORMAN CORP,BF.A,CL A,1520797,19626,93620000,6252000,3.93,,Hist,09/30/2010
"Scripps Networks Interactive, Inc.",SNI,Common,1820827,-353963,86635000,-1096000,3.64,,Hist,09/30/2010
Anheuser-Busch InBev SA/NV,BUD,ADR,1437917,811922,84478000,54424000,3.55,,Hist,09/30/2010
Graham Holdings Co,WPO,Cl B,134586,-25595,53755000,-11996000,2.26,,Hist,09/30/2010
HASBRO INC,HAS,Common,960346,-60376,42745000,793000,1.80,,Hist,09/30/2010
DIAGEO PLC,DEO,SPON ADR NEW,475759,-4166,32832000,2721000,1.38,,Hist,09/30/2010
ABBOTT LABORATORIES,ABT,Common,427020,-4650,22308000,2114000,0.94,,Hist,09/30/2010
MILLER HERMAN INC,MLHR,Common,679831,-49358,13379000,-381000,0.56,1.19,Hist,09/30/2010
PROCTER & GAMBLE Co,PG,Common,206115,-15442,12361000,-928000,0.52,,Hist,09/30/2010
HORMEL FOODS CORP /DE/,HRL,Common,277066,-9058,12357000,775000,0.52,,Hist,09/30/2010
EXXON MOBIL CORP,XOM,Common,197019,-2159,12174000,807000,0.51,,Hist,09/30/2010
MARKEL CORP,MKL,Common,31984,-5525,11021000,-1732000,0.46,,Hist,09/30/2010
BROWN FORMAN CORP,BF.B,CL B,162561,-6174,10020000,363000,0.42,,Hist,09/30/2010
PEPSICO INC,PEP,Common,126204,-839,8385000,642000,0.35,,Hist,09/30/2010
GOLDMAN SACHS GROUP INC,GS,Common,53600,17950,7749000,3069000,0.33,0.01,Hist,09/30/2010
CRANE CO /DE/,CR,Common,196997,-2650,7474000,1443000,0.31,,Hist,09/30/2010
MCCORMICK & CO INC,MKC,Common,148200,-4250,6230000,443000,0.26,,Hist,09/30/2010
STAPLES INC,SPLS,Common,267630,36200,5599000,1190000,0.24,0.04,Hist,09/30/2010
CHEVRON CORP,CVX,Common,66717,825,5407000,936000,0.23,,Hist,09/30/2010
MICROSOFT CORP,MSFT,Common,206622,-1100,5060000,280000,0.21,,Hist,09/30/2010
MEXICAN ECONOMIC DEVELOPMENT INC,FMX,ADR,85475,975,4336000,690000,0.18,,Hist,09/30/2010
AMERICAN EXPRESS CO,AXP,Common,93155,0,3915000,217000,0.16,,Hist,09/30/2010
AMERICAN TOWER CORP /MA/,AMT,Common,71460,-4375,3663000,288000,0.15,,Hist,09/30/2010
COCA COLA CO,KO,Common,60651,-25,3549000,508000,0.15,,Hist,09/30/2010
