Name,Ticker,Class,Shares,Change,Value,Change,% Port,% OS,Hist,Date
BERKSHIRE HATHAWAY INC,BRK.A,Common,3504,18,383600000,3661000,,,Hist,06/30/2007
"ALTRIA GROUP, INC.",MO,Common,5382543,917607,377532000,-14534000,,,Hist,06/30/2007
NESTLE SA,NSRGY,Common,3959674,188555,377397000,9449000,,,Hist,06/30/2007
HEINEKEN HOLDING N V,HKHHF,Common,6368287,87311,330450000,52077000,,,Hist,06/30/2007
MARTIN MARIETTA MATERIALS INC,MLM,Common,1971731,-27745,319460000,49131000,,,Hist,06/30/2007
COMCAST CORP,CMCSK,Common,9055128,219410,253181000,28135000,,,Hist,06/30/2007
WELLS FARGO & COMPANY/MN,WFC,Common,5612760,250875,197401000,12791000,,,Hist,06/30/2007
AMERICAN INTERNATIONAL GROUP INC,AIG,Common,2754716,179777,192913000,19826000,,,Hist,06/30/2007
COMPAGNIE FINANCIERE RICHEMONT AG /FI,CFRUF,Common,3205948,9670,192774000,13655000,,,Hist,06/30/2007
TELEGRAAF MEDIA GROEP NV,TGRAF,Common,4966638,-67130,174726000,1715000,,,Hist,06/30/2007
UST INC,UST,Common,3026213,20328,162538000,-11743000,,,Hist,06/30/2007
Graham Holdings Co,WPO,Cl B,190151,5467,147574000,6568000,,,Hist,06/30/2007
DIAGEO PLC,DGEAF,Common,6821795,22044,141962000,4063000,,,Hist,06/30/2007
E.W. SCRIPPS Co,SSP,Common,3094686,63110,141396000,5945000,,,Hist,06/30/2007
CADBURY PUBLIC LTD CO,CSGWF,Common,10129189,20727,138263000,8470000,,,Hist,06/30/2007
BROWN FORMAN CORP,BF.A,CL A,1630475,18005,123606000,12217000,,,Hist,06/30/2007
CITIGROUP INC,C,Common,2404375,32235,123320000,1534000,,,Hist,06/30/2007
PERNOD RICARD S A /FI,PDRDF,Common,530359,6400,117644000,11265000,,,Hist,06/30/2007
UNILEVER N V,UN,N Y SHS NEW,3676227,46007,114037000,7962000,,,Hist,06/30/2007
HASBRO INC,HAS,Common,3164490,-109880,99397000,5685000,,,Hist,06/30/2007
H&R BLOCK INC,HRB,Common,4110833,6660,96070000,9718000,,,Hist,06/30/2007
MCCLATCHY CO,MNI,CL A,3408702,181493,86274000,-15738000,,,Hist,06/30/2007
BERKSHIRE HATHAWAY INC,BRK.B,CL B,23712,883,85482000,2384000,,,Hist,06/30/2007
"Mondelez International, Inc.",KFT,Common,1799828,1799078,63444000,63420000,,,Hist,06/30/2007
SCHWEITZER MAUDUIT INTERNATIONAL INC,SWM,Common,1682261,-55045,52150000,8978000,,,Hist,06/30/2007
INTERNATIONAL SPEEDWAY CORP,ISCA,Common,760821,10419,40103000,1307000,,,Hist,06/30/2007
DIAGEO PLC,DEO,SPON ADR NEW,416544,-1458,34702000,865000,,,Hist,06/30/2007
MARKEL CORP,MKL,Common,70225,-375,34028000,-201000,,,Hist,06/30/2007
MILLER HERMAN INC,MLHR,Common,814406,54450,25735000,284000,,,Hist,06/30/2007
EXXON MOBIL CORP,XOM,Common,290155,-11207,24338000,1600000,,,Hist,06/30/2007
KONINKLIJKE WEGENER NV,KWEGF,Common,903540,-32800,23835000,4518000,,,Hist,06/30/2007
ABBOTT LABORATORIES,ABT,Common,419617,0,22470000,-945000,,,Hist,06/30/2007
BROWN FORMAN CORP,BF.B,CL B,287275,998,20994000,2226000,,,Hist,06/30/2007
PROGRESSIVE CORP/OH/,PGR,Common,859188,-17848,20560000,1423000,,,Hist,06/30/2007
INTERNATIONAL SPEEDWAY CORP,ISCB,Common,342005,-2200,18184000,595000,,,Hist,06/30/2007
HORMEL FOODS CORP /DE/,HRL,Common,438165,-6650,16365000,-178000,,,Hist,06/30/2007
SWEDISH MATCH CORP,SWMAF,Common,751600,-13900,14551000,864000,,,Hist,06/30/2007
AVISHUSET DAGBLADET,ASVHF,Common,116554,0,14544000,906000,,,Hist,06/30/2007
BRITISH AMERICAN TOBACCO PLC /ADR/,BTAFF,Common,329170,-5775,11218000,738000,,,Hist,06/30/2007
CANADIAN OIL SANDS TRUST /FI,COS.UN,Common,330000,0,10121000,2095000,,,Hist,06/30/2007
"ANHEUSER-BUSCH COMPANIES, LLC",BUD,Common,188953,-6010,9856000,18000,,,Hist,06/30/2007
CRANE CO /DE/,CR,Common,213974,800,9725000,1109000,,,Hist,06/30/2007
ARMSTRONG WORLD INDUSTRIES INC,AWI,Common,189544,0,9506000,-132000,,,Hist,06/30/2007
PARGESA HOLDING SA,PRGAF,Common,84775,1475,9488000,729000,,,Hist,06/30/2007
PEPSICO INC,PEP,Common,145672,-575,9447000,152000,,,Hist,06/30/2007
