Name,Ticker,Class,Shares,Change,Value,Change,% Port,% OS,Hist,Date
Philip Morris International Inc.,PM,Common,8036391,-171812,712105000,200077000,11.51,,Hist,03/31/2012
NESTLE SA,NSRGY,Common,10566775,601649,664040000,114384000,10.73,,Hist,03/31/2012
BERKSHIRE HATHAWAY INC,BRK.A,Common,4166,332,507835000,98364000,8.21,,Hist,03/31/2012
COMPAGNIE FINANCIERE RICHEMONT AG /FI,CFRHF,COM,6262418,61250,392159000,112584000,6.34,,Hist,03/31/2012
HEINEKEN HOLDING N V,HKHHF,Common,8056151,772506,376566000,93799000,6.09,,Hist,03/31/2012
PERNOD RICARD S A /FI,PDRDF,Common,3330784,330896,347751000,110962000,5.62,,Hist,03/31/2012
SABMILLER PLC/FI,SBMRF,Common,8628291,372690,345956000,74919000,5.59,,Hist,03/31/2012
Mastercard Inc,MA,CL A,811402,56706,341227000,101868000,5.52,,Hist,03/31/2012
WELLS FARGO & COMPANY/MN,WFC,Common,9611987,953365,328153000,119307000,5.30,,Hist,03/31/2012
Anheuser-Busch InBev SA/NV,BUD,ADR,3539500,482147,257392000,95413000,4.16,,Hist,03/31/2012
UNILEVER N V,UN,N Y SHS NEW,7164799,528822,243818000,34851000,3.94,,Hist,03/31/2012
"ALTRIA GROUP, INC.",MO,Common,7234216,130126,223320000,32859000,3.61,,Hist,03/31/2012
BRITISH AMERICAN TOBACCO PLC /ADR/,BTAFF,Common,4321604,152826,217537000,40345000,3.52,,Hist,03/31/2012
DIAGEO PLC,DGEAF,Common,6661675,215506,159921000,36205000,2.59,,Hist,03/31/2012
BROWN FORMAN CORP,BF.A,CL A,1790050,62312,146193000,28776000,2.36,,Hist,03/31/2012
BERKSHIRE HATHAWAY INC,BRK/B,Common,1724813,202398,139969000,31817000,2.26,,Hist,03/31/2012
COMCAST CORP,CMCSK,Common,4735715,-2161809,139751000,-3166000,2.26,,Hist,03/31/2012
MARTIN MARIETTA MATERIALS INC,MLM,Common,1587521,17786,135939000,36700000,2.20,3.47,Hist,03/31/2012
