Name,Ticker,Class,Shares,Change,Value,Change,% Port,% OS,Hist,Date
BERKSHIRE HATHAWAY INC,BRK.A,Common,5060,5060,1143560000,1143560000,10.41,,Hist,12/31/2014
NESTLE SA,NSRGY,Common,15379148,15379148,1129079000,1129079000,10.28,,Hist,12/31/2014
Mastercard Inc,MA,CL A,9982281,9982281,860073000,860073000,7.83,,Hist,12/31/2014
Philip Morris International Inc.,PM,Common,9873952,9873952,804233000,804233000,7.32,,Hist,12/31/2014
WELLS FARGO & COMPANY/MN,WFC,Common,14607509,14607509,800784000,800784000,7.29,,Hist,12/31/2014
COMPAGNIE FINANCIERE RICHEMONT AG /FI,CFRHF,Com,7914743,7914743,710970000,710970000,6.47,,Hist,12/31/2014
HEINEKEN HOLDING N V,HKHHF,Common,10729489,10729489,674220000,674220000,6.14,,Hist,12/31/2014
SABMILLER PLC/FI,SBMRF,Common,11667753,11667753,611469000,611469000,5.57,,Hist,12/31/2014
PERNOD RICARD S A /FI,PDRDF,Common,5296807,5296807,591333000,591333000,5.39,,Hist,12/31/2014
Anheuser-Busch InBev SA/NV,BUD,ADR,5147302,5147302,578145000,578145000,5.26,,Hist,12/31/2014
UNILEVER N V,UN,N Y SHS NEW,14000433,14000433,546577000,546577000,4.98,,Hist,12/31/2014
BERKSHIRE HATHAWAY INC,BRK/B,Common,2449094,2449094,367731000,367731000,3.35,,Hist,12/31/2014
"ALTRIA GROUP, INC.",MO,Common,6943963,6943963,342129000,342129000,3.12,,Hist,12/31/2014
COMCAST CORP,CMCSK,Common,4646790,4646790,267492000,267492000,2.44,,Hist,12/31/2014
BRITISH AMERICAN TOBACCO PLC /ADR/,BTAFF,Common,4889618,4889618,266846000,266846000,2.43,,Hist,12/31/2014
DIAGEO PLC,DGEAF,Common,8628560,8628560,248700000,248700000,2.26,,Hist,12/31/2014
BROWN FORMAN CORP,BF.A,CL A,2816975,2816975,247218000,247218000,2.25,,Hist,12/31/2014
MARTIN MARIETTA MATERIALS INC,MLM,Common,2047918,2047918,225926000,225926000,2.06,,Hist,12/31/2014
"Scripps Networks Interactive, Inc.",SNI,Common,1255149,1255149,94475000,94475000,0.86,,Hist,12/31/2014
Graham Holdings Co,GHC,COM,59404,59404,51308000,51308000,0.47,,Hist,12/31/2014
JCDECAUX SA /FI,JCDXF,Common,1473971,1473971,50948000,50948000,0.46,,Hist,12/31/2014
DIAGEO PLC,DEO,SPON ADR NEW,433253,433253,49430000,49430000,0.45,,Hist,12/31/2014
