Name,Ticker,Class,Shares,Change,Value,Change,% Port,% OS,Hist,Date
BERKSHIRE HATHAWAY INC,BRK.A,Common,1363,1363,91594000,91594000,1.10,,Hist,03/31/1999
"ALTRIA GROUP, INC.",MO,Common,1748181,1748181,72877000,72877000,0.87,,Hist,03/31/1999
TELEGRAAF MEDIA GROEP NV,TGRAF,Common,3348094,3348094,70913000,70913000,0.85,,Hist,03/31/1999
LOCKHEED MARTIN CORP,LMT,Common,995552,995552,56000000,56000000,0.67,,Hist,03/31/1999
MARTIN MARIETTA MATERIALS INC,MLM,Common,1258121,1258121,54335000,54335000,0.65,,Hist,03/31/1999
FEDERAL HOME LOAN MORTGAGE CORP,FRE,Common,1132200,1132200,53709000,53709000,0.64,,Hist,03/31/1999
COMCAST HOLDINGS CORP,,Common,2976054,2976054,52546000,52546000,0.63,,Hist,03/31/1999
AMERICAN GENERAL CORP /TX/,,Common,785252,785252,50796000,50796000,0.61,,Hist,03/31/1999
E.W. SCRIPPS Co,SSP,Common,860901,860901,47619000,47619000,0.57,,Hist,03/31/1999
MORGAN STANLEY,MS,Common,628700,628700,45817000,45817000,0.55,,Hist,03/31/1999
HASBRO INC,HAS,Common,1901009,1901009,44753000,44753000,0.54,,Hist,03/31/1999
NESTLE SA,NSRGY,Common,460908,460908,44035000,44035000,0.53,,Hist,03/31/1999
WFC HOLDINGS CORP,,Common,119504,119504,39586000,39586000,0.47,,Hist,03/31/1999
CENTRAL NEWSPAPERS INC,,Common,951342,951342,33802000,33802000,0.40,,Hist,03/31/1999
DIAGEO PLC,DGEAF,Common,2863688,2863688,33706000,33706000,0.40,,Hist,03/31/1999
Graham Holdings Co,WPO,Cl B,54540,54540,29005000,29005000,0.35,,Hist,03/31/1999
HSBC Finance Corp,HSFC.PB,Common,521896,521896,23964000,23964000,0.29,,Hist,03/31/1999
"ALLIANCE ONE INTERNATIONAL, INC.",AOI,Common,1368827,1368827,22842000,22842000,0.27,,Hist,03/31/1999
CORESTATES FINANCIAL CORP,,Common,253834,253834,22782000,22782000,0.27,,Hist,03/31/1999
WALLACE COMPUTER SERVICES INC,,Common,600523,600523,20793000,20793000,0.25,,Hist,03/31/1999
PROGRESSIVE CORP/OH/,PGR,Common,144683,144683,19487000,19487000,0.23,,Hist,03/31/1999
"ANHEUSER-BUSCH COMPANIES, LLC",BUD,Common,316742,316742,14649000,14649000,0.18,,Hist,03/31/1999
BROWN FORMAN CORP,BF.A,CL A,266249,266249,13845000,13845000,0.17,,Hist,03/31/1999
SCHWEITZER MAUDUIT INTERNATIONAL INC,SWM,Common,387100,-454790,13355000,3715360,0.16,,Hist,03/31/1999
