NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE,SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE
Eaton Vance Sr Income TR SF,SH BEN INT,27826s103,1656,285958,SH,,SOLE,,285958,0,0
3M Company,COM,88579y101,237,1425,SH,,SOLE,,1425,0,0
Abbott Labs,COM,002824100,853,20400,SH,,SOLE,,18400,0,2000
AbbVie Inc,COM,00287Y109,1241,21718,SH,,SOLE,,18400,0,3318
Alleghany Corp,COM,017175100,209,421,SH,,SOLE,,184,0,237
Alphabet Inc Cl A,COM,02079k305,1166,1529,SH,,SOLE,,1479,0,50
Alphabet Inc Cl C,COM,02079k107,1226,1646,SH,,SOLE,,1596,0,50
Altria Group Inc,COM,02209s103,372570,5945898,SH,,SOLE,,5703493,0,242405
American Express,COM,025816109,9319,151773,SH,,SOLE,,120064,0,31709
American Intl Group Inc,COM,026874784,324,6000,SH,,SOLE,,6000,0,0
Anheuser-Busch InBev ADR,COM,03524a108,810605,6502526,SH,,SOLE,,6151740,0,350786
Bank Amer Corp,COM,060505104,691,51100,SH,,SOLE,,50100,0,1000
BB&T Corp,COM,054937107,1370,41191,SH,,SOLE,,41191,0,0
Berkshire Hathaway Inc Cl A,COM,084670108,1070025,5013,SH,,SOLE,,4699,0,314
Berkshire Hathaway Inc Cl B,COM,084670702,367555,2590604,SH,,SOLE,,2433101,0,157503
British Amern Tob PLC ADR,COM,110448107,717,6136,SH,,SOLE,,6136,0,0
Brown-Forman Corp Cl A,COM,115637100,260418,2440882,SH,,SOLE,,2335581,0,105302
Brown-Forman Corp Cl B,COM,115637209,56584,574634,SH,,SOLE,,520446,0,54188
Carlisle Inc,COM,142339100,269,2700,SH,,SOLE,,2700,0,0
Centerstate BKS FLA Inc,COM,15201p109,149,10004,SH,,SOLE,,10004,0,0
Chevron Corp,COM,166764100,3900,40883,SH,,SOLE,,40033,0,850
CIE Financiere Richemont-Unsp,COM,204319107,1528,230250,SH,,SOLE,,230250,0,0
Coca-Cola,COM,191216100,9518,205182,SH,,SOLE,,183207,0,21975
Comcast Corp New Cl A,COM,20030n101,234448,3838373,SH,,SOLE,,3608164,0,230209
Conocophillips,COM,20825c104,217,5388,SH,,SOLE,,4788,0,600
Costco Whsl Corp,COM,22160k105,1007,6391,SH,,SOLE,,6391,0,0
Crane,COM,224399105,8582,159341,SH,,SOLE,,141691,0,17650
Danone ADR,COM,23636T100,9096,638500,SH,,SOLE,,545260,0,93240
Diageo PLC Sponsored ADR,COM,25243q205,51037,473132,SH,,SOLE,,435032,0,38100
Disney Walt Productions,COM,254687106,477,4803,SH,,SOLE,,3835,0,968
Dover Corp,COM,260003108,4177,64926,SH,,SOLE,,55126,0,9800
Du Pont E I De Nemours,COM,263534109,2415,38144,SH,,SOLE,,38144,0,0
Exxon Mobil Corp,COM,30231g102,13887,166128,SH,,SOLE,,155706,0,10422
Fomento Economico Mex Sp ADR,COM,344419106,11699,121470,SH,,SOLE,,98975,0,22495
Fulton Finl Corp,COM,360271100,467,34930,SH,,SOLE,,22430,0,12500
General Dynamics Corp,COM,369550108,210,1600,SH,,SOLE,,1600,0,0
General Electric,COM,369604103,294,9246,SH,,SOLE,,9246,0,0
Goldman Sachs Group Inc,COM,38141g104,1631,10393,SH,,SOLE,,9993,0,400
Heartland Express Inc,COM,422347104,232,12499,SH,,SOLE,,10499,0,2000
Heineken NV Spons ADR,COM,423012301,1899,41837,SH,,SOLE,,41837,0,0
Herman Miller Inc,COM,600544100,7360,238277,SH,,SOLE,,214027,0,24250
Hormel Foods Corp,COM,440452100,7354,170069,SH,,SOLE,,145021,0,25048
I B M,COM,459200101,1314,8674,SH,,SOLE,,8554,0,120
Kraft Heinz Co,COM,500754106,1646,20950,SH,,SOLE,,20950,0,0
Lamar Advertising Co-A,COM,512816109,902,14660,SH,,SOLE,,14660,0,0
Markel Corp,COM,570535104,11713,13137,SH,,SOLE,,11832,0,1305
Martin Marietta Materials,COM,573284106,335552,2103643,SH,,SOLE,,1978183,0,125460
Mastercard Inc Cl A,COM,57636q104,919057,9725470,SH,,SOLE,,9182452,0,543018
Mattel Inc,COM,577081102,223,6625,SH,,SOLE,,5125,0,1500
McCormick Inc,COM,579780206,3927,39480,SH,,SOLE,,32880,0,6600
McDonalds Corp,COM,580135101,457,3640,SH,,SOLE,,3640,0,0
Merck Inc,COM,58933Y105,203,3836,SH,,SOLE,,3036,0,800
Microsoft Corp,COM,594918104,2731,49450,SH,,SOLE,,48650,0,800
Nestle SA-Spons ADR,COM,641069406,1187219,15823803,SH,,SOLE,,14954361,0,869442
O Reilly Automotive Inc,COM,67103h107,367,1340,SH,,SOLE,,1340,0,0
Oracle Corp,COM,68389x105,205,5000,SH,,SOLE,,5000,0,0
Outfront Media Inc,COM,69007j106,4952,234705,SH,,SOLE,,192770,0,41935
Pepsico Inc,COM,713448108,3756,36647,SH,,SOLE,,36347,0,300
Pernod-Ricard SA-Unspon ADR,COM,714264207,1319,59050,SH,,SOLE,,59050,0,0
Philip Morris International In,COM,718172109,1031313,10511803,SH,,SOLE,,10054696,0,457107
Phillips 66,COM,718546104,210,2420,SH,,SOLE,,2120,0,300
Pioneer Nat Res,COM,723787107,380,2700,SH,,SOLE,,2700,0,0
PNC Bank Corp,COM,693475105,1491,17627,SH,,SOLE,,15960,0,1667
Praxair Inc,COM,74005p104,770,6725,SH,,SOLE,,6225,0,500
Procter & Gamble,COM,742718109,7078,85987,SH,,SOLE,,77337,0,8650
Royal Dutch Shell PLC ADR A,COM,780259206,2954,60970,SH,,SOLE,,50815,0,10155
SABMiller PLC Sponsored ADR,COM,78572m105,314,5125,SH,,SOLE,,5125,0,0
Scripps Networks Interactive C,COM,811065101,77957,1190190,SH,,SOLE,,1125992,0,64198
The Swatch Group AG ADR,COM,870123106,620,35650,SH,,SOLE,,35650,0,0
