Name,Ticker,Class,Shares,Change,Value,Change,% Port,% OS,Hist,Date
BERKSHIRE HATHAWAY INC,BRK.A,Common,4680,-135,1392768000,69895000,9.59,0.28,Hist,12/31/2017
Mastercard Inc,MA,CL A,9146308,-355480,1384385000,42733000,9.53,0.86,Hist,12/31/2017
NESTLE SA,NSRGY,Common,15887125,-203608,1365816000,14034000,9.40,,Hist,12/31/2017
Philip Morris International Inc.,PM,Common,10143009,-47331,1071609000,-59621000,7.38,0.65,Hist,12/31/2017
HEINEKEN HOLDING N V,HKHHF,Common,10767419,-213553,1066556000,34510000,7.34,,Hist,12/31/2017
COMPAGNIE FINANCIERE RICHEMONT AG /FI,CFRHF,Com,11589314,-282398,1050114000,-35713000,7.23,,Hist,12/31/2017
PERNOD RICARD S A /FI,PDRDF,Common,6096008,-174801,965885000,98152000,6.65,,Hist,12/31/2017
UNILEVER N V,UN,N Y SHS NEW,14781958,-244331,832520000,-54632000,5.73,,Hist,12/31/2017
Anheuser-Busch InBev SA/NV,BUDFF,COM,7152503,7152503,799868000,799868000,5.51,,Hist,12/31/2017
WELLS FARGO & COMPANY/MN,WFC,Common,12470839,-233389,756606000,55968000,5.21,0.25,Hist,12/31/2017
BERKSHIRE HATHAWAY INC,BRK/B,Common,2499995,-18347,495549000,33887000,3.41,151.95,Hist,12/31/2017
SWATCH GROUP,SWGAF,Common,1147483,73496,467942000,20854000,3.22,,Hist,12/31/2017
MARTIN MARIETTA MATERIALS INC,MLM,Common,2011757,-22394,444679000,25176000,3.06,3.20,Hist,12/31/2017
"ALTRIA GROUP, INC.",MO,Common,5591153,-92699,399264000,38794000,2.75,0.29,Hist,12/31/2017
BRITISH AMERICAN TOBACCO PLC /ADR/,BTAFF,Common,5213405,-82206,353891000,21952000,2.44,,Hist,12/31/2017
DIAGEO PLC,DGEAF,Common,8888628,-237872,327656000,27297000,2.26,,Hist,12/31/2017
JCDECAUX SA /FI,JCDXF,Common,7734042,-43369,312091000,20811000,2.15,,Hist,12/31/2017
BROWN FORMAN CORP,BF.A,CL A,4325375,-115776,290838000,43510000,2.00,1.13,Hist,12/31/2017
COMCAST CORP,CMCSA,Common,7120002,-40958,285156000,9602000,1.96,0.15,Hist,12/31/2017
BROWN FORMAN CORP,BF.B,CL B,1480467,-48359,101664000,18649000,0.70,0.39,Hist,12/31/2017
VISA INC.,V,CL A,574391,7340,65492000,5816000,0.45,0.03,Hist,12/31/2017
DIAGEO PLC,DEO,SPON ADR NEW,428725,-32640,62607000,1647000,0.43,,Hist,12/31/2017
AMERICAN EXPRESS CO,AXP,Common,164801,-550,16366000,1408000,0.11,0.02,Hist,12/31/2017
EXXON MOBIL CORP,XOM,Common,158428,-2124,13251000,89000,0.09,0.00,Hist,12/31/2017
MEXICAN ECONOMIC DEVELOPMENT INC,FMX,ADR,137640,3865,12924000,144000,0.09,,Hist,12/31/2017
GROUPE DANONE,DANOY,ADR,721410,-73660,12119000,-358000,0.08,,Hist,12/31/2017
CRANE CO /DE/,CR,Common,128743,-4380,11486000,837000,0.08,0.22,Hist,12/31/2017
SWEDISH MATCH CORP,SWMAF,Common,275753,-85,10885000,1230000,0.07,,Hist,12/31/2017
MARKEL CORP,MKL,Common,8333,-2575,9492000,-2158000,0.07,0.06,Hist,12/31/2017
MILLER HERMAN INC,MLHR,Common,204191,-1225,8178000,804000,0.06,0.34,Hist,12/31/2017
OUTFRONT Media Inc.,OUT,COM,326359,544,7572000,-632000,0.05,0.24,Hist,12/31/2017
COCA COLA CO,KO,Common,130412,-34365,5983000,-1434000,0.04,0.00,Hist,12/31/2017
Anheuser-Busch InBev SA Restri,,COM,51983,51983,5813000,5813000,0.04,,Hist,12/31/2017
HORMEL FOODS CORP /DE/,HRL,Common,158314,-959,5761000,642000,0.04,0.03,Hist,12/31/2017
PROCTER & GAMBLE Co,PG,Common,60424,-1843,5552000,-113000,0.04,0.00,Hist,12/31/2017
DOVER Corp,DOV,Common,53016,-650,5354000,449000,0.04,0.03,Hist,12/31/2017
"Scripps Networks Interactive, Inc.",SNI,Common,61183,-86718,5224000,-7479000,0.04,0.05,Hist,12/31/2017
HEINEKEN N V/ /FI,HINKF,Common,49688,0,5187000,273000,0.04,,Hist,12/31/2017
PEPSICO INC,PEP,Common,34175,-1025,4098000,176000,0.03,0.00,Hist,12/31/2017
JPMORGAN CHASE & CO,JPM/WS,W EXP 10/28/2018,57800,-10000,3840000,175000,0.03,,Hist,12/31/2017
NESTLE SA /FI,NSRGF,Common,41000,0,3526000,90000,0.02,,Hist,12/31/2017
WELLS FARGO & COMPANY/MN,WFC/WS,WARRANTS,127195,-7700,3497000,589000,0.02,,Hist,12/31/2017
Royal Dutch Shell plc,RDS.A,SPONS ADR A,52005,-1820,3469000,208000,0.02,,Hist,12/31/2017
MCCORMICK & CO INC,MKC,Common,33605,-50,3425000,-29000,0.02,0.03,Hist,12/31/2017
DowDuPont Inc.,DWDP,Common Stock,47305,-834,3369000,36000,0.02,0.00,Hist,12/31/2017
"PNC FINANCIAL SERVICES GROUP, INC.",PNC,Common,21090,-1800,3043000,-42000,0.02,0.00,Hist,12/31/2017
M&T BANK CORP,MTB/WS,WARRANT,30000,-4930,2928000,-60000,0.02,,Hist,12/31/2017
Alphabet Inc.,GOOG,COM,2475,-190,2590000,34000,0.02,0.00,Hist,12/31/2017
RECKITT BENCKISER GROUP PLC,RBGPF,Common,25967,-250,2430000,34000,0.02,,Hist,12/31/2017
BIC CORP,BICEF,Common,21680,0,2386000,-213000,0.02,,Hist,12/31/2017
UNILEVER NV-CVA,UNLNF,COM,39000,39000,2199000,2199000,0.02,,Hist,12/31/2017
Alphabet Inc.,GOOGL,COM,2077,-20,2188000,146000,0.02,0.00,Hist,12/31/2017
CHEVRON CORP,CVX,Common,17219,-7037,2156000,-694000,0.01,0.00,Hist,12/31/2017
FULTON FINANCIAL CORP,FULT,Common,116822,-250,2091000,-104000,0.01,0.07,Hist,12/31/2017
LINDT & SPRUENGLI AG-REG,LDSRF,Common,27,0,1953000,79000,0.01,,Hist,12/31/2017
Vulcan Materials CO,VMC,Common,14730,4885,1891000,714000,0.01,0.01,Hist,12/31/2017
EATON VANCE SENIOR INCOME TRUST,EVF,Common,289387,2064,1887000,-15000,0.01,,Hist,12/31/2017
HEINEKEN NV /ADR/,HEINY,FOREIGN,35482,35482,1852000,1852000,0.01,,Hist,12/31/2017
COMPAGNIE FINANCIERE DE PARIBAS,CFRUY,FOREIGN,195665,195665,1773000,1773000,0.01,,Hist,12/31/2017
Kraft Heinz Co,KHC,COM,22535,0,1752000,4000,0.01,0.00,Hist,12/31/2017
PERNOD RICARD S A /FI,PDRDY,COM,51200,-14450,1622000,-195000,0.01,,Hist,12/31/2017
BANK OF AMERICA CORP /DE/,BAC,Common,47975,1000,1416000,226000,0.01,0.00,Hist,12/31/2017
AbbVie Inc.,ABBV,COM,14100,-3700,1364000,-218000,0.01,0.00,Hist,12/31/2017
BB&T CORP,BBT,Common,27105,138,1348000,82000,0.01,0.00,Hist,12/31/2017
INTERNATIONAL BUSINESS MACHINES CORP,IBM,Common,7588,-596,1164000,-23000,0.01,0.00,Hist,12/31/2017
LOREAL,LRLCF,COM,5140,5140,1142000,1142000,0.01,,Hist,12/31/2017
