NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE,SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE
Eaton Vance Sr Income TR SF,SH BEN INT,27826s103,1921,283390,SH,,SOLE,,283390,0,0
3M Company,COM,88579y101,292,1525,SH,,SOLE,,1525,0,0
Abbott Labs,COM,002824100,728,16400,SH,,SOLE,,14400,0,2000
AbbVie Inc,COM,00287Y109,1056,16200,SH,,SOLE,,14200,0,2000
Alleghany Corp,COM,017175100,240,391,SH,,SOLE,,184,0,207
Alphabet Inc Cl A,COM,02079k305,1536,1812,SH,,SOLE,,1762,0,50
Alphabet Inc Cl C,COM,02079k107,2074,2500,SH,,SOLE,,2450,0,50
Altria Group Inc,COM,02209s103,384294,5380768,SH,,SOLE,,5170398,0,210370
American Express,COM,025816109,12736,160993,SH,,SOLE,,130459,0,30534
American Intl Group Inc,COM,026874784,375,6000,SH,,SOLE,,6000,0,0
Anheuser-Busch InBev ADR,COM,03524a108,408,3720,SH,,SOLE,,3720,0,0
Bank Amer Corp,COM,060505104,1144,48500,SH,,SOLE,,48500,0,0
BB&T Corp,COM,054937107,1052,23536,SH,,SOLE,,23536,0,0
Berkshire Hathaway Inc Cl A,COM,084670108,1219768,4882,SH,,SOLE,,4560,0,322
Berkshire Hathaway Inc Cl B,COM,084670702,416567,2499201,SH,,SOLE,,2353232,0,145969
British Amern Tob PLC ADR,COM,110448107,790,11912,SH,,SOLE,,11912,0,0
Brown-Forman Corp Cl A,COM,115637100,213846,4543152,SH,,SOLE,,4348301,0,194850
Brown-Forman Corp Cl B,COM,115637209,64425,1395094,SH,,SOLE,,1263956,0,131138
Centerstate BKS FLA Inc,COM,15201p109,233,9004,SH,,SOLE,,9004,0,0
Chemours Co,COM,163851108,261,6779,SH,,SOLE,,6779,0,0
Chevron Corp,COM,166764100,2901,27022,SH,,SOLE,,26322,0,700
CIE Financiere Richemont-Unsp,COM,204319107,1876,237105,SH,,SOLE,,237105,0,0
Coca-Cola,COM,191216100,7332,172757,SH,,SOLE,,154007,0,18750
Comcast Corp New Cl A,COM,20030n101,268539,7143906,SH,,SOLE,,6727260,0,416646
Conocophillips,COM,20825c104,244,4888,SH,,SOLE,,4288,0,600
Costco Whsl Corp,COM,22160k105,1114,6643,SH,,SOLE,,6643,0,0
Coty Inc-CL A,COM,222070203,802,44210,SH,,SOLE,,40758,0,3452
Crane,COM,224399105,10100,134973,SH,,SOLE,,122523,0,12450
Danone ADR,COM,23636T100,10046,736605,SH,,SOLE,,645790,0,90815
Diageo PLC Sponsored ADR,COM,25243q205,54745,473651,SH,,SOLE,,435891,0,37760
Disney Walt Productions,COM,254687106,533,4703,SH,,SOLE,,3735,0,968
Dover Corp,COM,260003108,4604,57301,SH,,SOLE,,47051,0,10250
Du Pont E I De Nemours,COM,263534109,3025,37654,SH,,SOLE,,37654,0,0
Exxon Mobil Corp,COM,30231g102,13281,161941,SH,,SOLE,,150551,0,11390
Fomento Economico Mex Sp ADR,COM,344419106,11355,128280,SH,,SOLE,,105050,0,23230
Fulton Finl Corp,COM,360271100,1550,86843,SH,,SOLE,,9700,0,77143
General Electric,COM,369604103,211,7080,SH,,SOLE,,7080,0,0
Heartland Express Inc,COM,422347104,239,11899,SH,,SOLE,,9899,0,2000
Heineken NV Spons ADR,COM,423012301,1895,44395,SH,,SOLE,,44395,0,0
Herman Miller Inc,COM,600544100,6574,208366,SH,,SOLE,,188516,0,19850
Hormel Foods Corp,COM,440452100,5425,156649,SH,,SOLE,,135401,0,21248
I B M,COM,459200101,1595,9159,SH,,SOLE,,6864,0,2295
Kraft Heinz Co,COM,500754106,2018,22225,SH,,SOLE,,22225,0,0
Lamar Advertising Co-A,COM,512816109,1009,13500,SH,,SOLE,,13500,0,0
Markel Corp,COM,570535104,10990,11262,SH,,SOLE,,9997,0,1265
Martin Marietta Materials,COM,573284106,388413,1779672,SH,,SOLE,,1666079,0,113593
Mastercard Inc Cl A,COM,57636q104,1071338,9525546,SH,,SOLE,,8994774,0,530772
McCormick Inc,COM,579780206,3298,33805,SH,,SOLE,,29505,0,4300
McDonalds Corp,COM,580135101,470,3630,SH,,SOLE,,3630,0,0
Microsoft Corp,COM,594918104,3253,49400,SH,,SOLE,,48200,0,1200
Monsanto,COM,61166w101,275,2425,SH,,SOLE,,2425,0,0
Nestle SA-Spons ADR,COM,641069406,1229622,15989885,SH,,SOLE,,15091912,0,897973
O Reilly Automotive Inc,COM,67103h107,297,1100,SH,,SOLE,,1100,0,0
Outfront Media Inc,COM,69007j106,7573,285225,SH,,SOLE,,239490,0,45735
Pepsico Inc,COM,713448108,4018,35919,SH,,SOLE,,32619,0,3300
Pernod-Ricard SA-Unspon ADR,COM,714264207,1541,64945,SH,,SOLE,,64945,0,0
Philip Morris International In,COM,718172109,1164430,10313815,SH,,SOLE,,9848633,0,465182
Pioneer Nat Res,COM,723787107,503,2700,SH,,SOLE,,2700,0,0
PNC Bank Corp,COM,693475105,2776,23090,SH,,SOLE,,13590,0,9500
Procter & Gamble,COM,742718109,5787,64402,SH,,SOLE,,59387,0,5015
Royal Dutch Shell PLC ADR A,COM,780259206,2847,53990,SH,,SOLE,,45485,0,8505
Schlumberger LTD,COM,806857108,401,5140,SH,,SOLE,,2140,0,3000
Scripps Networks Interactive C,COM,811065101,90330,1152605,SH,,SOLE,,1095277,0,57328
The Swatch Group AG ADR,COM,870123106,735,41010,SH,,SOLE,,41010,0,0
Unilever NV ADR,COM,904784709,757021,15237940,SH,,SOLE,,14374432,0,863508
Union Pac Corp,COM,907818108,255,2410,SH,,SOLE,,2410,0,0
Unum Group,COM,91529y106,211,4500,SH,,SOLE,,4500,0,0
Visa Inc Cl A,COM,92826c839,48894,550171,SH,,SOLE,,473917,0,76254
Vulcan Materials,COM,929160109,596,4950,SH,,SOLE,,50,0,4900
Wal Mart Stores Inc,COM,931142103,722,10019,SH,,SOLE,,4069,0,5950
Wells Fargo,COM,949746101,759975,13653885,SH,,SOLE,,12889491,0,764395
JP Morgan Chase & Co WTS Exp 1,WTS,46634e114,3950,85300,SH,,SOLE,,85300,0,0
M&T Bank Corp Wts Exp 12/23/1,WTS,55261f112,3228,40000,SH,,SOLE,,40000,0,0
Wells Fargo WTS Exp 10/28/18,WTS,949746119,3362,151500,SH,,SOLE,,151500,0,0
A P Moller-Maersk A/S,COM,k0514g135,743,459,SH,,SOLE,,434,0,25
Anheuser-Busch InBev SA,COM,b639cj108,772729,7021186,SH,,SOLE,,6635098,0,386088
Anheuser-Busch InBev SA Restri,COM,b639cj116,3115,28305,SH,,SOLE,,28305,0,0
BIC,COM,f10080103,2589,20725,SH,,SOLE,,20290,0,435
Bollore,COM,f10659260,117,30000,SH,,SOLE,,30000,0,0
British American Tobacco PLC,COM,g1510j102,338748,5111336,SH,,SOLE,,4926749,0,184587
Cir SPA,COM,t28980125,191,125000,SH,,SOLE,,125000,0,0
Compagnie Financiere Richemont,COM,h25662182,942725,11914401,SH,,SOLE,,11287583,0,626818
Diageo PLC,COM,g42089113,267358,9363233,SH,,SOLE,,8911291,0,451942
Groupe Danone,COM,f12033134,244,3575,SH,,SOLE,,3575,0,0
Hanjaya Mandala Sampoerna,COM,y7121z146,201,687500,SH,,SOLE,,687500,0,0
Heineken Holding NV,COM,n39338194,889357,11150922,SH,,SOLE,,10556681,0,594241
Heineken NV,COM,n39427211,4249,49788,SH,,SOLE,,45763,0,4025
Indivior PLC,COM,g4766e108,97,24037,SH,,SOLE,,16562,0,7475
JC Decaux SA ACT,COM,f5333n100,252807,7164839,SH,,SOLE,,6741554,0,423285
Lindt & Spruengli AG - Reg,COM,h49983176,1728,26,SH,,SOLE,,26,0,0
Loreal SA,COM,f58149133,1427,7405,SH,,SOLE,,7225,0,180
LT Group Inc,COM,y5342m100,48,150000,SH,,SOLE,,150000,0,0
Nestle SA-REG,COM,h57312649,3172,41310,SH,,SOLE,,41000,0,310
Nielsen Holdings PLC ORD,COM,g6518l108,582,14091,SH,,SOLE,,14091,0,0
Pargesa Holding AG - B,COM,h60477207,1033,14601,SH,,SOLE,,14351,0,250
Pernod Ricard,COM,f72027109,748096,6307031,SH,,SOLE,,5992953,0,314078
PZ Cussons PLC,COM,g6850s109,60,15000,SH,,SOLE,,15000,0,0
Reckitt Benckiser Group PLC,COM,g74079107,2398,26317,SH,,SOLE,,18767,0,7550
Roche Holding AG,COM,001203204,365,1429,SH,,SOLE,,1429,0,0
Swedish Match AB,COM,w92277115,9105,278868,SH,,SOLE,,270068,0,8800
The Swatch Group AG-BR,COM,h83949141,374310,1044510,SH,,SOLE,,994619,0,49891
Unilever NV,COM,n8981f271,1943,39000,SH,,SOLE,,39000,0,0
