NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE,SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE
Eaton Vance Sr Income TR SF,SH BEN INT,27826S103,1842,299442,SH,,SOLE,,299442,0,0
3M Company,COM,88579Y101,237,1140,SH,,SOLE,,1140,0,0
Abbott Labs,COM,002824100,968,12110,SH,,SOLE,,10110,0,2000
AbbVie Inc,COM,00287Y109,1048,13010,SH,,SOLE,,11010,0,2000
Alphabet Inc Cl A,COM,02079K305,2154,1830,SH,,SOLE,,1746,0,84
Alphabet Inc Cl C,COM,02079K107,109492,93319,SH,,SOLE,,89186,0,4133
Altria Group Inc,COM,02209S103,293697,5113999,SH,,SOLE,,4924751,0,189248
American Express,COM,025816109,15828,144814,SH,,SOLE,,124945,0,19869
American Intl Group Inc,COM,026874784,247,5735,SH,,SOLE,,5735,0,0
Apple Computer Inc,COM,037833100,398,2095,SH,,SOLE,,1850,0,245
Bank Amer Corp,COM,060505104,1351,48975,SH,,SOLE,,48975,0,0
BB&T Corp,COM,054937107,473,10157,SH,,SOLE,,10157,0,0
Berkshire Hathaway Inc Cl A,COM,084670108,1234379,4098,SH,,SOLE,,3843,0,255
Berkshire Hathaway Inc Cl B,COM,084670702,485672,2417601,SH,,SOLE,,2290198,0,127403
BP PLC ADR,COM,055622104,223,5106,SH,,SOLE,,5106,0,0
Brown-Forman Corp Cl A,COM,115637100,207443,4053990,SH,,SOLE,,3884997,0,168993
Brown-Forman Corp Cl B,COM,115637209,106024,2008798,SH,,SOLE,,1867799,0,140999
Chemours Co,COM,163851108,238,6416,SH,,SOLE,,6416,0,0
Chevron Corp,COM,166764100,1233,10013,SH,,SOLE,,9613,0,400
CIE Financiere Richemont-Unsp,COM,204319107,1092,149875,SH,,SOLE,,149875,0,0
Coca-Cola,COM,191216100,5201,110999,SH,,SOLE,,95599,0,15400
Comcast Corp New Cl A,COM,20030N101,251372,6287439,SH,,SOLE,,5952825,0,334615
Costco Whsl Corp,COM,22160K105,1266,5227,SH,,SOLE,,5072,0,155
Coty Inc-CL A,COM,222070203,343,29853,SH,,SOLE,,28319,0,1534
Crane,COM,224399105,8681,102593,SH,,SOLE,,94493,0,8100
Danone ADR,COM,23636T100,8602,557639,SH,,SOLE,,534724,0,22915
Diageo PLC Sponsored ADR,COM,25243Q205,56249,343801,SH,,SOLE,,317376,0,26425
Disney Walt Productions,COM,254687106,488,4398,SH,,SOLE,,4380,0,18
Dover Corp,COM,260003108,4106,43776,SH,,SOLE,,39101,0,4675
DowDupont Inc,COM,26078J100,2489,46686,SH,,SOLE,,46686,0,0
Exxon Mobil Corp,COM,30231G102,12224,151284,SH,,SOLE,,144277,0,7007
Fomento Economico Mex Sp ADR,COM,344419106,12655,137134,SH,,SOLE,,119989,0,17145
Fulton Finl Corp,COM,360271100,1845,119154,SH,,SOLE,,38479,0,80675
Heineken NV Spons ADR,COM,423012301,1532,29009,SH,,SOLE,,29009,0,0
Herman Miller Inc,COM,600544100,6217,176716,SH,,SOLE,,163616,0,13100
Hormel Foods Corp,COM,440452100,6870,153493,SH,,SOLE,,138693,0,14800
I B M,COM,459200101,213,1512,SH,,SOLE,,1512,0,0
J.P. Morgan Chase,COM,46625H100,1223,12077,SH,,SOLE,,12077,0,0
Lamar Advertising Co-A,COM,512816109,694,8756,SH,,SOLE,,8756,0,0
M & T Bk Corp,COM,55261F104,716,4559,SH,,SOLE,,4559,0,0
Markel Corp,COM,570535104,7740,7769,SH,,SOLE,,6669,0,1100
Martin Marietta Materials,COM,573284106,372821,1853170,SH,,SOLE,,1742749,0,110422
Mastercard Inc Cl A,COM,57636Q104,1750958,7436646,SH,,SOLE,,7059237,0,377408
McCormick Inc,COM,579780206,4441,29480,SH,,SOLE,,26080,0,3400
McDonalds Corp,COM,580135101,564,2970,SH,,SOLE,,2970,0,0
Merck Inc,COM,58933Y105,232,2786,SH,,SOLE,,2786,0,0
Microsoft Corp,COM,594918104,448,3795,SH,,SOLE,,3310,0,485
Nestle SA-Spons ADR,COM,641069406,1319465,13842483,SH,,SOLE,,13153703,0,688779
O Reilly Automotive Inc,COM,67103H107,388,1000,SH,,SOLE,,1000,0,0
Oracle Corp,COM,68389X105,215,4000,SH,,SOLE,,4000,0,0
Outfront Media Inc,COM,69007J106,7988,341359,SH,,SOLE,,325049,0,16310
Pepsico Inc,COM,713448108,3268,26667,SH,,SOLE,,26026,0,641
Pernod-Ricard SA-Unspon ADR,COM,714264207,1258,35025,SH,,SOLE,,35025,0,0
Philip Morris International In,COM,718172109,850673,9624084,SH,,SOLE,,9178342,0,445743
Pioneer Nat Res,COM,723787107,396,2600,SH,,SOLE,,2600,0,0
PNC Bank Corp,COM,693475105,2155,17568,SH,,SOLE,,17568,0,0
Procter & Gamble,COM,742718109,4451,42780,SH,,SOLE,,40894,0,1886
Royal Dutch Shell PLC ADR A,COM,780259206,2228,35595,SH,,SOLE,,34375,0,1220
The Swatch Group AG ADR,COM,870123106,509,35585,SH,,SOLE,,35585,0,0
Unilever NV ADR,COM,904784709,775796,13309242,SH,,SOLE,,12624006,0,685236
Union Pac Corp,COM,907818108,303,1810,SH,,SOLE,,1810,0,0
US Bancorp,COM,902973304,208,4314,SH,,SOLE,,800,0,3514
Visa Inc Cl A,COM,92826C839,81245,520170,SH,,SOLE,,469126,0,51044
Vulcan Materials,COM,929160109,6413,54163,SH,,SOLE,,51238,0,2925
Wal Mart Stores Inc,COM,931142103,482,4940,SH,,SOLE,,4140,0,800
Wells Fargo,COM,949746101,611193,12648868,SH,,SOLE,,12005168,0,643701
Hostess Brands Inc Wts Exp 11/,WTS,44109J114,276,212000,SH,,SOLE,,212000,0,0
