Name,Ticker,Class,Shares,Change,Value,Change,% Port,% OS,Hist,Date
NESTLE SA,NSRGY,Common,9762471,9762471,561834000,561834000,11.27,,Hist,03/31/2011
Philip Morris International Inc.,PM,Common,7992441,223043,524544000,69801000,10.52,,Hist,03/31/2011
BERKSHIRE HATHAWAY INC,BRK.A,Common,3556,86,445567000,27606000,8.94,,Hist,03/31/2011
COMPAGNIE FINANCIERE RICHEMONT AG /FI,CFRHF,COM,5889428,5889428,341514000,341514000,6.85,,Hist,03/31/2011
HEINEKEN HOLDING N V,HKHHF,Common,6862582,6862582,330337000,330337000,6.63,,Hist,03/31/2011
SABMILLER PLC/FI,SBMRF,Common,7743191,7743191,273994000,273994000,5.50,,Hist,03/31/2011
PERNOD RICARD S A /FI,PDRDF,Common,2686029,2686029,251195000,251195000,5.04,,Hist,03/31/2011
WELLS FARGO & COMPANY/MN,WFC,Common,6861117,250400,217566000,12700000,4.36,,Hist,03/31/2011
UNILEVER N V,UN,N Y SHS NEW,6188552,273040,194073000,8326000,3.89,,Hist,03/31/2011
"ALTRIA GROUP, INC.",MO,Common,6940152,197848,180652000,14656000,3.62,,Hist,03/31/2011
Mastercard Inc,MA,CL A,688985,91613,173431000,39554000,3.48,,Hist,03/31/2011
COMCAST CORP,CMCSK,Common,7116579,-229733,165247000,12370000,3.31,,Hist,03/31/2011
BRITISH AMERICAN TOBACCO PLC /ADR/,BTAFF,Common,4030295,4030295,161638000,161638000,3.24,,Hist,03/31/2011
Anheuser-Busch InBev SA/NV,BUD,ADR,2578514,389534,147414000,22445000,2.96,,Hist,03/31/2011
MARTIN MARIETTA MATERIALS INC,MLM,Common,1536172,31826,137749000,-1012000,2.76,,Hist,03/31/2011
DIAGEO PLC,DGEAF,Common,6261479,6261479,118936000,118936000,2.39,,Hist,03/31/2011
BROWN FORMAN CORP,BF.A,CL A,1636952,67886,111264000,2343000,2.23,,Hist,03/31/2011
"Scripps Networks Interactive, Inc.",SNI,Common,1735979,64656,86955000,464000,1.74,,Hist,03/31/2011
Graham Holdings Co,WPO,Cl B,131063,-3905,57348000,-1970000,1.15,,Hist,03/31/2011
HASBRO INC,HAS,Common,922321,-19848,43202000,-1250000,0.87,,Hist,03/31/2011
DIAGEO PLC,DEO,SPON ADR NEW,479262,7850,36529000,1489000,0.73,,Hist,03/31/2011
JCDECAUX SA /FI,JCDXF,Common,936576,936576,31473000,31473000,0.63,,Hist,03/31/2011
ABBOTT LABORATORIES,ABT,Common,436545,4725,21413000,725000,0.43,,Hist,03/31/2011
SWATCH GROUP,SWGAF,Common,37959,37959,16850000,16850000,0.34,,Hist,03/31/2011
EXXON MOBIL CORP,XOM,Common,195661,1942,16461000,2296000,0.33,,Hist,03/31/2011
