NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE,SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE
Eaton Vance Sr Income TR SF,SH BEN INT,27826S103,1925,300315,SH,,SOLE,,300315,0,0
Abbott Labs,COM,002824100,1052,12110,SH,,SOLE,,10110,0,2000
AbbVie Inc,COM,00287Y109,1134,12810,SH,,SOLE,,10810,0,2000
Alleghany Corp,COM,017175100,259,324,SH,,SOLE,,117,0,207
Alphabet Inc Cl A,COM,02079K305,2435,1818,SH,,SOLE,,1733,0,85
Alphabet Inc Cl C,COM,02079K107,418259,312829,SH,,SOLE,,299408,0,13421
Altria Group Inc,COM,02209S103,110851,2221018,SH,,SOLE,,2120744,0,100274
American Express,COM,025816109,16416,131870,SH,,SOLE,,112186,0,19684
American Intl Group Inc,COM,026874784,294,5735,SH,,SOLE,,5735,0,0
Apple Computer Inc,COM,037833100,586,1995,SH,,SOLE,,1750,0,245
Bank Amer Corp,COM,060505104,1725,48975,SH,,SOLE,,48975,0,0
Berkshire Hathaway Inc Cl A,COM,084670108,1307422,3850,SH,,SOLE,,3608,0,242
Berkshire Hathaway Inc Cl B,COM,084670702,499857,2206875,SH,,SOLE,,2084656,0,122219
Brown-Forman Corp Cl A,COM,115637100,234692,3738915,SH,,SOLE,,3581303,0,157611
Brown-Forman Corp Cl B,COM,115637209,116377,1721550,SH,,SOLE,,1595149,0,126401
Chevron Corp,COM,166764100,1042,8648,SH,,SOLE,,8248,0,400
CIE Financiere Richemont-Unsp,COM,204319107,1256,159951,SH,,SOLE,,159951,0,0
Coca-Cola,COM,191216100,5549,100254,SH,,SOLE,,84854,0,15400
Comcast Corp New Cl A,COM,20030N101,259873,5778809,SH,,SOLE,,5466178,0,312632
Corteva Inc,COM,22052L104,384,12988,SH,,SOLE,,12988,0,0
Costco Whsl Corp,COM,22160K105,1518,5165,SH,,SOLE,,5010,0,155
Coty Inc-CL A,COM,222070203,160,14186,SH,,SOLE,,13467,0,719
Crane,COM,224399105,8335,96493,SH,,SOLE,,88393,0,8100
Danaher Corp,COM,235851102,205,1333,SH,,SOLE,,1000,0,333
Danone ADR,COM,23636T100,5553,334718,SH,,SOLE,,312978,0,21740
Diageo PLC Sponsored ADR,COM,25243Q205,39142,232405,SH,,SOLE,,214280,0,18125
Disney Walt Productions,COM,254687106,622,4303,SH,,SOLE,,4285,0,18
Dover Corp,COM,260003108,4848,42065,SH,,SOLE,,37415,0,4650
Dow Inc,COM,260557103,831,15188,SH,,SOLE,,15188,0,0
Dupont De Nemours Inc,COM,26614N102,972,15133,SH,,SOLE,,15133,0,0
Exxon Mobil Corp,COM,30231G102,10192,146062,SH,,SOLE,,140232,0,5830
Fomento Economico Mex Sp ADR,COM,344419106,10083,106688,SH,,SOLE,,89723,0,16965
Fulton Finl Corp,COM,360271100,2044,117274,SH,,SOLE,,38479,0,78795
Heineken NV Spons ADR,COM,423012301,1526,28637,SH,,SOLE,,28637,0,0
Herman Miller Inc,COM,600544100,6934,166481,SH,,SOLE,,154131,0,12350
Hormel Foods Corp,COM,440452100,6803,150805,SH,,SOLE,,136005,0,14800
J.P. Morgan Chase,COM,46625H100,1447,10377,SH,,SOLE,,10377,0,0
Lamar Advertising Co-A,COM,512816109,725,8125,SH,,SOLE,,8125,0,0
M & T Bk Corp,COM,55261F104,741,4365,SH,,SOLE,,4365,0,0
Markel Corp,COM,570535104,8605,7527,SH,,SOLE,,6427,0,1100
Martin Marietta Materials,COM,573284106,471824,1687254,SH,,SOLE,,1585044,0,102209
Mastercard Inc Cl A,COM,57636Q104,1905141,6380459,SH,,SOLE,,6048094,0,332365
McCormick Inc,COM,579780206,4871,28700,SH,,SOLE,,25300,0,3400
McDonalds Corp,COM,580135101,587,2970,SH,,SOLE,,2970,0,0
Merck Inc,COM,58933Y105,250,2751,SH,,SOLE,,2751,0,0
Microsoft Corp,COM,594918104,583,3695,SH,,SOLE,,3210,0,485
Nestle SA-Spons ADR,COM,641069406,1381424,12760244,SH,,SOLE,,12117282,0,642962
O Reilly Automotive Inc,COM,67103H107,438,1000,SH,,SOLE,,1000,0,0
Oracle Corp,COM,68389X105,212,4000,SH,,SOLE,,4000,0,0
Outfront Media Inc,COM,69007J106,8503,317032,SH,,SOLE,,300072,0,16960
Pepsico Inc,COM,713448108,3289,24068,SH,,SOLE,,23427,0,641
Pernod-Ricard SA-Unspon ADR,COM,714264207,1326,37050,SH,,SOLE,,37050,0,0
Philip Morris International In,COM,718172109,754231,8863924,SH,,SOLE,,8450071,0,413852
Pioneer Nat Res,COM,723787107,394,2600,SH,,SOLE,,2600,0,0
PNC Bank Corp,COM,693475105,2712,16988,SH,,SOLE,,16988,0,0
Procter & Gamble,COM,742718109,4749,38025,SH,,SOLE,,36139,0,1886
Royal Dutch Shell PLC ADR A,COM,780259206,1767,29966,SH,,SOLE,,28776,0,1190
Swedish Match AB Unspon ADR,COM,870309606,318,12325,SH,,SOLE,,12325,0,0
The Swatch Group AG ADR,COM,870123106,527,37825,SH,,SOLE,,37825,0,0
Truist Financial Corp,COM,89832Q109,580,10293,SH,,SOLE,,10293,0,0
Unilever NV ADR,COM,904784709,711025,12374258,SH,,SOLE,,11729078,0,645180
Union Pac Corp,COM,907818108,282,1560,SH,,SOLE,,1560,0,0
US Bancorp,COM,902973304,208,3514,SH,,SOLE,,0,0,3514
Visa Inc Cl A,COM,92826C839,93013,495011,SH,,SOLE,,442892,0,52119
Vulcan Materials,COM,929160109,8158,56659,SH,,SOLE,,52249,0,4410
Wal Mart Stores Inc,COM,931142103,577,4855,SH,,SOLE,,4055,0,800
Wells Fargo,COM,949746101,680031,12639980,SH,,SOLE,,11977136,0,662844
Hostess Brands Inc Wts Exp 11/,WTS,44109J114,493,250000,SH,,SOLE,,250000,0,0
Anheuser-Busch InBev SA,COM,B639CJ108,618207,7574490,SH,,SOLE,,7187046,0,387444
Anheuser-Busch InBev SA Restri,COM,b639cj116,4028,49357,SH,,SOLE,,49357,0,0
BIC,COM,F10080103,1030,14805,SH,,SOLE,,14370,0,435
Bollore,COM,F10659260,59,13500,SH,,SOLE,,13500,0,0
Cir SPA,COM,T28980125,153,125000,SH,,SOLE,,125000,0,0
Compagnie Financiere Richemont,COM,H25662182,797849,10157731,SH,,SOLE,,9661261,0,496470
Davide Campari-Milano SPA,COM,T3490M150,600,65620,SH,,SOLE,,60220,0,5400
Diageo PLC,COM,G42089113,230130,5427771,SH,,SOLE,,5191344,0,236427
Hanjaya Mandala Sampoerna,COM,Y7121Z146,104,687500,SH,,SOLE,,687500,0,0
Heineken Holding NV,COM,N39338194,872093,8992136,SH,,SOLE,,8558953,0,433183
Heineken NV,COM,N39427211,4325,40588,SH,,SOLE,,37688,0,2900
JC Decaux SA ACT,COM,F5333N100,195731,6345372,SH,,SOLE,,6005776,0,339596
Lindt & Spruengli AG - Reg,COM,H49983176,2296,26,SH,,SOLE,,26,0,0
Loreal SA,COM,F58149133,1459,4923,SH,,SOLE,,4743,0,180
LT Group Inc,COM,Y5342M100,296,1250000,SH,,SOLE,,1250000,0,0
LVMH Moet Hennessy Louis Vuitt,COM,F58485115,253,544,SH,,SOLE,,544,0,0
Nestle SA-REG,COM,H57312649,4572,42250,SH,,SOLE,,42250,0,0
Pargesa Holding AG - B,COM,H60477207,958,11526,SH,,SOLE,,11526,0,0
Pernod Ricard,COM,F72027109,866877,4844875,SH,,SOLE,,4627415,0,217460
Reckitt Benckiser Group PLC,COM,G74079107,1557,19180,SH,,SOLE,,12180,0,7000
Roche Holding AG,COM,H69293217,206,635,SH,,SOLE,,635,0,0
Shiseido Co Ltd,COM,J74358144,208,2900,SH,,SOLE,,2900,0,0
Swedish Match AB,COM,W92277115,10098,195800,SH,,SOLE,,194525,0,1275
The Swatch Group AG-BR,COM,H83949141,291185,1044330,SH,,SOLE,,996805,0,47525
