Name,Ticker,Class,Shares,Change,Value,Change,% Port,% OS,Hist,Date
BERKSHIRE HATHAWAY INC,BRK.A,Common,3357,111,307699000,14423000,,,Hist,06/30/2006
"ALTRIA GROUP, INC.",MO,Common,4146456,113450,304474000,18695000,,,Hist,06/30/2006
NESTLE SA,NSRGY,Common,3410259,124108,267296000,29379000,,,Hist,06/30/2006
HEINEKEN HOLDING N V,HKHHF,Common,6026675,137320,222083000,18724000,,,Hist,06/30/2006
COMCAST CORP,CMCSK,Common,5724841,364549,187660000,47649000,,,Hist,06/30/2006
MARTIN MARIETTA MATERIALS INC,MLM,Common,1894182,-76501,172655000,-38267000,,,Hist,06/30/2006
WELLS FARGO & COMPANY/MN,WFC,Common,2561501,62235,171825000,12197000,,,Hist,06/30/2006
COMPAGNIE FINANCIERE RICHEMONT AG /FI,CFRHF,Common,3227058,19965,147541000,-6303000,,,Hist,06/30/2006
AMERICAN INTERNATIONAL GROUP INC,AIG,Common,2390879,123669,141181000,-8659000,,,Hist,06/30/2006
TELEGRAAF MEDIA GROEP NV,TGRAF,Common,5201928,25927,140556000,7377000,,,Hist,06/30/2006
Graham Holdings Co,WPO,Cl B,173089,5755,135011000,5034000,,,Hist,06/30/2006
UST INC,UST,Common,2864563,100375,129450000,14460000,,,Hist,06/30/2006
E.W. SCRIPPS Co,SSP,Common,2785898,98515,120184000,31000,,,Hist,06/30/2006
DIAGEO PLC,DGEAF,Common,6695149,149973,112612000,9395000,,,Hist,06/30/2006
BROWN FORMAN CORP,BF.A,CL A,1541459,26155,110677000,-7896000,,,Hist,06/30/2006
CITIGROUP INC,C,Common,2235593,90964,107867000,6576000,,,Hist,06/30/2006
MCCLATCHY CO,MNI,CL A,2433599,687288,97636000,12329000,,,Hist,06/30/2006
H&R BLOCK INC,HRB,Common,3932276,-74773,93824000,7071000,,,Hist,06/30/2006
CADBURY PUBLIC LTD CO,CSGWF,Common,9104178,395690,87855000,1293000,,,Hist,06/30/2006
HASBRO INC,HAS,Common,4521844,-62800,81891000,-14845000,,,Hist,06/30/2006
PERNOD RICARD S A /FI,PDRDF,Common,410342,20743,81293000,6502000,,,Hist,06/30/2006
