Name,Ticker,Class,Shares,Change,Value,Change,% Port,% OS,Hist,Date
NESTLE SA,NSRGY,Common,14981721,14981721,1101482000,1101482000,10.37,,Hist,09/30/2014
BERKSHIRE HATHAWAY INC,BRK.A,Common,5082,5082,1051466000,1051466000,9.90,,Hist,09/30/2014
Philip Morris International Inc.,PM,Common,10252495,10252495,855058000,855058000,8.05,,Hist,09/30/2014
WELLS FARGO & COMPANY/MN,WFC,Common,14637898,14637898,759268000,759268000,7.15,,Hist,09/30/2014
Mastercard Inc,MA,CL A,9956963,9956963,736019000,736019000,6.93,,Hist,09/30/2014
HEINEKEN HOLDING N V,HKHHF,Common,10527476,10527476,696459000,696459000,6.56,,Hist,09/30/2014
SABMILLER PLC/FI,SBMRF,Common,11562694,11562694,642570000,642570000,6.05,,Hist,09/30/2014
COMPAGNIE FINANCIERE RICHEMONT AG /FI,CFRHF,Com,7243980,7243980,593999000,593999000,5.59,,Hist,09/30/2014
PERNOD RICARD S A /FI,PDRDF,Common,5194053,5194053,588162000,588162000,5.54,,Hist,09/30/2014
Anheuser-Busch InBev SA/NV,BUD,ADR,5096871,5096871,564988000,564988000,5.32,,Hist,09/30/2014
UNILEVER N V,UN,N Y SHS NEW,13297615,13297615,527649000,527649000,4.97,,Hist,09/30/2014
BERKSHIRE HATHAWAY INC,BRK/B,Common,2457392,2457392,339464000,339464000,3.20,,Hist,09/30/2014
"ALTRIA GROUP, INC.",MO,Common,7108388,7108388,326559000,326559000,3.07,,Hist,09/30/2014
BRITISH AMERICAN TOBACCO PLC /ADR/,BTAFF,Common,4815888,4815888,271848000,271848000,2.56,,Hist,09/30/2014
MARTIN MARIETTA MATERIALS INC,MLM,Common,1975609,1975609,254735000,254735000,2.40,4.26,Hist,09/30/2014
BROWN FORMAN CORP,BF.A,CL A,2832558,2832558,252636000,252636000,2.38,,Hist,09/30/2014
COMCAST CORP,CMCSK,Common,4715276,4715276,252267000,252267000,2.37,,Hist,09/30/2014
DIAGEO PLC,DGEAF,Common,8615112,8615112,249298000,249298000,2.35,,Hist,09/30/2014
