NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE,SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE
Eaton Vance Sr Income TR SF,SH BEN INT,27826S103,1819,297240,SH,,SOLE,,297240,0,0
Abbott Labs,COM,002824100,1013,12110,SH,,SOLE,,10110,0,2000
AbbVie Inc,COM,00287Y109,985,13010,SH,,SOLE,,11010,0,2000
Alleghany Corp,COM,017175100,258,324,SH,,SOLE,,117,0,207
Alphabet Inc Cl A,COM,02079K305,2252,1844,SH,,SOLE,,1760,0,84
Alphabet Inc Cl C,COM,02079K107,311306,255378,SH,,SOLE,,243903,0,11475
Altria Group Inc,COM,02209S103,134393,3285894,SH,,SOLE,,3156027,0,129867
American Express,COM,025816109,16270,137557,SH,,SOLE,,117873,0,19684
American Intl Group Inc,COM,026874784,319,5735,SH,,SOLE,,5735,0,0
Apple Computer Inc,COM,037833100,469,2095,SH,,SOLE,,1850,0,245
Bank Amer Corp,COM,060505104,1429,48975,SH,,SOLE,,48975,0,0
BB&T Corp,COM,054937107,547,10250,SH,,SOLE,,10250,0,0
Berkshire Hathaway Inc Cl A,COM,084670108,1224252,3926,SH,,SOLE,,3683,0,243
Berkshire Hathaway Inc Cl B,COM,084670702,470679,2262661,SH,,SOLE,,2138493,0,124168
Brown-Forman Corp Cl A,COM,115637100,231917,3881452,SH,,SOLE,,3721100,0,160352
Brown-Forman Corp Cl B,COM,115637209,113204,1803190,SH,,SOLE,,1674498,0,128692
Chevron Corp,COM,166764100,1073,9048,SH,,SOLE,,8648,0,400
CIE Financiere Richemont-Unsp,COM,204319107,1228,167175,SH,,SOLE,,167175,0,0
Coca-Cola,COM,191216100,5747,105567,SH,,SOLE,,90167,0,15400
Comcast Corp New Cl A,COM,20030N101,266220,5905493,SH,,SOLE,,5589522,0,315971
Corteva Inc,COM,22052L104,362,12930,SH,,SOLE,,12930,0,0
Costco Whsl Corp,COM,22160K105,1490,5170,SH,,SOLE,,5015,0,155
Coty Inc-CL A,COM,222070203,152,14500,SH,,SOLE,,13781,0,719
Crane,COM,224399105,7954,98643,SH,,SOLE,,90543,0,8100
Danone ADR,COM,23636T100,8769,497613,SH,,SOLE,,475873,0,21740
Diageo PLC Sponsored ADR,COM,25243Q205,38586,235970,SH,,SOLE,,217720,0,18250
Disney Walt Productions,COM,254687106,563,4323,SH,,SOLE,,4305,0,18
Dover Corp,COM,260003108,4208,42265,SH,,SOLE,,37615,0,4650
Dow Inc,COM,260557103,715,15004,SH,,SOLE,,15004,0,0
Dupont De Nemours Inc,COM,26614N102,1080,15147,SH,,SOLE,,15147,0,0
Exxon Mobil Corp,COM,30231G102,10519,148974,SH,,SOLE,,142934,0,6040
Fomento Economico Mex Sp ADR,COM,344419106,11961,130605,SH,,SOLE,,113640,0,16965
Fulton Finl Corp,COM,360271100,1902,117524,SH,,SOLE,,38479,0,79045
Heineken Holding NV ADR,COM,423008101,320,6422,SH,,SOLE,,6422,0,0
Heineken NV Spons ADR,COM,423012301,1527,28257,SH,,SOLE,,28257,0,0
Herman Miller Inc,COM,600544100,7779,168781,SH,,SOLE,,156381,0,12400
Hormel Foods Corp,COM,440452100,6632,151668,SH,,SOLE,,136868,0,14800
J.P. Morgan Chase,COM,46625H100,1214,10318,SH,,SOLE,,10318,0,0
Lamar Advertising Co-A,COM,512816109,666,8125,SH,,SOLE,,8125,0,0
M & T Bk Corp,COM,55261F104,685,4337,SH,,SOLE,,4337,0,0
Markel Corp,COM,570535104,8955,7577,SH,,SOLE,,6477,0,1100
Martin Marietta Materials,COM,573284106,476297,1737677,SH,,SOLE,,1634016,0,103661
Mastercard Inc Cl A,COM,57636Q104,1811969,6672200,SH,,SOLE,,6333704,0,338496
McCormick Inc,COM,579780206,4494,28750,SH,,SOLE,,25350,0,3400
McDonalds Corp,COM,580135101,638,2970,SH,,SOLE,,2970,0,0
Merck Inc,COM,58933Y105,234,2781,SH,,SOLE,,2781,0,0
Microsoft Corp,COM,594918104,528,3795,SH,,SOLE,,3310,0,485
Nestle SA-Spons ADR,COM,641069406,1413177,13036690,SH,,SOLE,,12386963,0,649727
O Reilly Automotive Inc,COM,67103H107,399,1000,SH,,SOLE,,1000,0,0
Oracle Corp,COM,68389X105,220,4000,SH,,SOLE,,4000,0,0
