Name,Ticker,Class,Shares,Change,Value,Change,% Port,% OS,Hist,Date
BERKSHIRE HATHAWAY INC,BRK.A,Common,3422,34,376386000,51816000,,,Hist,12/31/2006
"ALTRIA GROUP, INC.",MO,Common,4337247,117702,372223000,49217000,,,Hist,12/31/2006
NESTLE SA,NSRGY,Common,3549888,63398,315017000,10995000,,,Hist,12/31/2006
HEINEKEN HOLDING N V,HKHHF,Common,6181429,123882,251213000,12909000,,,Hist,12/31/2006
COMCAST CORP,CMCSK,Common,5853023,29678,245125000,30768000,,,Hist,12/31/2006
MARTIN MARIETTA MATERIALS INC,MLM,Common,2016081,24788,209491000,40988000,,,Hist,12/31/2006
COMPAGNIE FINANCIERE RICHEMONT AG /FI,CFRUF,Common,3233398,3233398,188216000,188216000,,,Hist,12/31/2006
WELLS FARGO & COMPANY/MN,WFC,Common,5149689,24630,183123000,-2302000,,,Hist,12/31/2006
AMERICAN INTERNATIONAL GROUP INC,AIG,Common,2500242,61360,179167000,17567000,,,Hist,12/31/2006
UST INC,UST,Common,2979095,88082,173383000,14869000,,,Hist,12/31/2006
E.W. SCRIPPS Co,SSP,Common,2903083,54808,144980000,8462000,,,Hist,12/31/2006
Graham Holdings Co,WPO,Cl B,181421,6485,135267000,6339000,,,Hist,12/31/2006
TELEGRAAF MEDIA GROEP NV,TGRAF,Common,5093059,-23977,133387000,11602000,,,Hist,12/31/2006
DIAGEO PLC,DGEAF,Common,6786965,113624,133296000,15378000,,,Hist,12/31/2006
CITIGROUP INC,C,Common,2329431,87067,129749000,18371000,,,Hist,12/31/2006
MCCLATCHY CO,MNI,CL A,2989804,246371,129459000,13714000,,,Hist,12/31/2006
HASBRO INC,HAS,Common,4016161,-294117,109440000,11381000,,,Hist,12/31/2006
BROWN FORMAN CORP,BF.A,CL A,1595805,44316,107605000,-12434000,,,Hist,12/31/2006
CADBURY PUBLIC LTD CO,CSGWF,Common,9886577,633130,105885000,7336000,,,Hist,12/31/2006
PERNOD RICARD S A /FI,PDRDF,Common,523115,102848,100085000,12539000,,,Hist,12/31/2006
UNILEVER N V,UN,N Y SHS NEW,3487065,178765,95023000,13837000,,,Hist,12/31/2006
H&R BLOCK INC,HRB,Common,3986033,81693,91838000,6958000,,,Hist,12/31/2006
BERKSHIRE HATHAWAY INC,BRK.B,CL B,22200,650,81385000,12985000,,,Hist,12/31/2006
SCHWEITZER MAUDUIT INTERNATIONAL INC,SWM,Common,1792554,67265,46696000,13950000,,,Hist,12/31/2006
"Mondelez International, Inc.",KFT,Common,1183643,-117366,42256000,-4138000,,,Hist,12/31/2006
INTERNATIONAL SPEEDWAY CORP,ISCA,Common,726214,14350,37066000,1587000,,,Hist,12/31/2006
