NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE,SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE
Eaton Vance Sr Income TR SF,SH BEN INT,27826S103,1782,296926,SH,,SOLE,,296926,0,0
3M Company,COM,88579Y101,217,1140,SH,,SOLE,,1140,0,0
Abbott Labs,COM,002824100,1010,13960,SH,,SOLE,,11960,0,2000
AbbVie Inc,COM,00287Y109,1288,13966,SH,,SOLE,,11966,0,2000
Alleghany Corp,COM,017175100,202,324,SH,,SOLE,,117,0,207
Alphabet Inc Cl A,COM,02079K305,1895,1813,SH,,SOLE,,1729,0,84
Alphabet Inc Cl C,COM,02079K107,95866,92570,SH,,SOLE,,88463,0,4107
Altria Group Inc,COM,02209S103,263346,5331976,SH,,SOLE,,5143896,0,188080
American Express,COM,025816109,15609,163749,SH,,SOLE,,143880,0,19869
American Intl Group Inc,COM,026874784,226,5735,SH,,SOLE,,5735,0,0
Apergy Corp,COM,03755L104,318,11737,SH,,SOLE,,10237,0,1500
Apple Computer Inc,COM,037833100,330,2095,SH,,SOLE,,1850,0,245
Bank Amer Corp,COM,060505104,1207,48975,SH,,SOLE,,48975,0,0
BB&T Corp,COM,054937107,438,10116,SH,,SOLE,,10116,0,0
Berkshire Hathaway Inc Cl A,COM,084670108,1351602,4417,SH,,SOLE,,4155,0,262
Berkshire Hathaway Inc Cl B,COM,084670702,507440,2485257,SH,,SOLE,,2355461,0,129796
Brown-Forman Corp Cl A,COM,115637100,199967,4216925,SH,,SOLE,,4044431,0,172494
Brown-Forman Corp Cl B,COM,115637209,115117,2419447,SH,,SOLE,,2273666,0,145781
Chevron Corp,COM,166764100,1160,10663,SH,,SOLE,,10263,0,400
CIE Financiere Richemont-Unsp,COM,204319107,626,97895,SH,,SOLE,,97895,0,0
Coca-Cola,COM,191216100,5536,116923,SH,,SOLE,,100423,0,16500
Comcast Corp New Cl A,COM,20030N101,230853,6779811,SH,,SOLE,,6438495,0,341316
Costco Whsl Corp,COM,22160K105,1065,5227,SH,,SOLE,,5072,0,155
Coty Inc-CL A,COM,222070203,225,34358,SH,,SOLE,,32020,0,2338
Crane,COM,224399105,7723,106993,SH,,SOLE,,98893,0,8100
Danone ADR,COM,23636T100,10286,731449,SH,,SOLE,,708534,0,22915
Diageo PLC Sponsored ADR,COM,25243Q205,51623,364056,SH,,SOLE,,336626,0,27430
Disney Walt Productions,COM,254687106,490,4468,SH,,SOLE,,4450,0,18
Dover Corp,COM,260003108,3171,44691,SH,,SOLE,,40016,0,4675
DowDupont Inc,COM,26078J100,2552,47724,SH,,SOLE,,47724,0,0
Exxon Mobil Corp,COM,30231G102,10339,151616,SH,,SOLE,,144524,0,7092
Fomento Economico Mex Sp ADR,COM,344419106,13165,152995,SH,,SOLE,,135850,0,17145
Fulton Finl Corp,COM,360271100,1860,120154,SH,,SOLE,,38479,0,81675
Heineken NV Spons ADR,COM,423012301,1170,26512,SH,,SOLE,,26512,0,0
Herman Miller Inc,COM,600544100,5542,183216,SH,,SOLE,,170016,0,13200
Hormel Foods Corp,COM,440452100,6631,155373,SH,,SOLE,,139718,0,15655
J.P. Morgan Chase,COM,46625H100,1171,12000,SH,,SOLE,,12000,0,0
Kraft Heinz Co,COM,500754106,1030,23940,SH,,SOLE,,23940,0,0
Lamar Advertising Co-A,COM,512816109,606,8756,SH,,SOLE,,8756,0,0
M & T Bk Corp,COM,55261F104,648,4529,SH,,SOLE,,4529,0,0
Markel Corp,COM,570535104,8221,7920,SH,,SOLE,,6820,0,1100
Martin Marietta Materials,COM,573284106,334276,1944937,SH,,SOLE,,1836232,0,108705
Mastercard Inc Cl A,COM,57636Q104,1523877,8077802,SH,,SOLE,,7687548,0,390254
McCormick Inc,COM,579780206,4296,30855,SH,,SOLE,,27455,0,3400
McDonalds Corp,COM,580135101,526,2965,SH,,SOLE,,2965,0,0
Merck Inc,COM,58933Y105,213,2786,SH,,SOLE,,2786,0,0
Microsoft Corp,COM,594918104,385,3795,SH,,SOLE,,3310,0,485
Nestle SA-Spons ADR,COM,641069406,1206107,14897566,SH,,SOLE,,14182496,0,715069
O Reilly Automotive Inc,COM,67103H107,344,1000,SH,,SOLE,,1000,0,0
Outfront Media Inc,COM,69007J106,7435,410326,SH,,SOLE,,394016,0,16310
Pepsico Inc,COM,713448108,3085,27921,SH,,SOLE,,27280,0,641
Pernod-Ricard SA-Unspon ADR,COM,714264207,1586,48424,SH,,SOLE,,48424,0,0
Philip Morris International In,COM,718172109,669209,10024100,SH,,SOLE,,9575425,0,448675
Pioneer Nat Res,COM,723787107,342,2600,SH,,SOLE,,2600,0,0
PNC Bank Corp,COM,693475105,2124,18168,SH,,SOLE,,10168,0,8000
Procter & Gamble,COM,742718109,4183,45511,SH,,SOLE,,42456,0,3055
Royal Dutch Shell PLC ADR A,COM,780259206,2269,38945,SH,,SOLE,,37725,0,1220
Unilever NV ADR,COM,904784709,770566,14322780,SH,,SOLE,,13626794,0,695986
Union Pac Corp,COM,907818108,264,1910,SH,,SOLE,,1910,0,0
Visa Inc Cl A,COM,92826C839,77114,584461,SH,,SOLE,,533417,0,51044
Vulcan Materials,COM,929160109,5315,53800,SH,,SOLE,,50875,0,2925
Wal Mart Stores Inc,COM,931142103,471,5055,SH,,SOLE,,4255,0,800
Wells Fargo,COM,949746101,614774,13341454,SH,,SOLE,,12699876,0,641578
Hostess Brands Inc Wts Exp 11/,WTS,44109J114,197,212000,SH,,SOLE,,212000,0,0
Anheuser-Busch InBev SA,COM,B639CJ108,514468,7799725,SH,,SOLE,,7432605,0,367120
Anheuser-Busch InBev SA Restri,COM,b639cj116,3428,51983,SH,,SOLE,,51983,0,0
BIC,COM,F10080103,2248,22055,SH,,SOLE,,21620,0,435
Bollore,COM,F10659260,120,30000,SH,,SOLE,,30000,0,0
Cir SPA,COM,T28980125,133,125000,SH,,SOLE,,125000,0,0
Compagnie Financiere Richemont,COM,H25662182,733437,11476544,SH,,SOLE,,10941401,0,535143
Diageo PLC,COM,G42089113,269760,7578148,SH,,SOLE,,7270461,0,307687
Groupe Danone,COM,F12033134,230,3275,SH,,SOLE,,3275,0,0
Hanjaya Mandala Sampoerna,COM,Y7121Z146,177,687500,SH,,SOLE,,687500,0,0
Heineken Holding NV,COM,N39338194,869593,10314562,SH,,SOLE,,9836631,0,477931
Heineken NV,COM,N39427211,4058,45988,SH,,SOLE,,43088,0,2900
JC Decaux SA ACT,COM,F5333N100,202788,7234684,SH,,SOLE,,6868517,0,366167
Lindt & Spruengli AG - Reg,COM,H49983176,1933,26,SH,,SOLE,,26,0,0
Loreal SA,COM,F58149133,1076,4680,SH,,SOLE,,4500,0,180
LT Group Inc,COM,Y5342M100,395,1250000,SH,,SOLE,,1250000,0,0
Nestle SA-REG,COM,H57312649,3319,41000,SH,,SOLE,,41000,0,0
Pargesa Holding AG - B,COM,H60477207,846,11776,SH,,SOLE,,11526,0,250
Pernod Ricard,COM,F72027109,923834,5639552,SH,,SOLE,,5402319,0,237233
PZ Cussons PLC,COM,G6850S109,41,15000,SH,,SOLE,,15000,0,0
Reckitt Benckiser Group PLC,COM,G74079107,1817,23732,SH,,SOLE,,16332,0,7400
Shiseido Co Ltd,COM,J74358144,220,3500,SH,,SOLE,,3500,0,0
Swedish Match AB,COM,W92277115,9665,245445,SH,,SOLE,,244170,0,1275
The Swatch Group AG-BR,COM,H83949141,347226,1193914,SH,,SOLE,,1143356,0,50558
Unilever NV,COM,N8981F271,2114,39000,SH,,SOLE,,39000,0,0
