NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE,SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE
Eaton Vance Sr Income TR SF,SH BEN INT,27826s103,1880,281387,SH,,SOLE,,281387,0,0
3M Company,COM,88579y101,272,1525,SH,,SOLE,,1525,0,0
Abbott Labs,COM,002824100,630,16400,SH,,SOLE,,14400,0,2000
AbbVie Inc,COM,00287Y109,1071,17106,SH,,SOLE,,14200,0,2906
Alleghany Corp,COM,017175100,238,391,SH,,SOLE,,184,0,207
Alphabet Inc Cl A,COM,02079k305,1246,1572,SH,,SOLE,,1522,0,50
Alphabet Inc Cl C,COM,02079k107,1890,2449,SH,,SOLE,,2399,0,50
Altria Group Inc,COM,02209s103,371703,5496944,SH,,SOLE,,5285349,0,211595
American Express,COM,025816109,11752,158633,SH,,SOLE,,126924,0,31709
American Intl Group Inc,COM,026874784,392,6000,SH,,SOLE,,6000,0,0
Anheuser-Busch InBev ADR,COM,03524a108,18061,171291,SH,,SOLE,,154276,0,17015
Bank Amer Corp,COM,060505104,1107,50100,SH,,SOLE,,50100,0,0
BB&T Corp,COM,054937107,1101,23413,SH,,SOLE,,23413,0,0
Berkshire Hathaway Inc Cl A,COM,084670108,1199122,4912,SH,,SOLE,,4616,0,296
Berkshire Hathaway Inc Cl B,COM,084670702,417560,2562032,SH,,SOLE,,2414613,0,147419
British Amern Tob PLC ADR,COM,110448107,625,5546,SH,,SOLE,,5546,0,0
Brown-Forman Corp Cl A,COM,115637100,214604,4640083,SH,,SOLE,,4442583,0,197500
Brown-Forman Corp Cl B,COM,115637209,56752,1263411,SH,,SOLE,,1155323,0,108088
Centerstate BKS FLA Inc,COM,15201p109,252,10004,SH,,SOLE,,10004,0,0
Chevron Corp,COM,166764100,3436,29197,SH,,SOLE,,28497,0,700
CIE Financiere Richemont-Unsp,COM,204319107,1441,217125,SH,,SOLE,,217125,0,0
Coca-Cola,COM,191216100,7576,182737,SH,,SOLE,,163987,0,18750
Comcast Corp New Cl A,COM,20030n101,250024,3620913,SH,,SOLE,,3414947,0,205966
Conocophillips,COM,20825c104,245,4888,SH,,SOLE,,4288,0,600
Costco Whsl Corp,COM,22160k105,1064,6648,SH,,SOLE,,6648,0,0
Coty Inc-CL A,COM,222070203,825,45076,SH,,SOLE,,41624,0,3452
Crane,COM,224399105,9770,135473,SH,,SOLE,,123023,0,12450
Danone ADR,COM,23636T100,8675,683075,SH,,SOLE,,601335,0,81740
