Name,Ticker,Class,Shares,Change,Value,Change,% Port,% OS,Hist,Date
NESTLE SA,NSRGY,Common,11883190,226854,773735000,38238000,10.63,,Hist,12/31/2012
Philip Morris International Inc.,PM,Common,7998808,249238,669020000,-27976000,9.20,,Hist,12/31/2012
BERKSHIRE HATHAWAY INC,BRK.A,Common,4614,108,618553000,20607000,8.50,,Hist,12/31/2012
COMPAGNIE FINANCIERE RICHEMONT AG /FI,CFRHF,COM,6983477,-43763,546014000,124290000,7.50,,Hist,12/31/2012
HEINEKEN HOLDING N V,HKHHF,Common,9227183,59206,504058000,58279000,6.93,,Hist,12/31/2012
Mastercard Inc,MA,CL A,890158,15721,437317000,42526000,6.01,,Hist,12/31/2012
SABMILLER PLC/FI,SBMRF,Common,9330377,265826,428451000,30312000,5.89,,Hist,12/31/2012
PERNOD RICARD S A /FI,PDRDF,Common,3711633,70829,427878000,18926000,5.88,,Hist,12/31/2012
WELLS FARGO & COMPANY/MN,WFC,Common,11656925,948775,398434000,28682000,5.48,,Hist,12/31/2012
Anheuser-Busch InBev SA/NV,BUD,ADR,3980288,148466,347917000,18725000,4.78,,Hist,12/31/2012
UNILEVER N V,UN,N Y SHS NEW,8254852,224330,316161000,31238000,4.35,,Hist,12/31/2012
BRITISH AMERICAN TOBACCO PLC /ADR/,BTAFF,Common,4406230,176414,223535000,6365000,3.07,,Hist,12/31/2012
"ALTRIA GROUP, INC.",MO,Common,6984479,99942,219592000,-10283000,3.02,,Hist,12/31/2012
DIAGEO PLC,DGEAF,Common,6913206,94349,200811000,9273000,2.76,,Hist,12/31/2012
BERKSHIRE HATHAWAY INC,BRK/B,Common,2083459,71458,186886000,9428000,2.57,,Hist,12/31/2012
BROWN FORMAN CORP,BF.A,CL A,2780191,28607,170982000,-1020000,2.35,,Hist,12/31/2012
COMCAST CORP,CMCSK,Common,4528007,-43443,162646000,3514000,2.24,,Hist,12/31/2012
MARTIN MARIETTA MATERIALS INC,MLM,Common,1664110,8189,156892000,19666000,2.16,3.62,Hist,12/31/2012
"Scripps Networks Interactive, Inc.",SNI,Common,1402297,-31231,81221000,-6554000,1.12,,Hist,12/31/2012
DIAGEO PLC,DEO,SPON ADR NEW,400978,-6736,46746000,784000,0.64,,Hist,12/31/2012
Graham Holdings Co,WPO,Cl B,116399,-3276,42510000,-936000,0.58,,Hist,12/31/2012
HASBRO INC,HAS,Common,864725,-34572,31044000,-3278000,0.43,,Hist,12/31/2012
JCDECAUX SA /FI,JCDXF,Common,1248440,12404,29602000,1520000,0.41,,Hist,12/31/2012
SWATCH GROUP,SWGAF,Common,54501,2910,27525000,6928000,0.38,,Hist,12/31/2012
VISA INC.,V,CL A,102827,5790,15587000,2557000,0.21,,Hist,12/31/2012
EXXON MOBIL CORP,XOM,Common,166271,-6269,14391000,-1388000,0.20,,Hist,12/31/2012
SWEDISH MATCH CORP,SWMAF,Common,397088,-8237,13308000,-3111000,0.18,,Hist,12/31/2012
MEXICAN ECONOMIC DEVELOPMENT INC,FMX,ADR,108970,1335,10973000,1073000,0.15,,Hist,12/31/2012
