Name,Ticker,Class,Shares,Change,Value,Change,% Port,% OS,Hist,Date
BERKSHIRE HATHAWAY INC,BRK.A,Common,2855,146,248385000000,10263900000,,,Hist,03/31/2005
"ALTRIA GROUP, INC.",MO,Common,3530211,146720,230840497000,24109197000,,,Hist,03/31/2005
NESTLE SA,NSRGY,Common,2695620,139136,184488233000,17626522000,,,Hist,03/31/2005
HEINEKEN HOLDING N V,HKHHF,Common,5229196,249167,161634448000,11536374000,,,Hist,03/31/2005
COMCAST CORP,CMCSK,Common,4459182,204859,149115046000,9403079000,,,Hist,03/31/2005
Graham Holdings Co,WPO,Cl B,150712,4667,134736528000,-8828628000,,,Hist,03/31/2005
WELLS FARGO & COMPANY/MN,WFC,Common,2235885,173952,133705923000,5556787000,,,Hist,03/31/2005
TELEGRAAF MEDIA GROEP NV,TGRAF,Common,5007013,96425,129231006000,7792165000,,,Hist,03/31/2005
UST INC,UST,Common,2424212,99201,125331760000,13475481000,,,Hist,03/31/2005
MARTIN MARIETTA MATERIALS INC,MLM,Common,2128200,67032,119008944000,8406669000,,,Hist,03/31/2005
E.W. SCRIPPS Co,SSP,Common,2441020,102862,118999725000,6113457000,,,Hist,03/31/2005
H&R BLOCK INC,HRB,Common,2067357,106022,104566917000,8461502000,,,Hist,03/31/2005
COMPAGNIE FINANCIERE RICHEMONT AG /FI,CFRHF,Common,3066165,32400,96308243000,-4473430000,,,Hist,03/31/2005
AMERICAN INTERNATIONAL GROUP INC,AIG,Common,1706329,149269,94547690000,-7704440000,,,Hist,03/31/2005
HASBRO INC,HAS,Common,4479211,142105,91599865000,7546751000,,,Hist,03/31/2005
DIAGEO PLC,DGEAF,Common,5688490,359000,80150824000,4258886000,,,Hist,03/31/2005
CITIGROUP INC,C,Common,1762972,188994,79227962000,3393702000,,,Hist,03/31/2005
BROWN FORMAN CORP,BF.A,CL A,1402868,55792,77227883000,8850305000,,,Hist,03/31/2005
MCCLATCHY CO,MNI,CL A,1024542,60115,75980035000,6724532000,,,Hist,03/31/2005
"Mondelez International, Inc.",KFT,Common,1948148,56575,64386291000,-2972624000,,,Hist,03/31/2005
SCHWEITZER MAUDUIT INTERNATIONAL INC,SWM,Common,1879426,-14596,63054742000,-1247305000,,,Hist,03/31/2005
CADBURY PUBLIC LTD CO,CSGWF,Common,5482079,618006,54985252000,9749373000,,,Hist,03/31/2005
UNILEVER N V,UN,N Y SHS NEW,750295,59769,51335184000,5270195000,,,Hist,03/31/2005
BERKSHIRE HATHAWAY INC,BRK.B,CL B,17471,1299,49897176000,2416184000,,,Hist,03/31/2005
PERNOD RICARD S A /FI,PDRDF,Common,294200,32073,41096798000,1072626000,,,Hist,03/31/2005
MARKEL CORP,MKL,Common,75200,-1015,25959792000,-1782468000,,,Hist,03/31/2005
PROGRESSIVE CORP/OH/,PGR,Common,274908,-1213,25225558000,1799452000,,,Hist,03/31/2005
INTERNATIONAL SPEEDWAY CORP,ISCA,Common,451589,92012,24498703000,5513037000,,,Hist,03/31/2005
DIAGEO PLC,DEO,SPON ADR NEW,388110,103479,22083459000,5609017000,,,Hist,03/31/2005
EXXON MOBIL CORP,XOM,Common,370244,8672,22066542000,3532361000,,,Hist,03/31/2005
MILLER HERMAN INC,MLHR,Common,705592,-15056,21252431000,1340927000,,,Hist,03/31/2005
ABBOTT LABORATORIES,ABT,Common,424097,-1834,19771402000,-98279000,,,Hist,03/31/2005
KONINKLIJKE WEGENER NV,KWEGF,Common,1498700,44470,19722892000,1108748000,,,Hist,03/31/2005
INTERNATIONAL SPEEDWAY CORP,ISCB,Common,359387,18200,19406898000,1153393000,,,Hist,03/31/2005
BROWN FORMAN CORP,BF.B,CL B,325540,-2075,17823315000,1875017000,,,Hist,03/31/2005
HORMEL FOODS CORP /DE/,HRL,Common,545150,-6700,16959617000,-340881000,,,Hist,03/31/2005
FEDERAL HOME LOAN MORTGAGE CORP,FRE,Common,233937,-16880,14784818000,-3700395000,,,Hist,03/31/2005
TEGNA INC,GCI,Common,182378,3303,14422452000,-207976000,,,Hist,03/31/2005
