NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE,SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE
Eaton Vance Sr Income TR SF,SH BEN INT,27826s103,1656,282100,SH,,SOLE,,282100,0,0
Pimco High Yield Fun-Instl,SH BEN INT,693390841,96,11116,SH,,SOLE,,0,0,11116
3M Company,COM,88579y101,227,1600,SH,,SOLE,,1600,0,0
Abbott Labs,COM,002824100,3435,85400,SH,,SOLE,,83400,0,2000
AbbVie Inc,COM,00287Y109,4718,86718,SH,,SOLE,,83400,0,3318
Alphabet Inc Cl A,COM,02079k305,809,1268,SH,,SOLE,,1218,0,50
Alphabet Inc Cl C,COM,02079k107,672,1105,SH,,SOLE,,1055,0,50
Altria Group Inc,COM,02209s103,349374,6422309,SH,,SOLE,,6155083,0,267226
American Express,COM,025816109,10766,145228,SH,,SOLE,,117374,0,27854
American Intl Group Inc,COM,026874784,341,6000,SH,,SOLE,,6000,0,0
Anheuser-Busch InBev ADR,COM,03524a108,550024,5173285,SH,,SOLE,,4897549,0,275736
Bank Amer Corp,COM,060505104,796,51100,SH,,SOLE,,50100,0,1000
BB&T Corp,COM,054937107,1647,46260,SH,,SOLE,,46260,0,0
Berkshire Hathaway Inc Cl A,COM,084670108,983033,5035,SH,,SOLE,,4724,0,311
Berkshire Hathaway Inc Cl B,COM,084670702,327570,2512042,SH,,SOLE,,2359905,0,152137
BP PLC ADR,COM,055622104,217,7096,SH,,SOLE,,7096,0,0
British Amern Tob PLC ADR,COM,110448107,677,6146,SH,,SOLE,,6146,0,0
Brown-Forman Corp Cl A,COM,115637100,277848,2596956,SH,,SOLE,,2480966,0,115990
Brown-Forman Corp Cl B,COM,115637209,51448,530935,SH,,SOLE,,484802,0,46133
Carlisle Inc,COM,142339100,262,3000,SH,,SOLE,,3000,0,0
Centerstate BKS FLA Inc,COM,15201p109,162,11004,SH,,SOLE,,11004,0,0
Chevron Corp,COM,166764100,3274,41510,SH,,SOLE,,40660,0,850
CIE Financiere Richemont-Unsp,COM,204319107,1343,173300,SH,,SOLE,,173300,0,0
Coca-Cola,COM,191216100,8836,220237,SH,,SOLE,,186862,0,33375
Comcast Corp New Cl A,COM,20030n101,1843,32405,SH,,SOLE,,32030,0,375
Comcast Corp Special Cl A,COM,20030n200,232106,4054956,SH,,SOLE,,3819469,0,235487
Conocophillips,COM,20825c104,350,7288,SH,,SOLE,,6688,0,600
Costco Whsl Corp,COM,22160k105,910,6295,SH,,SOLE,,6295,0,0
Crane,COM,224399105,7672,164591,SH,,SOLE,,145841,0,18750
