NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE,SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE
Eaton Vance Sr Income TR SF,SH BEN INT,27826s103,1902,287323,SH,,SOLE,,287323,0,0
3M Company,COM,88579y101,320,1525,SH,,SOLE,,1525,0,0
Abbott Labs,COM,002824100,880,16500,SH,,SOLE,,14500,0,2000
AbbVie Inc,COM,00287Y109,1582,17800,SH,,SOLE,,15800,0,2000
Alphabet Inc Cl A,COM,02079k305,2042,2097,SH,,SOLE,,2047,0,50
Alphabet Inc Cl C,COM,02079k107,2556,2665,SH,,SOLE,,2615,0,50
Altria Group Inc,COM,02209s103,360470,5683852,SH,,SOLE,,5472854,0,210998
American Express,COM,025816109,14958,165351,SH,,SOLE,,134817,0,30534
American Intl Group Inc,COM,026874784,352,5735,SH,,SOLE,,5735,0,0
Anheuser-Busch InBev ADR,COM,03524a108,318,2665,SH,,SOLE,,2665,0,0
Bank Amer Corp,COM,060505104,1190,46975,SH,,SOLE,,46975,0,0
BB&T Corp,COM,054937107,1266,26967,SH,,SOLE,,26967,0,0
Berkshire Hathaway Inc Cl A,COM,084670108,1322873,4815,SH,,SOLE,,4504,0,311
Berkshire Hathaway Inc Cl B,COM,084670702,461662,2518342,SH,,SOLE,,2367069,0,151273
British Amern Tob PLC ADR,COM,110448107,785,12572,SH,,SOLE,,12572,0,0
Brown-Forman Corp Cl A,COM,115637100,247328,4441151,SH,,SOLE,,4247167,0,193984
Brown-Forman Corp Cl B,COM,115637209,83015,1528826,SH,,SOLE,,1390332,0,138494
Centerstate BKS FLA Inc,COM,15201p109,228,8504,SH,,SOLE,,8504,0,0
Chemours Co,COM,163851108,343,6779,SH,,SOLE,,6779,0,0
Chevron Corp,COM,166764100,2850,24256,SH,,SOLE,,23556,0,700
CIE Financiere Richemont-Unsp,COM,204319107,2233,244140,SH,,SOLE,,244140,0,0
Coca-Cola,COM,191216100,7417,164777,SH,,SOLE,,146027,0,18750
Comcast Corp New Cl A,COM,20030n101,275554,7160960,SH,,SOLE,,6751078,0,409882
Conocophillips,COM,20825c104,220,4388,SH,,SOLE,,3788,0,600
Costco Whsl Corp,COM,22160k105,874,5318,SH,,SOLE,,5318,0,0
Coty Inc-CL A,COM,222070203,702,42474,SH,,SOLE,,39022,0,3452
Crane,COM,224399105,10649,133123,SH,,SOLE,,122273,0,10850
Danone ADR,COM,23636T100,12477,795070,SH,,SOLE,,694405,0,100665
Diageo PLC Sponsored ADR,COM,25243q205,60960,461365,SH,,SOLE,,426865,0,34500
Disney Walt Productions,COM,254687106,464,4703,SH,,SOLE,,3735,0,968
Dover Corp,COM,260003108,4905,53666,SH,,SOLE,,43966,0,9700
DowDupont Inc,COM,26078j100,3333,48139,SH,,SOLE,,48139,0,0
Exxon Mobil Corp,COM,30231g102,13162,160552,SH,,SOLE,,149377,0,11175
Fomento Economico Mex Sp ADR,COM,344419106,12780,133775,SH,,SOLE,,109945,0,23830
Fulton Finl Corp,COM,360271100,2195,117072,SH,,SOLE,,41529,0,75543
Heineken NV Spons ADR,COM,423012301,2075,41957,SH,,SOLE,,41957,0,0
Herman Miller Inc,COM,600544100,7374,205416,SH,,SOLE,,186466,0,18950
Hormel Foods Corp,COM,440452100,5119,159273,SH,,SOLE,,139733,0,19540
I B M,COM,459200101,1187,8184,SH,,SOLE,,5889,0,2295
Kraft Heinz Co,COM,500754106,1748,22535,SH,,SOLE,,22535,0,0
Lamar Advertising Co-A,COM,512816109,856,12490,SH,,SOLE,,12490,0,0
Markel Corp,COM,570535104,11650,10908,SH,,SOLE,,9758,0,1150
Martin Marietta Materials,COM,573284106,419503,2034151,SH,,SOLE,,1907504,0,126647
Mastercard Inc Cl A,COM,57636q104,1341652,9501788,SH,,SOLE,,8978031,0,523757
McCormick Inc,COM,579780206,3454,33655,SH,,SOLE,,29355,0,4300
McDonalds Corp,COM,580135101,530,3380,SH,,SOLE,,3380,0,0
Microsoft Corp,COM,594918104,3680,49400,SH,,SOLE,,48200,0,1200
Monsanto,COM,61166w101,291,2425,SH,,SOLE,,2425,0,0
Nestle SA-Spons ADR,COM,641069406,1351782,16090733,SH,,SOLE,,15206932,0,883801
O Reilly Automotive Inc,COM,67103h107,237,1100,SH,,SOLE,,1100,0,0
Oracle Corp,COM,68389x105,208,4300,SH,,SOLE,,4300,0,0
Outfront Media Inc,COM,69007j106,8204,325815,SH,,SOLE,,275480,0,50335
Pepsico Inc,COM,713448108,3922,35200,SH,,SOLE,,31900,0,3300
Pernod-Ricard SA-Unspon ADR,COM,714264207,1817,65650,SH,,SOLE,,65650,0,0
Philip Morris International In,COM,718172109,1131230,10190340,SH,,SOLE,,9729194,0,461146
Phillips 66,COM,718546104,208,2270,SH,,SOLE,,1970,0,300
Pioneer Nat Res,COM,723787107,398,2700,SH,,SOLE,,2700,0,0
PNC Bank Corp,COM,693475105,3085,22890,SH,,SOLE,,13390,0,9500
Procter & Gamble,COM,742718109,5665,62267,SH,,SOLE,,57252,0,5015
Royal Dutch Shell PLC ADR A,COM,780259206,3261,53825,SH,,SOLE,,45320,0,8505
Schlumberger LTD,COM,806857108,306,4390,SH,,SOLE,,1390,0,3000
Scripps Networks Interactive C,COM,811065101,12703,147901,SH,,SOLE,,137601,0,10300
The Swatch Group AG ADR,COM,870123106,908,43635,SH,,SOLE,,43635,0,0
Unilever NV ADR,COM,904784709,887152,15026289,SH,,SOLE,,14190665,0,835624
Union Pac Corp,COM,907818108,279,2410,SH,,SOLE,,2410,0,0
Unum Group,COM,91529y106,230,4500,SH,,SOLE,,4500,0,0
Visa Inc Cl A,COM,92826c839,59676,567051,SH,,SOLE,,490547,0,76504
Vulcan Materials,COM,929160109,1177,9845,SH,,SOLE,,4170,0,5675
Wal Mart Stores Inc,COM,931142103,548,7009,SH,,SOLE,,6059,0,950
Wells Fargo,COM,949746101,700638,12704228,SH,,SOLE,,11998979,0,705249
JP Morgan Chase & Co WTS Exp 1,WTS,46634e114,3665,67800,SH,,SOLE,,67800,0,0
