NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE,SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE
M&T Bank Corp Wts Exp 12/23/1,WTS,55261f112,2988,34930,SH,,SOLE,,34930,0,0
Wells Fargo WTS Exp 10/28/18,WTS,949746119,2908,134895,SH,,SOLE,,134895,0,0
A P Moller-Maersk A/S,COM,k0514g135,781,425,SH,,SOLE,,400,0,25
Anheuser-Busch InBev SA,COM,b639cj108,845921,7063655,SH,,SOLE,,6682014,0,381641
Anheuser-Busch InBev SA Restri,COM,b639cj116,6225,51983,SH,,SOLE,,51983,0,0
BIC,COM,f10080103,2599,21680,SH,,SOLE,,21245,0,435
Bollore,COM,f10659260,150,30000,SH,,SOLE,,30000,0,0
British American Tobacco PLC,COM,g1510j102,331939,5295611,SH,,SOLE,,5104763,0,190848
Cir SPA,COM,t28980125,193,125000,SH,,SOLE,,125000,0,0
Compagnie Financiere Richemont,COM,h25662182,1085827,11871712,SH,,SOLE,,11257900,0,613812
Diageo PLC,COM,g42089113,300359,9126500,SH,,SOLE,,8688289,0,438211
Groupe Danone,COM,f12033134,257,3275,SH,,SOLE,,3275,0,0
Hanjaya Mandala Sampoerna,COM,y7121z146,197,687500,SH,,SOLE,,687500,0,0
Heineken Holding NV,COM,n39338194,1032046,10980972,SH,,SOLE,,10406490,0,574482
Heineken NV,COM,n39427211,4914,49688,SH,,SOLE,,45663,0,4025
Indivior PLC,COM,g4766e108,109,23837,SH,,SOLE,,16362,0,7475
JC Decaux SA ACT,COM,f5333n100,291280,7777411,SH,,SOLE,,7333050,0,444361
Lindt & Spruengli AG - Reg,COM,h49983176,1874,27,SH,,SOLE,,27,0,0
Loreal SA,COM,f58149133,1095,5150,SH,,SOLE,,4970,0,180
LT Group Inc,COM,y5342m100,121,350000,SH,,SOLE,,350000,0,0
Nestle SA-REG,COM,h57312649,3436,41000,SH,,SOLE,,41000,0,0
Nielsen Holdings PLC ORD,COM,g6518l108,802,19341,SH,,SOLE,,17841,0,1500
Pargesa Holding AG - B,COM,h60477207,1084,13026,SH,,SOLE,,12776,0,250
Pernod Ricard,COM,f72027109,867733,6270809,SH,,SOLE,,5965424,0,305385
PZ Cussons PLC,COM,g6850s109,64,15000,SH,,SOLE,,15000,0,0
Reckitt Benckiser Group PLC,COM,g74079107,2396,26217,SH,,SOLE,,18667,0,7550
Roche Holding AG,COM,001203204,301,1179,SH,,SOLE,,1179,0,0
Shiseido Co Ltd,COM,001228935,232,5800,SH,,SOLE,,5800,0,0
Swedish Match AB,COM,w92277115,9655,275838,SH,,SOLE,,267038,0,8800
The Swatch Group AG-BR,COM,h83949141,447088,1073987,SH,,SOLE,,1024001,0,49986
Unilever NV,COM,n8981f271,2307,39000,SH,,SOLE,,39000,0,0
