Name,Ticker,Class,Shares,Change,Value,Change,% Port,% OS,Hist,Date
Mastercard Inc,MA,CL A,8351354,-308279,1859095000,157304000,13.44,0.80,Hist,09/30/2018
BERKSHIRE HATHAWAY INC,BRK.A,Common,4555,-66,1457600000,154293000,10.54,0.28,Hist,09/30/2018
NESTLE SA,NSRGY,Common,15392326,-302053,1280642000,65426000,9.26,,Hist,09/30/2018
PERNOD RICARD S A /FI,PDRDF,Common,5849165,-43961,959965000,-2620000,6.94,,Hist,09/30/2018
HEINEKEN HOLDING N V,HKHHF,Common,10587256,24499,959174000,-53328000,6.94,,Hist,09/30/2018
COMPAGNIE FINANCIERE RICHEMONT AG /FI,CFRHF,Com,11644012,140186,953646000,-20927000,6.90,,Hist,09/30/2018
Philip Morris International Inc.,PM,Common,10301119,-96319,839953000,464000,6.07,0.66,Hist,09/30/2018
UNILEVER N V,UN,N Y SHS NEW,14723219,-227381,817875000,-15172000,5.91,,Hist,09/30/2018
Anheuser-Busch InBev SA/NV,BUDFF,COM,8061282,9369,704298000,-108889000,5.09,,Hist,09/30/2018
WELLS FARGO & COMPANY/MN,WFC,Common,13376592,1102815,703074000,22616000,5.08,0.28,Hist,09/30/2018
BERKSHIRE HATHAWAY INC,BRK/B,Common,2551745,24097,546354000,74569000,3.95,155.07,Hist,09/30/2018
SWATCH GROUP,SWGAF,Common,1196589,45970,478121000,-67784000,3.46,,Hist,09/30/2018
MARTIN MARIETTA MATERIALS INC,MLM,Common,1987280,-3908,361586000,-83106000,2.61,3.15,Hist,09/30/2018
"ALTRIA GROUP, INC.",MO,Common,5448807,-92271,328618000,13940000,2.38,0.29,Hist,09/30/2018
DIAGEO PLC,DGEAF,Common,7903324,-108930,280229000,-7709000,2.03,0.29,Hist,09/30/2018
JCDECAUX SA /FI,JCDXF,Common,7626378,-84964,279028000,20991000,2.02,,Hist,09/30/2018
COMCAST CORP,CMCSA,Common,7002063,-77574,247943000,15660000,1.79,0.15,Hist,09/30/2018
BROWN FORMAN CORP,BF.A,CL A,4295327,-12082,218203000,7743000,1.58,0.89,Hist,09/30/2018
BROWN FORMAN CORP,BF.B,CL B,2512409,-132603,127002000,-2630000,0.92,0.52,Hist,09/30/2018
VISA INC.,V,CL A,616572,-7440,92541000,9891000,0.67,0.03,Hist,09/30/2018
Alphabet Inc.,GOOG,COM,57351,627,68447000,5163000,0.49,0.01,Hist,09/30/2018
DIAGEO PLC,DEO,SPON ADR NEW,390477,-12178,55319000,-2667000,0.40,0.01,Hist,09/30/2018
AMERICAN EXPRESS CO,AXP,Common,177446,-2955,18896000,1217000,0.14,0.02,Hist,09/30/2018
MEXICAN ECONOMIC DEVELOPMENT INC,FMX,ADR,162402,-1575,16073000,1677000,0.12,,Hist,09/30/2018
SWEDISH MATCH CORP,SWMAF,Common,258395,-1288,13220000,340000,0.10,,Hist,09/30/2018
EXXON MOBIL CORP,XOM,Common,154948,582,13174000,403000,0.10,0.00,Hist,09/30/2018
GROUPE DANONE,DANOY,ADR,828970,-19010,12844000,395000,0.09,,Hist,09/30/2018
CRANE CO /DE/,CR,Common,116518,-3325,11460000,1857000,0.08,0.20,Hist,09/30/2018
MARKEL CORP,MKL,Common,8000,-90,9508000,736000,0.07,0.06,Hist,09/30/2018
OUTFRONT Media Inc.,OUT,COM,457996,2610,9137000,280000,0.07,0.33,Hist,09/30/2018
MILLER HERMAN INC,MLHR,Common,190266,-5625,7306000,665000,0.05,0.32,Hist,09/30/2018
HORMEL FOODS CORP /DE/,HRL,Common,160023,1422,6305000,403000,0.05,0.03,Hist,09/30/2018
Vulcan Materials CO,VMC,Common,55415,560,6162000,-918000,0.04,0.04,Hist,09/30/2018
COCA COLA CO,KO,Common,119308,-2675,5511000,161000,0.04,0.00,Hist,09/30/2018
Anheuser-Busch InBev SA Restri,,COM,51983,0,4541000,-708000,0.03,,Hist,09/30/2018
DOVER Corp,DOV,Common,50291,-1000,4452000,697000,0.03,0.03,Hist,09/30/2018
MCCORMICK & CO INC,MKC,Common,32805,-650,4322000,438000,0.03,0.02,Hist,09/30/2018
HEINEKEN N V/ /FI,HINKF,Common,45988,0,4314000,-305000,0.03,,Hist,09/30/2018
PROCTER & GAMBLE Co,PG,Common,47439,-1403,3948000,135000,0.03,0.00,Hist,09/30/2018
PEPSICO INC,PEP,Common,31975,-199,3575000,72000,0.03,0.00,Hist,09/30/2018
NESTLE SA /FI,NSRGF,Common,41000,0,3434000,259000,0.02,,Hist,09/30/2018
DowDuPont Inc.,DWDP,Common Stock,47631,-15,3063000,-78000,0.02,0.00,Hist,09/30/2018
Royal Dutch Shell plc,RDS.A,SPONS ADR A,40050,-5500,2729000,-424000,0.02,,Hist,09/30/2018
"PNC FINANCIAL SERVICES GROUP, INC.",PNC,Common,19568,-1392,2665000,-167000,0.02,0.00,Hist,09/30/2018
RECKITT BENCKISER GROUP PLC,RBGPF,Common,24717,-430,2261000,190000,0.02,,Hist,09/30/2018
Alphabet Inc.,GOOGL,COM,1871,0,2258000,145000,0.02,0.00,Hist,09/30/2018
UNILEVER NV-CVA,UNLNF,COM,39000,0,2173000,-3000,0.02,,Hist,09/30/2018
LINDT & SPRUENGLI AG-REG,LDSRF,Common,26,-1,2143000,93000,0.02,,Hist,09/30/2018
BIC CORP,BICEF,Common,22055,1000,2020000,68000,0.01,,Hist,09/30/2018
FULTON FINANCIAL CORP,FULT,Common,120154,-100,2001000,17000,0.01,0.07,Hist,09/30/2018
HEINEKEN NV /ADR/,HEINY,FOREIGN,41177,1325,1931000,-70000,0.01,,Hist,09/30/2018
EATON VANCE SENIOR INCOME TRUST,EVF,Common,294503,2264,1900000,36000,0.01,,Hist,09/30/2018
COMPAGNIE FINANCIERE DE PARIBAS,CFRUY,FOREIGN,231020,10850,1892000,27000,0.01,,Hist,09/30/2018
PERNOD RICARD S A /FI,PDRDY,COM,55265,2125,1814000,78000,0.01,,Hist,09/30/2018
BANK OF AMERICA CORP /DE/,BAC,Common,49975,2000,1472000,120000,0.01,0.00,Hist,09/30/2018
AbbVie Inc.,ABBV,COM,13966,0,1321000,27000,0.01,0.00,Hist,09/30/2018
CHEVRON CORP,CVX,Common,10663,-370,1304000,-91000,0.01,0.00,Hist,09/30/2018
JPMORGAN CHASE & CO,JPM,Common,11520,9520,1300000,1092000,0.01,0.00,Hist,09/30/2018
Kraft Heinz Co,KHC,COM,23535,0,1297000,-181000,0.01,0.00,Hist,09/30/2018
COSTCO WHOLESALE CORP /NEW,COST,Common,5227,-246,1228000,84000,0.01,0.00,Hist,09/30/2018
LOREAL,LRLCF,COM,4680,-130,1129000,-59000,0.01,,Hist,09/30/2018
Swatch Group AG\ADR,SWGAY,COM,54590,5600,1091000,-71000,0.01,,Hist,09/30/2018
ABBOTT LABORATORIES,ABT,Common,13960,0,1024000,173000,0.01,0.00,Hist,09/30/2018
PARGESA HOLDING SA,PRGAF,Common,11776,0,951000,-46000,0.01,,Hist,09/30/2018
LAMAR ADVERTISING CO/NEW,LAMR,Common,11445,-500,890000,74000,0.01,0.01,Hist,09/30/2018
M&T BANK CORP,MTB/WS,WARRANT,7360,0,682000,-27000,0.00,,Hist,09/30/2018
Apergy Corp,APY,COMMON STOCK,14512,-10132,632000,-397000,0.00,0.02,Hist,09/30/2018
APPLE INC,AAPL,Common,2595,900,586000,272000,0.00,0.00,Hist,09/30/2018
Walt Disney Co,DIS,Common,4468,-135,522000,40000,0.00,0.00,Hist,09/30/2018
BB&T CORP,BBT,Common,10617,39,515000,-19000,0.00,0.00,Hist,09/30/2018
MCDONALDS CORP,MCD,Common,2965,0,496000,31000,0.00,0.00,Hist,09/30/2018
WAL MART STORES INC,WMT,Common,5055,-240,475000,21000,0.00,0.00,Hist,09/30/2018
Nielsen Holdings plc,NLSN,COM,16775,-2200,464000,-123000,0.00,0.00,Hist,09/30/2018
PIONEER NATURAL RESOURCES CO,PXD,Common,2600,0,453000,-39000,0.00,0.00,Hist,09/30/2018
COTY INC.,COTY,Common,35008,-69,440000,-55000,0.00,0.00,Hist,09/30/2018
MICROSOFT CORP,MSFT,Common,3795,-55,434000,54000,0.00,0.00,Hist,09/30/2018
O REILLY AUTOMOTIVE INC,ORLY,COM,1000,-100,347000,46000,0.00,0.00,Hist,09/30/2018
UNION PACIFIC CORP,UNP,Common,1910,0,311000,40000,0.00,0.00,Hist,09/30/2018
AMERICAN INTERNATIONAL GROUP INC,AIG,COM,5735,0,305000,1000,0.00,0.00,Hist,09/30/2018
SHISEIDO CO LTD /FI,SSDOF,COM,3500,0,271000,-7000,0.00,,Hist,09/30/2018
LT Group Inc,,COM,1000000,65000,267000,-50000,0.00,,Hist,09/30/2018
Chemours Co,CC,COM,6466,37,255000,-30000,0.00,0.00,Hist,09/30/2018
GROUPE DANONE,GPDNF,COM,3275,0,254000,14000,0.00,,Hist,09/30/2018
3M CO,MMM,Common,1140,-285,240000,-40000,0.00,0.00,Hist,09/30/2018
BP PLC,BP,SPONSORED ADR,5200,2,240000,3000,0.00,,Hist,09/30/2018
INTERNATIONAL BUSINESS MACHINES CORP,IBM,Common,1571,-3932,238000,-531000,0.00,0.00,Hist,09/30/2018
US BANCORP \DE\,USB,Common,4314,0,228000,12000,0.00,0.00,Hist,09/30/2018
ALLEGHANY CORP /DE,Y,Common,324,324,211000,211000,0.00,0.00,Hist,09/30/2018
ORACLE CORP,ORCL,Common,4000,4000,206000,206000,0.00,0.00,Hist,09/30/2018
CONOCOPHILLIPS,COP,Common,2638,2638,204000,204000,0.00,0.00,Hist,09/30/2018
Hanjaya Mandala Sampoerna,PHJMF,COM,687500,0,178000,6000,0.00,,Hist,09/30/2018
CIR SPA/ADR,,COM,125000,0,143000,-10000,0.00,,Hist,09/30/2018
Bollore Vincent,BOIVF,COM,30000,0,130000,-10000,0.00,,Hist,09/30/2018
"Hostess Brands, Inc.",TWNKW,*W EXP 11/04/202,100000,42500,106000,8000,0.00,,Hist,09/30/2018
PZ Cussons plc/ADR,PZCUF,COM,15000,0,46000,1000,0.00,,Hist,09/30/2018
JOHNSON & JOHNSON,JNJ,Common,0,-1715,0,-208000,0.00,0.00,Hist,09/30/2018
BRITISH AMERICAN TOBACCO PLC /ADR/,BTAFF,Common,0,-1254227,0,-63421000,0.00,0.00,Hist,09/30/2018
JPMORGAN CHASE & CO,JPM/WS,W EXP 10/28/2018,0,-14915,0,-946000,0.00,0.00,Hist,09/30/2018
WELLS FARGO & COMPANY/MN,WFC/WS,WARRANTS,0,-81785,0,-1801000,0.00,0.00,Hist,09/30/2018
"CenterState Banks, Inc.",CSFL,COMMON,0,-7304,0,-218000,0.00,0.00,Hist,09/30/2018
SCHLUMBERGER LIMITED/NV,SLB,Common,0,-4225,0,-283000,0.00,0.00,Hist,09/30/2018
