NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE,SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE
Eaton Vance Sr Income TR SF,SH BEN INT,27826S103,1900,294503,SH,,SOLE,,294503,0,0
3M Company,COM,88579Y101,240,1140,SH,,SOLE,,1140,0,0
Abbott Labs,COM,002824100,1024,13960,SH,,SOLE,,11960,0,2000
AbbVie Inc,COM,00287Y109,1321,13966,SH,,SOLE,,11966,0,2000
Alleghany Corp,COM,017175100,211,324,SH,,SOLE,,117,0,207
Alphabet Inc Cl A,COM,02079K305,2258,1871,SH,,SOLE,,1787,0,84
Alphabet Inc Cl C,COM,02079K107,68447,57351,SH,,SOLE,,54416,0,2935
Altria Group Inc,COM,02209S103,328618,5448807,SH,,SOLE,,5250988,0,197819
American Express,COM,025816109,18896,177446,SH,,SOLE,,147442,0,30004
American Intl Group Inc,COM,026874784,305,5735,SH,,SOLE,,5735,0,0
Apergy Corp,COM,03755L104,632,14512,SH,,SOLE,,13012,0,1500
Apple Computer Inc,COM,037833100,586,2595,SH,,SOLE,,2350,0,245
Bank Amer Corp,COM,060505104,1472,49975,SH,,SOLE,,49975,0,0
BB&T Corp,COM,054937107,515,10617,SH,,SOLE,,10617,0,0
Berkshire Hathaway Inc Cl A,COM,084670108,1457600,4555,SH,,SOLE,,4255,0,300
Berkshire Hathaway Inc Cl B,COM,084670702,546354,2551745,SH,,SOLE,,2415302,0,136443
BP PLC ADR,COM,055622104,240,5200,SH,,SOLE,,5200,0,0
Brown-Forman Corp Cl A,COM,115637100,218203,4295327,SH,,SOLE,,4117527,0,177801
Brown-Forman Corp Cl B,COM,115637209,127002,2512409,SH,,SOLE,,2324057,0,188352
Chemours Co,COM,163851108,255,6466,SH,,SOLE,,6466,0,0
Chevron Corp,COM,166764100,1304,10663,SH,,SOLE,,10263,0,400
CIE Financiere Richemont-Unsp,COM,204319107,1892,231020,SH,,SOLE,,231020,0,0
Coca-Cola,COM,191216100,5511,119308,SH,,SOLE,,102808,0,16500
Comcast Corp New Cl A,COM,20030N101,247943,7002063,SH,,SOLE,,6608155,0,393907
Conocophillips,COM,20825C104,204,2638,SH,,SOLE,,2038,0,600
Costco Whsl Corp,COM,22160K105,1228,5227,SH,,SOLE,,5072,0,155
Coty Inc-CL A,COM,222070203,440,35008,SH,,SOLE,,32530,0,2478
Crane,COM,224399105,11460,116518,SH,,SOLE,,105818,0,10700
Danone ADR,COM,23636T100,12844,828970,SH,,SOLE,,729705,0,99265
Diageo PLC Sponsored ADR,COM,25243Q205,55319,390477,SH,,SOLE,,359062,0,31415
Disney Walt Productions,COM,254687106,522,4468,SH,,SOLE,,3500,0,968
Dover Corp,COM,260003108,4452,50291,SH,,SOLE,,41016,0,9275
DowDupont Inc,COM,26078J100,3063,47631,SH,,SOLE,,47631,0,0
Exxon Mobil Corp,COM,30231G102,13174,154948,SH,,SOLE,,145104,0,9844
Fomento Economico Mex Sp ADR,COM,344419106,16073,162402,SH,,SOLE,,138832,0,23570
Fulton Finl Corp,COM,360271100,2001,120154,SH,,SOLE,,38479,0,81675
Heineken NV Spons ADR,COM,423012301,1931,41177,SH,,SOLE,,41177,0,0
Herman Miller Inc,COM,600544100,7306,190266,SH,,SOLE,,172216,0,18050
Hormel Foods Corp,COM,440452100,6305,160023,SH,,SOLE,,139868,0,20155
I B M,COM,459200101,238,1571,SH,,SOLE,,1571,0,0
J.P. Morgan Chase,COM,46625H100,1300,11520,SH,,SOLE,,11520,0,0
Kraft Heinz Co,COM,500754106,1297,23535,SH,,SOLE,,23535,0,0
Lamar Advertising Co-A,COM,512816109,890,11445,SH,,SOLE,,11445,0,0
Markel Corp,COM,570535104,9508,8000,SH,,SOLE,,6850,0,1150
Martin Marietta Materials,COM,573284106,361586,1987280,SH,,SOLE,,1863566,0,123714
Mastercard Inc Cl A,COM,57636Q104,1859095,8351354,SH,,SOLE,,7898596,0,452758
McCormick Inc,COM,579780206,4322,32805,SH,,SOLE,,27905,0,4900
McDonalds Corp,COM,580135101,496,2965,SH,,SOLE,,2965,0,0
Microsoft Corp,COM,594918104,434,3795,SH,,SOLE,,3310,0,485
Nestle SA-Spons ADR,COM,641069406,1280642,15392326,SH,,SOLE,,14551486,0,840839
O Reilly Automotive Inc,COM,67103H107,347,1000,SH,,SOLE,,1000,0,0
Oracle Corp,COM,68389X105,206,4000,SH,,SOLE,,4000,0,0
Outfront Media Inc,COM,69007J106,9137,457996,SH,,SOLE,,408311,0,49685
Pepsico Inc,COM,713448108,3575,31975,SH,,SOLE,,28334,0,3641
Pernod-Ricard SA-Unspon ADR,COM,714264207,1814,55265,SH,,SOLE,,55265,0,0
Philip Morris International In,COM,718172109,839953,10301119,SH,,SOLE,,9831355,0,469764
Pioneer Nat Res,COM,723787107,453,2600,SH,,SOLE,,2600,0,0
PNC Bank Corp,COM,693475105,2665,19568,SH,,SOLE,,10668,0,8900
Procter & Gamble,COM,742718109,3948,47439,SH,,SOLE,,44384,0,3055
Royal Dutch Shell PLC ADR A,COM,780259206,2729,40050,SH,,SOLE,,38830,0,1220
The Swatch Group AG ADR,COM,870123106,1091,54590,SH,,SOLE,,54590,0,0
Unilever NV ADR,COM,904784709,817875,14723219,SH,,SOLE,,13898808,0,824411
Union Pac Corp,COM,907818108,311,1910,SH,,SOLE,,1910,0,0
US Bancorp,COM,902973304,228,4314,SH,,SOLE,,800,0,3514
Visa Inc Cl A,COM,92826C839,92541,616572,SH,,SOLE,,540573,0,75999
Vulcan Materials,COM,929160109,6162,55415,SH,,SOLE,,49140,0,6275
Wal Mart Stores Inc,COM,931142103,475,5055,SH,,SOLE,,4255,0,800
Wells Fargo,COM,949746101,703074,13376592,SH,,SOLE,,12641600,0,734992
Hostess Brands Inc Wts Exp 11/,WTS,44109J114,106,100000,SH,,SOLE,,100000,0,0
M&T Bank Corp Wts Exp 12/23/1,WTS,55261F112,682,7360,SH,,SOLE,,7360,0,0
Anheuser-Busch InBev SA,COM,B639CJ108,704298,8061282,SH,,SOLE,,7635853,0,425429
Anheuser-Busch InBev SA Restri,COM,b639cj116,4541,51983,SH,,SOLE,,51983,0,0
BIC,COM,F10080103,2020,22055,SH,,SOLE,,21620,0,435
Bollore,COM,F10659260,130,30000,SH,,SOLE,,30000,0,0
Cir SPA,COM,T28980125,143,125000,SH,,SOLE,,125000,0,0
Compagnie Financiere Richemont,COM,H25662182,953646,11644012,SH,,SOLE,,11047106,0,596906
Diageo PLC,COM,G42089113,280229,7903324,SH,,SOLE,,7527312,0,376012
Groupe Danone,COM,F12033134,254,3275,SH,,SOLE,,3275,0,0
Hanjaya Mandala Sampoerna,COM,Y7121Z146,178,687500,SH,,SOLE,,687500,0,0
Heineken Holding NV,COM,N39338194,959174,10587256,SH,,SOLE,,10040525,0,546731
Heineken NV,COM,N39427211,4314,45988,SH,,SOLE,,43088,0,2900
JC Decaux SA ACT,COM,F5333N100,279028,7626378,SH,,SOLE,,7200131,0,426247
Lindt & Spruengli AG - Reg,COM,H49983176,2143,26,SH,,SOLE,,26,0,0
Loreal SA,COM,F58149133,1129,4680,SH,,SOLE,,4500,0,180
LT Group Inc,COM,Y5342M100,267,1000000,SH,,SOLE,,1000000,0,0
Nestle SA-REG,COM,H57312649,3434,41000,SH,,SOLE,,41000,0,0
Nielsen Holdings PLC ORD,COM,G6518L108,464,16775,SH,,SOLE,,15275,0,1500
Pargesa Holding AG - B,COM,H60477207,951,11776,SH,,SOLE,,11526,0,250
Pernod Ricard,COM,F72027109,959965,5849165,SH,,SOLE,,5571786,0,277379
PZ Cussons PLC,COM,G6850S109,46,15000,SH,,SOLE,,15000,0,0
Reckitt Benckiser Group PLC,COM,G74079107,2261,24717,SH,,SOLE,,17317,0,7400
Shiseido Co Ltd,COM,J74358144,271,3500,SH,,SOLE,,3500,0,0
Swedish Match AB,COM,W92277115,13220,258395,SH,,SOLE,,257120,0,1275
The Swatch Group AG-BR,COM,H83949141,478121,1196589,SH,,SOLE,,1140845,0,55744
Unilever NV,COM,N8981F271,2173,39000,SH,,SOLE,,39000,0,0
