NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE,SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE
Berner Gruppen PFD,PFD,r10549112,239,3501,SH,,SOLE,,3501,0,0
Eaton Vance Sr Income TR SF,SH BEN INT,27826s103,1884,267960,SH,,SOLE,,262960,0,5000
Pimco High Yield Fun-Instl,SH BEN INT,693390841,105,11116,SH,,SOLE,,0,0,11116
Abbott Labs,COM,002824100,2871,86503,SH,,SOLE,,83400,0,3103
AbbVie Inc,COM,00287Y109,3882,86777,SH,,SOLE,,83400,0,3377
Altria Group Inc,COM,02209s103,264781,7708331,SH,,SOLE,,7353767,0,354564
American Express,COM,025816109,9588,126965,SH,,SOLE,,104260,0,22705
American Intl Group Inc,COM,026874784,292,6000,SH,,SOLE,,6000,0,0
Anheuser-Busch InBev ADR,COM,03524a108,479516,4833827,SH,,SOLE,,4566272,0,267555
Bank Amer Corp,COM,060505104,683,49500,SH,,SOLE,,48500,0,1000
BB&T Corp,COM,054937107,1403,41556,SH,,SOLE,,41556,0,0
Berkshire Hathaway Inc Cl A,COM,084670108,844041,4953,SH,,SOLE,,4676,0,277
Berkshire Hathaway Inc Cl B,COM,084670702,256788,2262253,SH,,SOLE,,2068450,0,193803
Boeing,COM,097023105,286,2430,SH,,SOLE,,500,0,1930
BP PLC ADR,COM,055622104,954,22707,SH,,SOLE,,5107,0,17600
British Amern Tob PLC ADR,COM,110448107,694,6600,SH,,SOLE,,6600,0,0
Brown-Forman Corp Cl A,COM,115637100,186463,2817510,SH,,SOLE,,2675664,0,141846
Brown-Forman Corp Cl B,COM,115637209,29134,427628,SH,,SOLE,,390539,0,37089
Carlisle Inc,COM,142339100,688,9784,SH,,SOLE,,9784,0,0
Centerstate BKS FLA Inc,COM,15201p109,107,11004,SH,,SOLE,,11004,0,0
Chevron Corp,COM,166764100,7955,65471,SH,,SOLE,,49371,0,16100
CIE Financiere Richemont-Unsp,COM,204319107,1568,156500,SH,,SOLE,,156500,0,0
Coca-Cola,COM,191216100,7833,206778,SH,,SOLE,,170907,0,35871
Comcast Corp New Cl A,COM,20030n101,2381,52773,SH,,SOLE,,52773,0,0
Comcast Corp Special Cl A,COM,20030n200,205789,4747143,SH,,SOLE,,4456261,0,290882
Conocophillips,COM,20825c104,1033,14856,SH,,SOLE,,13756,0,1100
Costco Whsl Corp,COM,22160k105,674,5855,SH,,SOLE,,5855,0,0
Crane,COM,224399105,11051,179202,SH,,SOLE,,159942,0,19260
Danaher Corp,COM,235851102,288,4151,SH,,SOLE,,3712,0,439
Danone ADR,COM,23636T100,3059,203050,SH,,SOLE,,200025,0,3025
Deere & Co,COM,244199105,2435,29915,SH,,SOLE,,26715,0,3200
Diageo PLC Sponsored ADR,COM,25243q205,52366,412072,SH,,SOLE,,378790,0,33282
Disney Walt Productions,COM,254687106,411,6375,SH,,SOLE,,6275,0,100
Dover Corp,COM,260003108,7503,83520,SH,,SOLE,,72120,0,11400
Du Pont E I De Nemours,COM,263534109,2520,43026,SH,,SOLE,,28026,0,15000
Exxon Mobil Corp,COM,30231g102,18260,212224,SH,,SOLE,,135306,0,76918
Fomento Economico Mex Sp ADR,COM,344419106,11478,118220,SH,,SOLE,,100890,0,17330
Fulton Finl Corp,COM,360271100,938,80298,SH,,SOLE,,66298,0,14000
General Dynamics Corp,COM,369550108,263,3000,SH,,SOLE,,3000,0,0
General Electric,COM,369604103,1039,43501,SH,,SOLE,,5001,0,38500
Goldman Sachs Group Inc,COM,38141g104,9109,57575,SH,,SOLE,,55375,0,2200
Google Inc Cl A,COM,38259p508,907,1036,SH,,SOLE,,986,0,50
Hasbro Inc,COM,418056107,29511,626021,SH,,SOLE,,590511,0,35510
Heartland Express Inc,COM,422347104,206,14499,SH,,SOLE,,12499,0,2000
Heineken NV Spons ADR,COM,423012301,1537,43346,SH,,SOLE,,43346,0,0
Herman Miller Inc,COM,600544100,11073,379470,SH,,SOLE,,340920,0,38550
Hormel Foods Corp,COM,440452100,5183,123050,SH,,SOLE,,105350,0,17700
I B M,COM,459200101,3087,16668,SH,,SOLE,,11675,0,4993
Lamar Advertising Cl A,COM,512815101,965,20525,SH,,SOLE,,20525,0,0
Leucadia Natl Corp,COM,527288104,493,18100,SH,,SOLE,,18100,0,0
Markel Corp,COM,570535104,10240,19777,SH,,SOLE,,18047,0,1730
