Name,Ticker,Class,Shares,Change,Value,Change,% Port,% OS,Hist,Date
BERKSHIRE HATHAWAY INC,BRK.A,Common,3388,31,324570000,16871000,,,Hist,09/30/2006
"ALTRIA GROUP, INC.",MO,Common,4219545,73089,323006000,18532000,,,Hist,09/30/2006
NESTLE SA,NSRGY,Common,3486490,76231,304022000,36726000,,,Hist,09/30/2006
HEINEKEN HOLDING N V,HKHHF,Common,6057547,30872,238304000,16221000,,,Hist,09/30/2006
COMCAST CORP,CMCSK,Common,5823345,98504,214357000,26697000,,,Hist,09/30/2006
WELLS FARGO & COMPANY/MN,WFC,Common,5125059,2563558,185425000,13600000,,,Hist,09/30/2006
MARTIN MARIETTA MATERIALS INC,MLM,Common,1991293,97111,168503000,-4152000,,,Hist,09/30/2006
AMERICAN INTERNATIONAL GROUP INC,AIG,Common,2438882,48003,161600000,20419000,,,Hist,09/30/2006
UST INC,UST,Common,2891013,26450,158514000,29064000,,,Hist,09/30/2006
COMPAGNIE FINANCIERE RICHEMONT AG /FI,CFRHF,Common,3191948,-35110,153724000,6183000,,,Hist,09/30/2006
E.W. SCRIPPS Co,SSP,Common,2848275,62377,136518000,16334000,,,Hist,09/30/2006
Graham Holdings Co,WPO,Cl B,174936,1847,128928000,-6083000,,,Hist,09/30/2006
TELEGRAAF MEDIA GROEP NV,TGRAF,Common,5117036,-84892,121785000,-18771000,,,Hist,09/30/2006
BROWN FORMAN CORP,BF.A,CL A,1551489,10030,120039000,9362000,,,Hist,09/30/2006
DIAGEO PLC,DGEAF,Common,6673341,-21808,117918000,5306000,,,Hist,09/30/2006
MCCLATCHY CO,MNI,CL A,2743433,309834,115745000,18109000,,,Hist,09/30/2006
CITIGROUP INC,C,Common,2242364,6771,111378000,3511000,,,Hist,09/30/2006
CADBURY PUBLIC LTD CO,CSGWF,Common,9253447,149269,98549000,10694000,,,Hist,09/30/2006
HASBRO INC,HAS,Common,4310278,-211566,98059000,16168000,,,Hist,09/30/2006
PERNOD RICARD S A /FI,PDRDF,Common,420267,9925,87546000,6253000,,,Hist,09/30/2006
H&R BLOCK INC,HRB,Common,3904340,-27936,84880000,-8944000,,,Hist,09/30/2006
UNILEVER N V,UN,N Y SHS NEW,3308300,89842,81186000,8610000,,,Hist,09/30/2006
