NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE,SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE
Eaton Vance Sr Income TR SF,SH BEN INT,27826S103,1882,302095,SH,,SOLE,,302095,0,0
Abbott Labs,COM,002824100,1018,12110,SH,,SOLE,,10110,0,2000
AbbVie Inc,COM,00287Y109,946,13010,SH,,SOLE,,11010,0,2000
Alleghany Corp,COM,017175100,221,324,SH,,SOLE,,117,0,207
Alphabet Inc Cl A,COM,02079K305,1997,1844,SH,,SOLE,,1760,0,84
Alphabet Inc Cl C,COM,02079K107,211355,195534,SH,,SOLE,,186616,0,8918
Altria Group Inc,COM,02209S103,236251,4989460,SH,,SOLE,,4810243,0,179217
American Express,COM,025816109,17211,139430,SH,,SOLE,,119701,0,19729
American Intl Group Inc,COM,026874784,306,5735,SH,,SOLE,,5735,0,0
Anheuser-Busch InBev ADR,COM,03524A108,371,4193,SH,,SOLE,,4193,0,0
Apple Computer Inc,COM,037833100,415,2095,SH,,SOLE,,1850,0,245
Bank Amer Corp,COM,060505104,1420,48975,SH,,SOLE,,48975,0,0
BB&T Corp,COM,054937107,501,10200,SH,,SOLE,,10200,0,0
Berkshire Hathaway Inc Cl A,COM,084670108,1274037,4002,SH,,SOLE,,3756,0,246
Berkshire Hathaway Inc Cl B,COM,084670702,497286,2332814,SH,,SOLE,,2207060,0,125754
BP PLC ADR,COM,055622104,213,5099,SH,,SOLE,,5099,0,0
Brown-Forman Corp Cl A,COM,115637100,216921,3944019,SH,,SOLE,,3782956,0,161062
Brown-Forman Corp Cl B,COM,115637209,104990,1894106,SH,,SOLE,,1756672,0,137434
Chevron Corp,COM,166764100,1153,9268,SH,,SOLE,,8868,0,400
CIE Financiere Richemont-Unsp,COM,204319107,1270,149520,SH,,SOLE,,149520,0,0
Coca-Cola,COM,191216100,5398,106017,SH,,SOLE,,90617,0,15400
Comcast Corp New Cl A,COM,20030N101,255997,6054812,SH,,SOLE,,5734970,0,319841
Corteva Inc,COM,22052L104,453,15306,SH,,SOLE,,15306,0,0
Costco Whsl Corp,COM,22160K105,1346,5092,SH,,SOLE,,4937,0,155
Coty Inc-CL A,COM,222070203,204,15225,SH,,SOLE,,14396,0,829
Crane,COM,224399105,8314,99643,SH,,SOLE,,91543,0,8100
Danone ADR,COM,23636T100,8497,500743,SH,,SOLE,,478723,0,22020
Diageo PLC Sponsored ADR,COM,25243Q205,41588,241341,SH,,SOLE,,222701,0,18640
Disney Walt Productions,COM,254687106,612,4383,SH,,SOLE,,4365,0,18
Dover Corp,COM,260003108,4359,43501,SH,,SOLE,,38851,0,4650
Dow Inc,COM,260557103,751,15239,SH,,SOLE,,15239,0,0
Dupont De Nemours Inc,COM,26614N102,1149,15306,SH,,SOLE,,15306,0,0
Exxon Mobil Corp,COM,30231G102,11566,150932,SH,,SOLE,,143925,0,7007
Fomento Economico Mex Sp ADR,COM,344419106,12787,132167,SH,,SOLE,,115152,0,17015
Fulton Finl Corp,COM,360271100,1924,117524,SH,,SOLE,,38479,0,79045
Heineken NV Spons ADR,COM,423012301,1585,28357,SH,,SOLE,,28357,0,0
Herman Miller Inc,COM,600544100,7765,173716,SH,,SOLE,,161316,0,12400
Hormel Foods Corp,COM,440452100,6214,153293,SH,,SOLE,,138493,0,14800
J.P. Morgan Chase,COM,46625H100,1358,12148,SH,,SOLE,,12148,0,0
Lamar Advertising Co-A,COM,512816109,677,8388,SH,,SOLE,,8388,0,0
M & T Bk Corp,COM,55261F104,780,4586,SH,,SOLE,,4586,0,0
Markel Corp,COM,570535104,8372,7684,SH,,SOLE,,6584,0,1100
Martin Marietta Materials,COM,573284106,412921,1794450,SH,,SOLE,,1687589,0,106861
