NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE,SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE
Eaton Vance Sr Income TR SF,SH BEN INT,27826s103,1809,277942,SH,,SOLE,,277942,0,0
Pimco High Yield Fun-Instl,SH BEN INT,693390841,103,11116,SH,,SOLE,,0,0,11116
Templeton Global Bond FD,SH BEN INT,880208400,204,16512,SH,,SOLE,,16512,0,0
Abbott Labs,COM,002824100,3957,85400,SH,,SOLE,,83400,0,2000
AbbVie Inc,COM,00287Y109,5076,86718,SH,,SOLE,,83400,0,3318
Alleghany Corp,COM,017175100,205,421,SH,,SOLE,,184,0,237
Altria Group Inc,COM,02209s103,327879,6554948,SH,,SOLE,,6272213,0,282735
American Express,COM,025816109,9999,127994,SH,,SOLE,,106439,0,21555
American Intl Group Inc,COM,026874784,329,6000,SH,,SOLE,,6000,0,0
Anheuser-Busch InBev ADR,COM,03524a108,632456,5187889,SH,,SOLE,,4918687,0,269202
Bank Amer Corp,COM,060505104,786,51100,SH,,SOLE,,50100,0,1000
BB&T Corp,COM,054937107,1642,42122,SH,,SOLE,,42122,0,0
Berkshire Hathaway Inc Cl A,COM,084670108,1101420,5064,SH,,SOLE,,4766,0,298
Berkshire Hathaway Inc Cl B,COM,084670702,356277,2468657,SH,,SOLE,,2307287,0,161370
BP PLC ADR,COM,055622104,306,7831,SH,,SOLE,,7831,0,0
British Amern Tob PLC ADR,COM,110448107,732,7050,SH,,SOLE,,7050,0,0
Brown-Forman Corp Cl A,COM,115637100,254838,2807200,SH,,SOLE,,2679305,0,127895
Brown-Forman Corp Cl B,COM,115637209,42191,466975,SH,,SOLE,,428696,0,38279
Carlisle Inc,COM,142339100,324,3500,SH,,SOLE,,3500,0,0
Centerstate BKS FLA Inc,COM,15201p109,131,11004,SH,,SOLE,,11004,0,0
Chevron Corp,COM,166764100,4440,42293,SH,,SOLE,,41193,0,1100
CIE Financiere Richemont-Unsp,COM,204319107,1596,198000,SH,,SOLE,,198000,0,0
Coca-Cola,COM,191216100,8089,199492,SH,,SOLE,,166492,0,33000
Comcast Corp New Cl A,COM,20030n101,1806,31976,SH,,SOLE,,31976,0,0
Comcast Corp Special Cl A,COM,20030n200,250509,4468193,SH,,SOLE,,4219093,0,249100
Conocophillips,COM,20825c104,485,7788,SH,,SOLE,,7188,0,600
Costco Whsl Corp,COM,22160k105,857,5655,SH,,SOLE,,5655,0,0
Crane,COM,224399105,10482,167952,SH,,SOLE,,149092,0,18860
Danone ADR,COM,23636T100,2765,205580,SH,,SOLE,,203430,0,2150
Diageo PLC Sponsored ADR,COM,25243q205,51033,461545,SH,,SOLE,,423895,0,37650
Disney Walt Productions,COM,254687106,509,4850,SH,,SOLE,,4850,0,0
Dover Corp,COM,260003108,5053,73106,SH,,SOLE,,62206,0,10900
Du Pont E I De Nemours,COM,263534109,2633,36834,SH,,SOLE,,36834,0,0
Exxon Mobil Corp,COM,30231g102,13966,164305,SH,,SOLE,,153833,0,10472
Fomento Economico Mex Sp ADR,COM,344419106,10074,107745,SH,,SOLE,,91350,0,16395
Fulton Finl Corp,COM,360271100,625,50688,SH,,SOLE,,41688,0,9000
General Dynamics Corp,COM,369550108,238,1750,SH,,SOLE,,1750,0,0
General Electric,COM,369604103,262,10546,SH,,SOLE,,10546,0,0
Goldman Sachs Group Inc,COM,38141g104,2029,10793,SH,,SOLE,,10393,0,400
Google Inc Cl A,COM,38259p508,684,1233,SH,,SOLE,,1183,0,50
Google Inc Cl C,COM,38259p706,640,1168,SH,,SOLE,,1118,0,50
Graham Holdings Co,COM,384637104,2792,2660,SH,,SOLE,,2510,0,150
Heartland Express Inc,COM,422347104,344,14499,SH,,SOLE,,12499,0,2000
Heineken NV Spons ADR,COM,423012301,1990,52162,SH,,SOLE,,52162,0,0
Herman Miller Inc,COM,600544100,8983,323604,SH,,SOLE,,290254,0,33350
Hormel Foods Corp,COM,440452100,6052,106451,SH,,SOLE,,91157,0,15294
I B M,COM,459200101,1533,9549,SH,,SOLE,,9549,0,0
Lamar Advertising Co-A,COM,512816109,1053,17760,SH,,SOLE,,17760,0,0
Markel Corp,COM,570535104,12493,16247,SH,,SOLE,,14642,0,1605
Martin Marietta Materials,COM,573284106,290586,2078583,SH,,SOLE,,1960026,0,118557
Mastercard Inc Cl A,COM,57636q104,865670,10020489,SH,,SOLE,,9481989,0,538500
McCormick Inc,COM,579780206,3297,42755,SH,,SOLE,,35955,0,6800
McDonalds Corp,COM,580135101,355,3645,SH,,SOLE,,3645,0,0
Merck Inc,COM,58933Y105,220,3836,SH,,SOLE,,3036,0,800
Microsoft Corp,COM,594918104,2214,54450,SH,,SOLE,,53650,0,800
Nestle SA-Spons ADR,COM,641069406,1180660,15623641,SH,,SOLE,,14799570,0,824071
Oracle Corp,COM,68389x105,432,10000,SH,,SOLE,,10000,0,0
Outfront Media Inc,COM,69007j106,462,15428,SH,,SOLE,,15003,0,425
