NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE,SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE
Eaton Vance Sr Income TR SF,SH BEN INT,27826S103,1985,291507,SH,,SOLE,,291507,0,0
3M Company,COM,88579Y101,313,1425,SH,,SOLE,,1425,0,0
Abbott Labs,COM,002824100,767,12800,SH,,SOLE,,10800,0,2000
AbbVie Inc,COM,00287Y109,1297,13700,SH,,SOLE,,11700,0,2000
Alphabet Inc Cl A,COM,02079K305,1940,1871,SH,,SOLE,,1787,0,84
Alphabet Inc Cl C,COM,02079K107,2253,2184,SH,,SOLE,,2100,0,84
Altria Group Inc,COM,02209S103,351373,5638211,SH,,SOLE,,5440273,0,197938
American Express,COM,025816109,15270,163699,SH,,SOLE,,133165,0,30534
American Intl Group Inc,COM,026874784,312,5735,SH,,SOLE,,5735,0,0
Apple Computer Inc,COM,037833100,284,1695,SH,,SOLE,,1450,0,245
Bank Amer Corp,COM,060505104,1439,47975,SH,,SOLE,,47975,0,0
BB&T Corp,COM,054937107,869,16690,SH,,SOLE,,16690,0,0
Berkshire Hathaway Inc Cl A,COM,084670108,1395601,4666,SH,,SOLE,,4367,0,299
Berkshire Hathaway Inc Cl B,COM,084670702,508689,2550076,SH,,SOLE,,2409345,0,140731
BP PLC ADR,COM,055622104,215,5298,SH,,SOLE,,5298,0,0
British Amern Tob PLC ADR,COM,110448107,605,10492,SH,,SOLE,,10492,0,0
Brown-Forman Corp Cl A,COM,115637100,230280,4318029,SH,,SOLE,,4139667,0,178362
Brown-Forman Corp Cl B,COM,115637209,153217,2816490,SH,,SOLE,,2622817,0,193673
Chemours Co,COM,163851108,312,6408,SH,,SOLE,,6408,0,0
Chevron Corp,COM,166764100,1408,12348,SH,,SOLE,,11948,0,400
CIE Financiere Richemont-Unsp,COM,204319107,1483,165560,SH,,SOLE,,165560,0,0
Coca-Cola,COM,191216100,5373,123708,SH,,SOLE,,107208,0,16500
Comcast Corp New Cl A,COM,20030N101,243363,7122137,SH,,SOLE,,6727491,0,394645
Costco Whsl Corp,COM,22160K105,1031,5473,SH,,SOLE,,5318,0,155
