NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE,SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE
Eaton Vance Sr Income TR SF,SH BEN INT,27826s103,2085,277308,SH,,SOLE,,265808,0,11500
Pimco High Yield Fun-Instl,SH BEN INT,693390841,105,11116,SH,,SOLE,,0,0,11116
Pimco Total Return Fund-Inst,SH BEN INT,693390700,112,10397,SH,,SOLE,,10397,0,0
Abbott Labs,COM,002824100,3010,86303,SH,,SOLE,,83200,0,3103
AbbVie Inc,COM,00287Y109,3602,87127,SH,,SOLE,,83750,0,3377
Altria Group Inc,COM,02209s103,264338,7554679,SH,,SOLE,,7210987,0,343693
American Express,COM,025816109,8684,116165,SH,,SOLE,,106960,0,9205
American Intl Group Inc,COM,026874784,268,6000,SH,,SOLE,,6000,0,0
Anheuser-Busch InBev ADR,COM,03524a108,412826,4573748,SH,,SOLE,,4347123,0,226625
Bank Amer Corp,COM,060505104,637,49500,SH,,SOLE,,48500,0,1000
BB&T Corp,COM,054937107,1399,41281,SH,,SOLE,,41281,0,0
Berkshire Hathaway Inc Cl A,COM,084670108,824623,4891,SH,,SOLE,,4650,0,241
Berkshire Hathaway Inc Cl B,COM,084670702,249872,2232596,SH,,SOLE,,2039548,0,193048
Boeing,COM,097023105,334,3257,SH,,SOLE,,500,0,2757
BP PLC ADR,COM,055622104,1056,25301,SH,,SOLE,,5301,0,20000
British Amern Tob PLC ADR,COM,110448107,679,6600,SH,,SOLE,,6600,0,0
Brown-Forman Corp Cl A,COM,115637100,191271,2826950,SH,,SOLE,,2689410,0,137540
Brown-Forman Corp Cl B,COM,115637209,23688,350679,SH,,SOLE,,331695,0,18984
Carlisle Inc,COM,142339100,647,10384,SH,,SOLE,,10384,0,0
Chevron Corp,COM,166764100,7748,65471,SH,,SOLE,,49371,0,16100
CIE Financiere Richemont-Unsp,COM,204319107,1405,159150,SH,,SOLE,,159150,0,0
Coca-Cola,COM,191216100,7272,181303,SH,,SOLE,,172257,0,9046
Comcast Corp New Cl A,COM,20030n101,2252,53933,SH,,SOLE,,53338,0,595
Comcast Corp Special Cl A,COM,20030n200,186361,4697779,SH,,SOLE,,4432137,0,265642
Conocophillips,COM,20825c104,971,16044,SH,,SOLE,,14944,0,1100
Costco Whsl Corp,COM,22160k105,647,5855,SH,,SOLE,,5855,0,0
Crane,COM,224399105,10825,180652,SH,,SOLE,,161392,0,19260
Danaher Corp,COM,235851102,263,4151,SH,,SOLE,,3712,0,439
Danone ADR,COM,23636T100,3119,208050,SH,,SOLE,,205025,0,3025
Deere & Co,COM,244199105,1038,12775,SH,,SOLE,,11550,0,1225
Diageo PLC Sponsored ADR,COM,25243q205,47318,411642,SH,,SOLE,,378610,0,33032
Disney Walt Productions,COM,254687106,448,7100,SH,,SOLE,,7000,0,100
Dominion Res Inc,COM,25746u109,206,3632,SH,,SOLE,,0,0,3632
Dover Corp,COM,260003108,6605,85045,SH,,SOLE,,73545,0,11500
Du Pont E I De Nemours,COM,263534109,2248,42825,SH,,SOLE,,27825,0,15000
Exxon Mobil Corp,COM,30231g102,20515,227061,SH,,SOLE,,138988,0,88073
Fomento Economico Mex Sp ADR,COM,344419106,11412,110595,SH,,SOLE,,103515,0,7080
Fulton Finl Corp,COM,360271100,931,81113,SH,,SOLE,,63713,0,17400
General Dynamics Corp,COM,369550108,253,3225,SH,,SOLE,,3225,0,0
General Electric,COM,369604103,1171,50501,SH,,SOLE,,5501,0,45000
Goldman Sachs Group Inc,COM,38141g104,8655,57225,SH,,SOLE,,55025,0,2200
Google Inc Cl A,COM,38259p508,790,897,SH,,SOLE,,847,0,50
Hasbro Inc,COM,418056107,29482,657633,SH,,SOLE,,621203,0,36430
Heartland Express Inc,COM,422347104,204,14699,SH,,SOLE,,12499,0,2200
Heineken NV Spons ADR,COM,423012301,1379,43346,SH,,SOLE,,43346,0,0
