Name,Ticker,Class,Shares,Change,Value,Change,% Port,% OS,Hist,Date
NESTLE SA,NSRGY,Common,15816601,37609,1248980000,66081000,10.39,,Hist,09/30/2016
BERKSHIRE HATHAWAY INC,BRK.A,Common,4984,-51,1077640000,94607000,8.97,,Hist,09/30/2016
Philip Morris International Inc.,PM,Common,10314013,-165869,1002728000,171359000,8.34,0.66,Hist,09/30/2016
Mastercard Inc,MA,CL A,9775132,-155475,994815000,99869000,8.28,,Hist,09/30/2016
HEINEKEN HOLDING N V,HKHHF,Common,10808907,-45414,867056000,96109000,7.21,,Hist,09/30/2016
Anheuser-Busch InBev SA/NV,BUD,ADR,6592165,1418880,866276000,316252000,7.21,,Hist,09/30/2016
PERNOD RICARD S A /FI,PDRDF,Common,6296414,647814,745447000,176842000,6.20,,Hist,09/30/2016
COMPAGNIE FINANCIERE RICHEMONT AG /FI,CFRHF,Com,11931897,3073026,728665000,42331000,6.06,,Hist,09/30/2016
WELLS FARGO & COMPANY/MN,WFC,Common,15808558,1233055,700003000,-48449000,5.82,,Hist,09/30/2016
UNILEVER N V,UN,N Y SHS NEW,14322660,177144,660275000,91625000,5.49,,Hist,09/30/2016
BERKSHIRE HATHAWAY INC,BRK/B,Common,2591501,79459,374394000,46824000,3.12,,Hist,09/30/2016
"ALTRIA GROUP, INC.",MO,Common,5893334,-528975,372636000,23262000,3.10,,Hist,09/30/2016
MARTIN MARIETTA MATERIALS INC,MLM,Common,2069336,-1191,370639000,56022000,3.08,3.26,Hist,09/30/2016
BRITISH AMERICAN TOBACCO PLC /ADR/,BTAFF,Common,5057949,86357,323915000,49569000,2.70,,Hist,09/30/2016
SWATCH GROUP,SWGAF,Common,977574,870050,277016000,237290000,2.30,,Hist,09/30/2016
DIAGEO PLC,DGEAF,Common,9351031,66713,268509000,19514000,2.23,,Hist,09/30/2016
COMCAST CORP,CMCSA,Common,3780163,3747758,250776000,248933000,2.09,,Hist,09/30/2016
BROWN FORMAN CORP,BF.A,CL A,4729714,2132758,235303000,-42545000,1.96,,Hist,09/30/2016
JCDECAUX SA /FI,JCDXF,Common,6291096,2423026,203473000,63601000,1.69,,Hist,09/30/2016
"Scripps Networks Interactive, Inc.",SNI,Common,1178056,-67777,74795000,13512000,0.62,1.24,Hist,09/30/2016
BROWN FORMAN CORP,BF.B,CL B,1255769,724834,59574000,8126000,0.50,,Hist,09/30/2016
