NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE,SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE
Eaton Vance Sr Income TR SF,SH BEN INT,27826s103,1846,286696,SH,,SOLE,,286696,0,0
3M Company,COM,88579y101,269,1525,SH,,SOLE,,1525,0,0
Abbott Labs,COM,002824100,694,16400,SH,,SOLE,,14400,0,2000
AbbVie Inc,COM,00287Y109,1079,17106,SH,,SOLE,,14200,0,2906
Alleghany Corp,COM,017175100,221,421,SH,,SOLE,,184,0,237
Alphabet Inc Cl A,COM,02079k305,1276,1587,SH,,SOLE,,1537,0,50
Alphabet Inc Cl C,COM,02079k107,1325,1704,SH,,SOLE,,1654,0,50
Altria Group Inc,COM,02209s103,372636,5893334,SH,,SOLE,,5662956,0,230378
American Express,COM,025816109,9967,155638,SH,,SOLE,,123929,0,31709
American Intl Group Inc,COM,026874784,356,6000,SH,,SOLE,,6000,0,0
Anheuser-Busch InBev ADR,COM,03524a108,866276,6592165,SH,,SOLE,,6253264,0,338901
Bank Amer Corp,COM,060505104,800,51100,SH,,SOLE,,50100,0,1000
BB&T Corp,COM,054937107,1425,37787,SH,,SOLE,,37787,0,0
Berkshire Hathaway Inc Cl A,COM,084670108,1077640,4984,SH,,SOLE,,4685,0,299
Berkshire Hathaway Inc Cl B,COM,084670702,374394,2591501,SH,,SOLE,,2440681,0,150820
British Amern Tob PLC ADR,COM,110448107,702,5496,SH,,SOLE,,5496,0,0
Brown-Forman Corp Cl A,COM,115637100,235303,4729714,SH,,SOLE,,4530843,0,198870
Brown-Forman Corp Cl B,COM,115637209,59574,1255769,SH,,SOLE,,1148671,0,107098
Carlisle Inc,COM,142339100,256,2500,SH,,SOLE,,2500,0,0
Centerstate BKS FLA Inc,COM,15201p109,177,10004,SH,,SOLE,,10004,0,0
Chevron Corp,COM,166764100,3658,35542,SH,,SOLE,,34842,0,700
CIE Financiere Richemont-Unsp,COM,204319107,1332,218125,SH,,SOLE,,218125,0,0
Coca-Cola,COM,191216100,7867,185892,SH,,SOLE,,164842,0,21050
Comcast Corp New Cl A,COM,20030n101,250776,3780163,SH,,SOLE,,3567708,0,212454
Conocophillips,COM,20825c104,212,4888,SH,,SOLE,,4288,0,600
Costco Whsl Corp,COM,22160k105,994,6516,SH,,SOLE,,6516,0,0
Crane,COM,224399105,9687,153741,SH,,SOLE,,139491,0,14250
Danone ADR,COM,23636T100,9884,665770,SH,,SOLE,,584030,0,81740
Diageo PLC Sponsored ADR,COM,25243q205,55933,482019,SH,,SOLE,,444619,0,37400
Disney Walt Productions,COM,254687106,455,4903,SH,,SOLE,,3935,0,968
Dover Corp,COM,260003108,4590,62326,SH,,SOLE,,54526,0,7800
Du Pont E I De Nemours,COM,263534109,2524,37687,SH,,SOLE,,37687,0,0
Exxon Mobil Corp,COM,30231g102,14254,163315,SH,,SOLE,,153178,0,10137
Fomento Economico Mex Sp ADR,COM,344419106,11474,124665,SH,,SOLE,,102170,0,22495
Fulton Finl Corp,COM,360271100,1357,93443,SH,,SOLE,,80943,0,12500
General Electric,COM,369604103,274,9246,SH,,SOLE,,9246,0,0
Goldman Sachs Group Inc,COM,38141g104,1515,9393,SH,,SOLE,,9193,0,200
Heartland Express Inc,COM,422347104,236,12499,SH,,SOLE,,10499,0,2000
Heineken NV Spons ADR,COM,423012301,1707,38802,SH,,SOLE,,38802,0,0
Herman Miller Inc,COM,600544100,6393,223543,SH,,SOLE,,203793,0,19750
Hormel Foods Corp,COM,440452100,6215,163849,SH,,SOLE,,142601,0,21248
I B M,COM,459200101,1707,10749,SH,,SOLE,,10629,0,120
Kraft Heinz Co,COM,500754106,1920,21450,SH,,SOLE,,21450,0,0
Lamar Advertising Co-A,COM,512816109,913,13985,SH,,SOLE,,13985,0,0
Markel Corp,COM,570535104,11133,11987,SH,,SOLE,,10822,0,1165
Martin Marietta Materials,COM,573284106,370639,2069336,SH,,SOLE,,1952467,0,116869
Mastercard Inc Cl A,COM,57636q104,994815,9775132,SH,,SOLE,,9247901,0,527231
Mattel Inc,COM,577081102,201,6625,SH,,SOLE,,5125,0,1500
McCormick Inc,COM,579780206,3498,35005,SH,,SOLE,,30605,0,4400
McDonalds Corp,COM,580135101,419,3630,SH,,SOLE,,3630,0,0
Microsoft Corp,COM,594918104,2912,50550,SH,,SOLE,,49750,0,800
Nestle SA-Spons ADR,COM,641069406,1248980,15816601,SH,,SOLE,,14987851,0,828750
O Reilly Automotive Inc,COM,67103h107,308,1100,SH,,SOLE,,1100,0,0
Outfront Media Inc,COM,69007j106,5929,250700,SH,,SOLE,,208765,0,41935
Pepsico Inc,COM,713448108,4031,37062,SH,,SOLE,,36762,0,300
Pernod-Ricard SA-Unspon ADR,COM,714264207,1331,56225,SH,,SOLE,,56225,0,0
Philip Morris International In,COM,718172109,1002728,10314013,SH,,SOLE,,9883111,0,430902
Pioneer Nat Res,COM,723787107,501,2700,SH,,SOLE,,2700,0,0
PNC Bank Corp,COM,693475105,2145,23810,SH,,SOLE,,22310,0,1500
Procter & Gamble,COM,742718109,7072,78792,SH,,SOLE,,71392,0,7400
Royal Dutch Shell PLC ADR A,COM,780259206,2900,57920,SH,,SOLE,,47765,0,10155
Schlumberger LTD,COM,806857108,417,5300,SH,,SOLE,,5300,0,0
Scripps Networks Interactive C,COM,811065101,74795,1178056,SH,,SOLE,,1118652,0,59404
The Swatch Group AG ADR,COM,870123106,519,36650,SH,,SOLE,,36650,0,0
Unilever NV ADR,COM,904784709,660275,14322660,SH,,SOLE,,13566247,0,756413
Union Pac Corp,COM,907818108,245,2510,SH,,SOLE,,2510,0,0
Visa Inc Cl A,COM,92826c839,44825,542014,SH,,SOLE,,464110,0,77904
Vulcan Materials,COM,929160109,557,4900,SH,,SOLE,,4900,0,0
Wal Mart Stores Inc,COM,931142103,1643,22775,SH,,SOLE,,13375,0,9400
Wells Fargo,COM,949746101,700003,15808558,SH,,SOLE,,14963522,0,845036
JP Morgan Chase & Co WTS Exp 1,WTS,46634e114,5782,234750,SH,,SOLE,,234750,0,0
M&T Bank Corp Wts Exp 12/23/1,WTS,55261f112,3474,82139,SH,,SOLE,,82139,0,0
Wells Fargo WTS Exp 10/28/18,WTS,949746119,3345,268000,SH,,SOLE,,268000,0,0
A P Moller-Maersk A/S,COM,k0514g135,785,559,SH,,SOLE,,534,0,25
Anheuser-Busch InBev SA,COM,b639cj108,9993,76260,SH,,SOLE,,71750,0,4510
BIC,COM,f10080103,3214,21725,SH,,SOLE,,21425,0,300
Bollore,COM,f10659260,104,30000,SH,,SOLE,,30000,0,0
British American Tobacco PLC,COM,g1510j102,323915,5057949,SH,,SOLE,,4873263,0,184686
Cir SPA,COM,t28980125,128,125000,SH,,SOLE,,125000,0,0
Compagnie Financiere Richemont,COM,h25662182,728665,11931897,SH,,SOLE,,11330077,0,601820
Diageo PLC,COM,g42089113,268509,9351031,SH,,SOLE,,8896442,0,454589
Groupe Danone,COM,f12033134,265,3575,SH,,SOLE,,3575,0,0
Hanjaya Mandala Sampoerna,COM,y7121z146,208,687500,SH,,SOLE,,687500,0,0
Heineken Holding NV,COM,n39338194,867056,10808907,SH,,SOLE,,10259676,0,549231
Heineken NV,COM,n39427211,4382,49788,SH,,SOLE,,45763,0,4025
Indivior PLC,COM,g4766e108,110,27527,SH,,SOLE,,19927,0,7600
JC Decaux SA ACT,COM,f5333n100,203473,6291096,SH,,SOLE,,5927454,0,363642
Lindt & Spruengli AG - Reg,COM,h49983176,2326,34,SH,,SOLE,,34,0,0
Loreal SA,COM,f58149133,1261,6675,SH,,SOLE,,6495,0,180
LT Group Inc,COM,y5342m100,47,150000,SH,,SOLE,,150000,0,0
Nestle SA-REG,COM,h57312649,3262,41310,SH,,SOLE,,41000,0,310
Nielsen Holdings PLC ORD,COM,g6518l108,589,10986,SH,,SOLE,,10986,0,0
Pargesa Holding AG - B,COM,h60477207,1195,17401,SH,,SOLE,,17151,0,250
Pernod Ricard,COM,f72027109,745447,6296414,SH,,SOLE,,5984169,0,312245
PZ Cussons PLC,COM,g6850s109,71,15000,SH,,SOLE,,15000,0,0
Reckitt Benckiser Group PLC,COM,g74079107,2787,29537,SH,,SOLE,,21812,0,7725
SABMiller PLC,COM,g77395104,3840,65760,SH,,SOLE,,65760,0,0
Swedish Match AB,COM,w92277115,11058,300938,SH,,SOLE,,292138,0,8800
The Swatch Group AG-BR,COM,h83949141,277016,977574,SH,,SOLE,,928880,0,48694
Unilever NV,COM,n8981f271,1731,37500,SH,,SOLE,,37500,0,0
