Name,Ticker,Class,Shares,Change,Value,Change,% Port,% OS,Hist,Date
NESTLE SA,NSRGY,Common,9948147,185676,617328000,55494000,11.66,,Hist,06/30/2011
Philip Morris International Inc.,PM,Common,8126378,133937,542598000,18054000,10.25,,Hist,06/30/2011
BERKSHIRE HATHAWAY INC,BRK.A,Common,3715,159,431330000,-14237000,8.15,,Hist,06/30/2011
COMPAGNIE FINANCIERE RICHEMONT AG /FI,CFRHF,COM,5953888,64460,389265000,47751000,7.35,,Hist,06/30/2011
HEINEKEN HOLDING N V,HKHHF,Common,7016300,153718,358887000,28550000,6.78,,Hist,06/30/2011
SABMILLER PLC/FI,SBMRF,Common,8049426,306235,293544000,19550000,5.54,,Hist,06/30/2011
PERNOD RICARD S A /FI,PDRDF,Common,2830377,144348,278922000,27727000,5.27,,Hist,06/30/2011
WELLS FARGO & COMPANY/MN,WFC,Common,8075615,1214498,226602000,9036000,4.28,,Hist,06/30/2011
Mastercard Inc,MA,CL A,744059,55074,224215000,50784000,4.23,,Hist,06/30/2011
UNILEVER N V,UN,N Y SHS NEW,6485557,297005,213051000,18978000,4.02,,Hist,06/30/2011
"ALTRIA GROUP, INC.",MO,Common,7064590,124438,186576000,5924000,3.52,,Hist,06/30/2011
BRITISH AMERICAN TOBACCO PLC /ADR/,BTAFF,Common,4086758,56463,179183000,17545000,3.38,,Hist,06/30/2011
COMCAST CORP,CMCSK,Common,6892436,-224143,167004000,1757000,3.15,,Hist,06/30/2011
Anheuser-Busch InBev SA/NV,BUD,ADR,2866488,287974,166285000,18871000,3.14,,Hist,06/30/2011
DIAGEO PLC,DGEAF,Common,6364619,103140,130076000,11140000,2.46,,Hist,06/30/2011
MARTIN MARIETTA MATERIALS INC,MLM,Common,1545846,9674,123621000,-14128000,2.33,3.39,Hist,06/30/2011
BROWN FORMAN CORP,BF.A,CL A,1700263,63311,122419000,11155000,2.31,,Hist,06/30/2011
BERKSHIRE HATHAWAY INC,BRK/B,Common,1489280,1489280,115255000,115255000,2.18,,Hist,06/30/2011
"Scripps Networks Interactive, Inc.",SNI,Common,1619030,-116949,79138000,-7817000,1.49,,Hist,06/30/2011
Graham Holdings Co,WPO,Cl B,124804,-6259,52287000,-5061000,0.99,,Hist,06/30/2011
HASBRO INC,HAS,Common,942189,19868,41390000,-1812000,0.78,,Hist,06/30/2011
DIAGEO PLC,DEO,SPON ADR NEW,480241,979,39317000,2788000,0.74,,Hist,06/30/2011
JCDECAUX SA /FI,JCDXF,Common,975676,39100,31269000,-204000,0.59,,Hist,06/30/2011
ABBOTT LABORATORIES,ABT,Common,434745,-1800,22876000,1463000,0.43,,Hist,06/30/2011
SWATCH GROUP,SWGAF,Common,41869,3910,21074000,4224000,0.40,,Hist,06/30/2011
EXXON MOBIL CORP,XOM,Common,195412,-249,15903000,-558000,0.30,,Hist,06/30/2011
SWEDISH MATCH CORP,SWMAF,Common,444200,-6170,14931000,-54000,0.28,,Hist,06/30/2011
MILLER HERMAN INC,MLHR,Common,462861,-49050,12599000,-1473000,0.24,,Hist,06/30/2011
PROCTER & GAMBLE Co,PG,Common,194831,13075,12385000,1189000,0.23,,Hist,06/30/2011
CRANE CO /DE/,CR,Common,190597,-3000,9417000,41000,0.18,,Hist,06/30/2011
MARKEL CORP,MKL,Common,23394,-1285,9283000,-945000,0.18,,Hist,06/30/2011
GOLDMAN SACHS GROUP INC,GS,Common,63550,2300,8458000,-1256000,0.16,,Hist,06/30/2011
BROWN FORMAN CORP,BF.B,CL B,109360,-1702,8168000,582000,0.15,,Hist,06/30/2011
MEXICAN ECONOMIC DEVELOPMENT INC,FMX,ADR,106050,15800,7051000,1753000,0.13,,Hist,06/30/2011
CHEVRON CORP,CVX,Common,68176,-100,7011000,-328000,0.13,,Hist,06/30/2011
MCCORMICK & CO INC,MKC,Common,138000,-3800,6841000,59000,0.13,,Hist,06/30/2011
HORMEL FOODS CORP /DE/,HRL,Common,228446,-16920,6810000,-21000,0.13,,Hist,06/30/2011
PEPSICO INC,PEP,Common,92474,-35114,6513000,-1705000,0.12,,Hist,06/30/2011
AMERICAN EXPRESS CO,AXP,Common,123650,31250,6393000,2217000,0.12,,Hist,06/30/2011
VISA INC.,V,CL A,69875,20525,5888000,2255000,0.11,,Hist,06/30/2011
HEINEKEN N V/ /FI,HINKF,Common,90103,-100,5417000,482000,0.10,,Hist,06/30/2011
Royal Dutch Shell plc,RDS.A,SPONS ADR A,69344,17050,4932000,1122000,0.09,,Hist,06/30/2011
COCA COLA CO,KO,Common,71161,12350,4788000,886000,0.09,0.00,Hist,06/30/2011
PRAXAIR INC,PX,Common,35475,800,3845000,322000,0.07,,Hist,06/30/2011
STAPLES INC,SPLS,Common,239480,-800,3784000,-882000,0.07,0.03,Hist,06/30/2011
AMERICAN TOWER CORP /MA/,AMT,Common,71330,-70,3733000,33000,0.07,0.02,Hist,06/30/2011
LEUCADIA NATIONAL CORP,LUK,Common,101850,-4350,3473000,-514000,0.07,,Hist,06/30/2011
MICROSOFT CORP,MSFT,Common,133197,-28800,3463000,-650000,0.07,,Hist,06/30/2011
PARGESA HOLDING SA,PRGAF,Common,36700,-775,3395000,-210000,0.06,,Hist,06/30/2011
GROUPE DANONE,DANOY,ADR,222750,-2050,3323000,382000,0.06,,Hist,06/30/2011
BIC CORP,BICEF,Common,28225,-925,2727000,132000,0.05,,Hist,06/30/2011
PROGRESSIVE CORP/OH/,PGR,Common,122132,-5997,2611000,-96000,0.05,,Hist,06/30/2011
CARLISLE COMPANIES INC,CSL,Common,51634,0,2542000,242000,0.05,,Hist,06/30/2011
DOVER Corp,DOV,Common,36350,1400,2465000,167000,0.05,0.02,Hist,06/30/2011
COSTCO WHOLESALE CORP /NEW,COST,Common,25780,0,2094000,204000,0.04,,Hist,06/30/2011
INTERNATIONAL BUSINESS MACHINES CORP,IBM,Common,11002,-145,1887000,69000,0.04,,Hist,06/30/2011
CONOCOPHILLIPS,COP,Common,23991,0,1804000,-112000,0.03,,Hist,06/30/2011
Vulcan Materials CO,VMC,Common,38925,25625,1500000,894000,0.03,,Hist,06/30/2011
A P MOLLER-MAERSK A/S,AMKAF,Common,164,-2,1357000,-171000,0.03,,Hist,06/30/2011
LINDT & SPRUENGLI AG-REG,LDSRF,Common,36,0,1310000,135000,0.02,,Hist,06/30/2011
WAL MART STORES INC,WMT,Common,24578,500,1306000,53000,0.02,0.00,Hist,06/30/2011
HEINEKEN NV /ADR/,HINKY,Common,40762,0,1225000,110000,0.02,,Hist,06/30/2011
"PNC FINANCIAL SERVICES GROUP, INC.",PNC,Common,18374,1100,1095000,7000,0.02,,Hist,06/30/2011
PRECISION CASTPARTS CORP,PCP,Common,6600,0,1087000,116000,0.02,,Hist,06/30/2011
FULTON FINANCIAL CORP,FULT,Common,98591,-3129,1056000,-74000,0.02,,Hist,06/30/2011
WELLS FARGO & COMPANY/MN,WFC/WS,WARRANTS,107750,107750,1002000,1002000,0.02,,Hist,06/30/2011
SABMILLER PLC/FI,SBMRY,Common,27100,0,988000,29000,0.02,,Hist,06/30/2011
EATON VANCE SENIOR INCOME TRUST,EVF,Common,135998,-241,979000,-13000,0.02,,Hist,06/30/2011
GENERAL DYNAMICS CORP,GD,Common,12900,0,961000,-27000,0.02,,Hist,06/30/2011
JPMORGAN CHASE & CO,JPM,Common,23000,-1200,942000,-174000,0.02,,Hist,06/30/2011
APTARGROUP INC,ATR,Common,17884,0,936000,39000,0.02,0.03,Hist,06/30/2011
VORNADO REALTY TRUST,VNO,SH BEN INT,10000,0,932000,57000,0.02,,Hist,06/30/2011
DUPONT E I DE NEMOURS & CO,DD,Common,17184,0,929000,-16000,0.02,,Hist,06/30/2011
"CISCO SYSTEMS, INC.",CSCO,Common,59000,-4450,921000,-167000,0.02,0.00,Hist,06/30/2011
PERNOD RICARD S A /FI,PDRDY,COM,45655,0,900000,46000,0.02,,Hist,06/30/2011
JOHNSON & JOHNSON,JNJ,Common,13101,-50,871000,92000,0.02,,Hist,06/30/2011
DEERE & CO,DE,Common,10300,0,849000,-149000,0.02,,Hist,06/30/2011
COMCAST CORP,CMCSA,Common,29946,-40,759000,18000,0.01,,Hist,06/30/2011
JPMORGAN CHASE & CO,JPM/WS,W EXP 10/28/2018,52500,52500,707000,707000,0.01,,Hist,06/30/2011
BB&T CORP,BBT,Common,25150,0,675000,-15000,0.01,,Hist,06/30/2011
MCDONALDS CORP,MCD,Common,7610,-100,642000,55000,0.01,,Hist,06/30/2011
MATTEL INC /DE/,MAT,Common,22625,0,622000,58000,0.01,,Hist,06/30/2011
SCHLUMBERGER LIMITED/NV,SLB,Common,6575,0,568000,-45000,0.01,,Hist,06/30/2011
PIONEER NATURAL RESOURCES CO,PXD,Common,6300,-200,564000,-98000,0.01,0.01,Hist,06/30/2011
Walt Disney Co,DIS,Common,14175,0,553000,-58000,0.01,0.00,Hist,06/30/2011
BAT INDUSTRIES PLC /FI,BTI,Common,5975,0,526000,42000,0.01,,Hist,06/30/2011
ANGLO AMERICAN PLC,AAUKF,Common,10500,0,520000,-20000,0.01,,Hist,06/30/2011
3M CO,MMM,Common,4475,0,424000,6000,0.01,,Hist,06/30/2011
DANAHER CORP /DE/,DHR,Common,7012,0,372000,8000,0.01,,Hist,06/30/2011
BP PLC,BP,SPONSORED ADR,8110,-400,359000,-17000,0.01,,Hist,06/30/2011
"SWISS HELVETIA FUND, INC.",SWZ,Common,22500,2500,337000,61000,0.01,,Hist,06/30/2011
HEARTLAND EXPRESS INC,HTLD,Common,20232,-2733,335000,-68000,0.01,,Hist,06/30/2011
RECKITT BENCKISER GROUP PLC,RBGPF,Common,5600,0,309000,22000,0.01,,Hist,06/30/2011
BARRY CALLEBAUT AG,BYCBF,Common,300,0,297000,51000,0.01,,Hist,06/30/2011
"Merck & Co., Inc.",MRK,COM,7586,1000,268000,51000,0.01,,Hist,06/30/2011
SCOTTS MIRACLE-GRO CO,SMG,CL A,5200,-425,267000,-58000,0.01,,Hist,06/30/2011
ROCHE HOLDING LTD,RHHBY,Common,1575,0,263000,37000,0.00,,Hist,06/30/2011
IMPERIAL TOBACCO GROUP PLC,ITYBF,Common,7750,0,258000,19000,0.00,,Hist,06/30/2011
GENERAL ELECTRIC CO,GE,Common,13625,-4500,257000,-106000,0.00,,Hist,06/30/2011
AT&T CORP,T,Common,7753,-100,244000,4000,0.00,,Hist,06/30/2011
GOOGLE INC.,GOOG,CL A,470,0,238000,-38000,0.00,,Hist,06/30/2011
MONSANTO CO /NEW/,MON,Common,3190,0,231000,0,0.00,,Hist,06/30/2011
NORTHERN TRUST CORP,NTRS,Common,5000,0,230000,-24000,0.00,,Hist,06/30/2011
YUM BRANDS INC,YUM,Common,4000,-700,221000,-20000,0.00,,Hist,06/30/2011
OCCIDENTAL PETROLEUM CORP /DE/,OXY,Common,2125,0,221000,-1000,0.00,,Hist,06/30/2011
LEXINGTON REALTY TRUST,LXP,Common,23957,0,219000,-5000,0.00,,Hist,06/30/2011
SCHIBSTED A/S,SBSNF,Common,6587,6587,211000,211000,0.00,,Hist,06/30/2011
SUSQUEHANNA BANCSHARES INC,SUSQ,Common,19581,0,157000,-26000,0.00,,Hist,06/30/2011
WAL MART DE MEXICO SA DE CV /FI,WMMVF,Common,22650,0,67000,-1000,0.00,,Hist,06/30/2011
TigerLogic CORP,TIGR,COM,10000,0,41000,-4000,0.00,,Hist,06/30/2011
SUNCOR ENERGY INC,SU,COM,0,-5300,0,-237000,0.00,0.00,Hist,06/30/2011
Unum Group,UNM,Common,0,-7650,0,-201000,0.00,0.00,Hist,06/30/2011
AES CORP,AES,Common,0,-27300,0,-355000,0.00,0.00,Hist,06/30/2011
LAMAR ADVERTISING CO/NEW,LAMR,Common,0,-6625,0,-245000,0.00,0.00,Hist,06/30/2011
