Name,Ticker,Class,Shares,Change,Value,Change,% Port,% OS,Hist,Date
NESTLE SA,NSRGY,Common,13192876,501300,863815000,-56272000,10.07,,Hist,06/30/2013
BERKSHIRE HATHAWAY INC,BRK.A,Common,4891,58,824623000,69322000,9.61,0.00,Hist,06/30/2013
Philip Morris International Inc.,PM,Common,9191748,367942,796189000,-21866000,9.28,0.56,Hist,06/30/2013
COMPAGNIE FINANCIERE RICHEMONT AG /FI,CFRHF,COM,6797657,-528190,600269000,23918000,7.00,,Hist,06/30/2013
Mastercard Inc,MA,CL A,979977,36016,562997000,52191000,6.56,0.81,Hist,06/30/2013
WELLS FARGO & COMPANY/MN,WFC,Common,13532418,848135,558483000,89291000,6.51,0.26,Hist,06/30/2013
HEINEKEN HOLDING N V,HKHHF,Common,9723445,167105,544805000,-68634000,6.35,,Hist,06/30/2013
SABMILLER PLC/FI,SBMRF,Common,10083853,212687,482146000,-37066000,5.62,,Hist,06/30/2013
PERNOD RICARD S A /FI,PDRDF,Common,4146182,199174,459124000,-33568000,5.35,,Hist,06/30/2013
Anheuser-Busch InBev SA/NV,BUD,ADR,4573748,263360,412826000,-16273000,4.81,,Hist,06/30/2013
UNILEVER N V,UN,N Y SHS NEW,10066606,1139201,395718000,29694000,4.61,,Hist,06/30/2013
"ALTRIA GROUP, INC.",MO,Common,7554679,196174,264338000,11279000,3.08,0.38,Hist,06/30/2013
BERKSHIRE HATHAWAY INC,BRK/B,Common,2232596,40328,249872000,21438000,2.91,0.20,Hist,06/30/2013
BRITISH AMERICAN TOBACCO PLC /ADR/,BTAFF,Common,4722175,93685,241183000,-6698000,2.81,,Hist,06/30/2013
DIAGEO PLC,DGEAF,Common,7487269,248344,213490000,-14592000,2.49,,Hist,06/30/2013
BROWN FORMAN CORP,BF.A,CL A,2826950,14580,191271000,-15719000,2.23,1.32,Hist,06/30/2013
COMCAST CORP,CMCSK,Common,4697779,101261,186361000,4293000,2.17,0.22,Hist,06/30/2013
MARTIN MARIETTA MATERIALS INC,MLM,Common,1737505,32929,171005000,-2896000,1.99,3.77,Hist,06/30/2013
"Scripps Networks Interactive, Inc.",SNI,Common,1401230,-1920,93546000,3267000,1.09,0.96,Hist,06/30/2013
DIAGEO PLC,DEO,SPON ADR NEW,411642,3264,47318000,-4072000,0.55,,Hist,06/30/2013
Graham Holdings Co,WPO,Cl B,86602,-22346,41896000,-6804000,0.49,1.17,Hist,06/30/2013
JCDECAUX SA /FI,JCDXF,Common,1445810,107084,39381000,2628000,0.46,,Hist,06/30/2013
SWATCH GROUP,SWGAF,Common,57048,1167,31172000,-1402000,0.36,,Hist,06/30/2013
HASBRO INC,HAS,Common,657633,-143776,29482000,-5732000,0.34,0.51,Hist,06/30/2013
BROWN FORMAN CORP,BF.B,CL B,350679,86988,23688000,4860000,0.28,0.16,Hist,06/30/2013
EXXON MOBIL CORP,XOM,Common,227061,65900,20515000,5993000,0.24,0.01,Hist,06/30/2013
VISA INC.,V,CL A,108933,3353,19908000,1976000,0.23,0.38,Hist,06/30/2013
SWEDISH MATCH CORP,SWMAF,Common,376579,-6609,13285000,1363000,0.15,,Hist,06/30/2013
MEXICAN ECONOMIC DEVELOPMENT INC,FMX,ADR,110595,-400,11412000,-1186000,0.13,,Hist,06/30/2013
PROCTER & GAMBLE Co,PG,Common,142105,-7330,10941000,-574000,0.13,0.01,Hist,06/30/2013
CRANE CO /DE/,CR,Common,180652,-4820,10825000,465000,0.13,0.31,Hist,06/30/2013
MARKEL CORP,MKL,Common,19956,0,10516000,468000,0.12,0.21,Hist,06/30/2013
MILLER HERMAN INC,MLHR,Common,379870,-10670,10283000,-523000,0.12,0.65,Hist,06/30/2013
AMERICAN EXPRESS CO,AXP,Common,116165,200,8684000,861000,0.10,0.01,Hist,06/30/2013
GOLDMAN SACHS GROUP INC,GS,Common,57225,-1545,8655000,7000,0.10,0.01,Hist,06/30/2013
CHEVRON CORP,CVX,Common,65471,15250,7748000,1781000,0.09,0.00,Hist,06/30/2013
COCA COLA CO,KO,Common,181303,525,7272000,-39000,0.08,0.00,Hist,06/30/2013
DOVER Corp,DOV,Common,85045,-1700,6605000,283000,0.08,0.05,Hist,06/30/2013
PEPSICO INC,PEP,Common,60852,-2054,4977000,1000,0.06,0.00,Hist,06/30/2013
HORMEL FOODS CORP /DE/,HRL,Common,125784,-6000,4853000,-592000,0.06,0.05,Hist,06/30/2013
Royal Dutch Shell plc,RDS.A,SPONS ADR A,74810,625,4773000,-61000,0.06,,Hist,06/30/2013
AbbVie Inc.,ABBV,COM,87127,87127,3602000,3602000,0.04,0.01,Hist,06/30/2013
HEINEKEN N V/ /FI,HINKF,Common,54588,-375,3473000,-677000,0.04,,Hist,06/30/2013
PRAXAIR INC,PX,Common,29675,-585,3417000,42000,0.04,0.01,Hist,06/30/2013
MCCORMICK & CO INC,MKC,Common,48430,-4400,3408000,-478000,0.04,0.04,Hist,06/30/2013
GROUPE DANONE,DANOY,ADR,208050,-4025,3119000,163000,0.04,,Hist,06/30/2013
INTERNATIONAL BUSINESS MACHINES CORP,IBM,Common,16231,3741,3102000,438000,0.04,0.00,Hist,06/30/2013
ABBOTT LABORATORIES,ABT,Common,86303,-1397,3010000,-88000,0.04,0.01,Hist,06/30/2013
NESTLE SA /FI,NSRGF,Common,40000,0,2619000,-281000,0.03,,Hist,06/30/2013
WELLS FARGO & COMPANY/MN,WFC/WS,WARRANTS,177750,0,2430000,297000,0.03,,Hist,06/30/2013
JPMORGAN CHASE & CO,JPM/WS,W EXP 10/28/2018,150750,0,2352000,204000,0.03,,Hist,06/30/2013
PRECISION CASTPARTS CORP,PCP,Common,10250,250,2317000,421000,0.03,0.01,Hist,06/30/2013
PROGRESSIVE CORP/OH/,PGR,Common,89811,-6800,2283000,-158000,0.03,0.01,Hist,06/30/2013
BIC CORP,BICEF,Common,22750,-575,2277000,-436000,0.03,,Hist,06/30/2013
COMCAST CORP,CMCSA,Common,53933,-1090,2252000,-58000,0.03,0.00,Hist,06/30/2013
DUPONT E I DE NEMOURS & CO,DD,Common,42825,15207,2248000,890000,0.03,0.00,Hist,06/30/2013
MICROSOFT CORP,MSFT,Common,64267,-1350,2220000,343000,0.03,0.00,Hist,06/30/2013
EATON VANCE SENIOR INCOME TRUST,EVF,Common,277308,-66622,2085000,-522000,0.02,,Hist,06/30/2013
"PNC FINANCIAL SERVICES GROUP, INC.",PNC,Common,26551,0,1936000,170000,0.02,0.00,Hist,06/30/2013
PARGESA HOLDING SA,PRGAF,Common,27675,-1500,1844000,-142000,0.02,,Hist,06/30/2013
LINDT & SPRUENGLI AG-REG,LDSRF,Common,39,1,1697000,-22000,0.02,,Hist,06/30/2013
WAL MART STORES INC,WMT,Common,22684,-255,1690000,-27000,0.02,0.00,Hist,06/30/2013
BB&T CORP,BBT,Common,41281,285,1399000,112000,0.02,0.01,Hist,06/30/2013
"ANHEUSER-BUSCH COMPANIES, LLC",AHBIF,COM,15000,0,1333000,-155000,0.02,,Hist,06/30/2013
SABMILLER PLC/FI,SBMRY,Common,25450,775,1217000,-81000,0.01,,Hist,06/30/2013
