NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE,SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE
Eaton Vance Sr Income TR SF,SH BEN INT,27826S103,1864,292239,SH,,SOLE,,292239,0,0
3M Company,COM,88579Y101,280,1425,SH,,SOLE,,1425,0,0
Abbott Labs,COM,002824100,851,13960,SH,,SOLE,,11960,0,2000
AbbVie Inc,COM,00287Y109,1294,13966,SH,,SOLE,,11966,0,2000
Alphabet Inc Cl A,COM,02079K305,2113,1871,SH,,SOLE,,1787,0,84
Alphabet Inc Cl C,COM,02079K107,63284,56724,SH,,SOLE,,54107,0,2617
Altria Group Inc,COM,02209S103,314678,5541078,SH,,SOLE,,5342154,0,198923
American Express,COM,025816109,17679,180401,SH,,SOLE,,150397,0,30004
American Intl Group Inc,COM,026874784,304,5735,SH,,SOLE,,5735,0,0
Apergy Corp,COM,03755L104,1029,24644,SH,,SOLE,,20807,0,3837
Apple Computer Inc,COM,037833100,314,1695,SH,,SOLE,,1450,0,245
Bank Amer Corp,COM,060505104,1352,47975,SH,,SOLE,,47975,0,0
BB&T Corp,COM,054937107,534,10578,SH,,SOLE,,10578,0,0
Berkshire Hathaway Inc Cl A,COM,084670108,1303307,4621,SH,,SOLE,,4322,0,299
Berkshire Hathaway Inc Cl B,COM,084670702,471785,2527648,SH,,SOLE,,2385664,0,141984
BP PLC ADR,COM,055622104,237,5198,SH,,SOLE,,5198,0,0
Brown-Forman Corp Cl A,COM,115637100,210460,4307409,SH,,SOLE,,4128751,0,178658
Brown-Forman Corp Cl B,COM,115637209,129632,2645012,SH,,SOLE,,2453185,0,191827
Centerstate BKS FLA Inc,COM,15201P109,218,7304,SH,,SOLE,,7304,0,0
Chemours Co,COM,163851108,285,6429,SH,,SOLE,,6429,0,0
Chevron Corp,COM,166764100,1395,11033,SH,,SOLE,,10633,0,400
CIE Financiere Richemont-Unsp,COM,204319107,1865,220170,SH,,SOLE,,220170,0,0
Coca-Cola,COM,191216100,5350,121983,SH,,SOLE,,105483,0,16500
Comcast Corp New Cl A,COM,20030N101,232283,7079637,SH,,SOLE,,6682785,0,396852
Costco Whsl Corp,COM,22160K105,1144,5473,SH,,SOLE,,5318,0,155
Coty Inc-CL A,COM,222070203,495,35077,SH,,SOLE,,32599,0,2478
Crane,COM,224399105,9603,119843,SH,,SOLE,,109043,0,10800
Danone ADR,COM,23636T100,12449,847980,SH,,SOLE,,748715,0,99265
Diageo PLC Sponsored ADR,COM,25243Q205,57986,402655,SH,,SOLE,,369180,0,33475
Disney Walt Productions,COM,254687106,482,4603,SH,,SOLE,,3635,0,968
Dover Corp,COM,260003108,3755,51291,SH,,SOLE,,42016,0,9275
DowDupont Inc,COM,26078J100,3141,47646,SH,,SOLE,,47646,0,0
Exxon Mobil Corp,COM,30231G102,12771,154366,SH,,SOLE,,144422,0,9944
Fomento Economico Mex Sp ADR,COM,344419106,14396,163977,SH,,SOLE,,140372,0,23605
Fulton Finl Corp,COM,360271100,1984,120254,SH,,SOLE,,38579,0,81675
Heineken NV Spons ADR,COM,423012301,2001,39852,SH,,SOLE,,39852,0,0
Herman Miller Inc,COM,600544100,6641,195891,SH,,SOLE,,177741,0,18150
Hormel Foods Corp,COM,440452100,5902,158601,SH,,SOLE,,138446,0,20155
I B M,COM,459200101,769,5503,SH,,SOLE,,3328,0,2175
J.P. Morgan Chase,COM,46625H100,208,2000,SH,,SOLE,,2000,0,0
Johnson & Johnson,COM,478160104,208,1715,SH,,SOLE,,900,0,815
Kraft Heinz Co,COM,500754106,1478,23535,SH,,SOLE,,23535,0,0
Lamar Advertising Co-A,COM,512816109,816,11945,SH,,SOLE,,11945,0,0
Markel Corp,COM,570535104,8772,8090,SH,,SOLE,,6940,0,1150
Martin Marietta Materials,COM,573284106,444692,1991188,SH,,SOLE,,1867858,0,123331
Mastercard Inc Cl A,COM,57636Q104,1701791,8659633,SH,,SOLE,,8194930,0,464703
McCormick Inc,COM,579780206,3884,33455,SH,,SOLE,,28555,0,4900
McDonalds Corp,COM,580135101,465,2965,SH,,SOLE,,2965,0,0
Microsoft Corp,COM,594918104,380,3850,SH,,SOLE,,3365,0,485
Nestle SA-Spons ADR,COM,641069406,1215216,15694379,SH,,SOLE,,14846123,0,848255
O Reilly Automotive Inc,COM,67103H107,301,1100,SH,,SOLE,,1100,0,0
Outfront Media Inc,COM,69007J106,8857,455386,SH,,SOLE,,405576,0,49810
Pepsico Inc,COM,713448108,3503,32174,SH,,SOLE,,28233,0,3941
Pernod-Ricard SA-Unspon ADR,COM,714264207,1736,53140,SH,,SOLE,,53140,0,0
Philip Morris International In,COM,718172109,839489,10397438,SH,,SOLE,,9924045,0,473393
Pioneer Nat Res,COM,723787107,492,2600,SH,,SOLE,,2600,0,0
PNC Bank Corp,COM,693475105,2832,20960,SH,,SOLE,,12060,0,8900
Procter & Gamble,COM,742718109,3813,48842,SH,,SOLE,,45787,0,3055
Royal Dutch Shell PLC ADR A,COM,780259206,3153,45550,SH,,SOLE,,39330,0,6220
Schlumberger LTD,COM,806857108,283,4225,SH,,SOLE,,1225,0,3000
The Swatch Group AG ADR,COM,870123106,1162,48990,SH,,SOLE,,48990,0,0
Unilever NV ADR,COM,904784709,833047,14950600,SH,,SOLE,,14119793,0,830806
Union Pac Corp,COM,907818108,271,1910,SH,,SOLE,,1910,0,0
US Bancorp,COM,902973304,216,4314,SH,,SOLE,,800,0,3514
Visa Inc Cl A,COM,92826C839,82650,624012,SH,,SOLE,,548013,0,75999
Vulcan Materials,COM,929160109,7080,54855,SH,,SOLE,,48580,0,6275
Wal Mart Stores Inc,COM,931142103,454,5295,SH,,SOLE,,4345,0,950
Wells Fargo,COM,949746101,680458,12273777,SH,,SOLE,,11586753,0,687024
Hostess Brands Inc Wts Exp 11/,WTS,44109J114,98,57500,SH,,SOLE,,57500,0,0
JP Morgan Chase & Co WTS Exp 1,WTS,46634E114,946,14915,SH,,SOLE,,14915,0,0
M&T Bank Corp Wts Exp 12/23/1,WTS,55261F112,709,7360,SH,,SOLE,,7360,0,0
Wells Fargo WTS Exp 10/28/18,WTS,949746119,1801,81785,SH,,SOLE,,81785,0,0
Anheuser-Busch InBev SA,COM,B639CJ108,813187,8051913,SH,,SOLE,,7624159,0,427754
Anheuser-Busch InBev SA Restri,COM,b639cj116,5249,51983,SH,,SOLE,,51983,0,0
BIC,COM,F10080103,1952,21055,SH,,SOLE,,20620,0,435
Bollore,COM,F10659260,140,30000,SH,,SOLE,,30000,0,0
British American Tobacco PLC,COM,G1510J102,63421,1254227,SH,,SOLE,,1209078,0,45149
Cir SPA,COM,T28980125,153,125000,SH,,SOLE,,125000,0,0
Compagnie Financiere Richemont,COM,H25662182,974573,11503826,SH,,SOLE,,10915520,0,588306
Diageo PLC,COM,G42089113,287938,8012254,SH,,SOLE,,7633482,0,378772
Groupe Danone,COM,F12033134,240,3275,SH,,SOLE,,3275,0,0
Hanjaya Mandala Sampoerna,COM,Y7121Z146,172,687500,SH,,SOLE,,687500,0,0
Heineken Holding NV,COM,N39338194,1012502,10562757,SH,,SOLE,,10017806,0,544951
Heineken NV,COM,N39427211,4619,45988,SH,,SOLE,,43088,0,2900
JC Decaux SA ACT,COM,F5333N100,258037,7711342,SH,,SOLE,,7281140,0,430202
Lindt & Spruengli AG - Reg,COM,H49983176,2050,27,SH,,SOLE,,27,0,0
Loreal SA,COM,F58149133,1188,4810,SH,,SOLE,,4630,0,180
LT Group Inc,COM,Y5342M100,317,935000,SH,,SOLE,,935000,0,0
Nestle SA-REG,COM,H57312649,3175,41000,SH,,SOLE,,41000,0,0
Nielsen Holdings PLC ORD,COM,G6518L108,587,18975,SH,,SOLE,,17475,0,1500
Pargesa Holding AG - B,COM,H60477207,997,11776,SH,,SOLE,,11526,0,250
Pernod Ricard,COM,F72027109,962585,5893126,SH,,SOLE,,5613128,0,279998
