Name,Ticker,Class,Shares,Change,Value,Change,% Port,% OS,Hist,Date
NESTLE SA,NSRGY,Common,11656336,675721,735497000,79445000,10.72,,Hist,09/30/2012
Philip Morris International Inc.,PM,Common,7749570,-392919,696996000,-13518000,10.16,,Hist,09/30/2012
BERKSHIRE HATHAWAY INC,BRK.A,Common,4506,129,597946000,51062000,8.72,,Hist,09/30/2012
HEINEKEN HOLDING N V,HKHHF,Common,9167977,351250,445779000,50588000,6.50,,Hist,09/30/2012
COMPAGNIE FINANCIERE RICHEMONT AG /FI,CFRHF,COM,7027240,377933,421724000,57470000,6.15,,Hist,09/30/2012
PERNOD RICARD S A /FI,PDRDF,Common,3640804,84187,408952000,28642000,5.96,,Hist,09/30/2012
SABMILLER PLC/FI,SBMRF,Common,9064551,112305,398139000,39386000,5.80,,Hist,09/30/2012
Mastercard Inc,MA,CL A,874437,43945,394791000,37588000,5.76,,Hist,09/30/2012
WELLS FARGO & COMPANY/MN,WFC,Common,10708150,660591,369752000,33762000,5.39,,Hist,09/30/2012
Anheuser-Busch InBev SA/NV,BUD,ADR,3831822,142175,329192000,35312000,4.80,,Hist,09/30/2012
UNILEVER N V,UN,N Y SHS NEW,8030522,336995,284923000,28344000,4.15,,Hist,09/30/2012
"ALTRIA GROUP, INC.",MO,Common,6884537,-485710,229875000,-24767000,3.35,,Hist,09/30/2012
BRITISH AMERICAN TOBACCO PLC /ADR/,BTAFF,Common,4229816,-214923,217170000,-8807000,3.17,,Hist,09/30/2012
DIAGEO PLC,DGEAF,Common,6818857,18987,191538000,16414000,2.79,,Hist,09/30/2012
BERKSHIRE HATHAWAY INC,BRK/B,Common,2012001,129705,177458000,20606000,2.59,,Hist,09/30/2012
BROWN FORMAN CORP,BF.A,CL A,2751584,918077,172002000,-2181000,2.51,,Hist,09/30/2012
COMCAST CORP,CMCSK,Common,4571450,-101826,159132000,12391000,2.32,,Hist,09/30/2012
MARTIN MARIETTA MATERIALS INC,MLM,Common,1655921,24055,137226000,8602000,2.00,3.61,Hist,09/30/2012
"Scripps Networks Interactive, Inc.",SNI,Common,1433528,-23809,87775000,4911000,1.28,,Hist,09/30/2012
DIAGEO PLC,DEO,SPON ADR NEW,407714,-1610,45962000,3773000,0.67,,Hist,09/30/2012
Graham Holdings Co,WPO,Cl B,119675,-1737,43446000,-1940000,0.63,,Hist,09/30/2012
HASBRO INC,HAS,Common,899297,-21172,34322000,3146000,0.50,,Hist,09/30/2012
JCDECAUX SA /FI,JCDXF,Common,1236036,34500,28082000,1566000,0.41,,Hist,09/30/2012
SWATCH GROUP,SWGAF,Common,51591,498,20597000,435000,0.30,,Hist,09/30/2012
SWEDISH MATCH CORP,SWMAF,Common,405325,-14575,16419000,-535000,0.24,,Hist,09/30/2012
EXXON MOBIL CORP,XOM,Common,172540,-1734,15779000,866000,0.23,,Hist,09/30/2012
VISA INC.,V,CL A,97037,1005,13030000,1158000,0.19,,Hist,09/30/2012
PROCTER & GAMBLE Co,PG,Common,165494,-20410,11479000,92000,0.17,,Hist,09/30/2012
MEXICAN ECONOMIC DEVELOPMENT INC,FMX,ADR,107635,-4274,9900000,-88000,0.14,,Hist,09/30/2012
MARKEL CORP,MKL,Common,20259,125,9289000,396000,0.14,,Hist,09/30/2012
BROWN FORMAN CORP,BF.B,CL B,136548,45900,8910000,131000,0.13,,Hist,09/30/2012
MILLER HERMAN INC,MLHR,Common,412750,-9836,8024000,198000,0.12,,Hist,09/30/2012
CRANE CO /DE/,CR,Common,191097,1300,7631000,726000,0.11,,Hist,09/30/2012
ABBOTT LABORATORIES,ABT,Common,104550,-250606,7168000,-15729000,0.10,,Hist,09/30/2012
GOLDMAN SACHS GROUP INC,GS,Common,59465,-250,6760000,1036000,0.10,0.01,Hist,09/30/2012
AMERICAN EXPRESS CO,AXP,Common,116650,-8400,6633000,-646000,0.10,,Hist,09/30/2012
COCA COLA CO,KO,Common,173623,87424,6586000,-154000,0.10,,Hist,09/30/2012
CHEVRON CORP,CVX,Common,55236,-7988,6438000,-232000,0.09,,Hist,09/30/2012
PEPSICO INC,PEP,Common,75982,-3224,5377000,-220000,0.08,0.00,Hist,09/30/2012
DOVER Corp,DOV,Common,89460,3150,5322000,695000,0.08,0.05,Hist,09/30/2012
Royal Dutch Shell plc,RDS.A,SPONS ADR A,74125,-3150,5145000,-66000,0.08,,Hist,09/30/2012
HORMEL FOODS CORP /DE/,HRL,Common,146251,-7220,4276000,-393000,0.06,,Hist,09/30/2012
MCCORMICK & CO INC,MKC,Common,55635,-5300,3452000,-244000,0.05,,Hist,09/30/2012
HEINEKEN N V/ /FI,HINKF,Common,57464,-2573,3430000,295000,0.05,,Hist,09/30/2012
PRAXAIR INC,PX,Common,30780,-2775,3197000,-451000,0.05,,Hist,09/30/2012
BIC CORP,BICEF,Common,23375,-4300,2827000,-32000,0.04,,Hist,09/30/2012
GROUPE DANONE,DANOY,ADR,216525,-5950,2669000,-99000,0.04,,Hist,09/30/2012
NESTLE SA /FI,NSRGF,Common,40000,0,2524000,134000,0.04,,Hist,09/30/2012
PROGRESSIVE CORP/OH/,PGR,Common,111210,-4600,2306000,-106000,0.03,,Hist,09/30/2012
INTERNATIONAL BUSINESS MACHINES CORP,IBM,Common,11033,0,2289000,131000,0.03,,Hist,09/30/2012
MICROSOFT CORP,MSFT,Common,69167,-1918,2058000,-116000,0.03,0.00,Hist,09/30/2012
PARGESA HOLDING SA,PRGAF,Common,29425,-5525,1951000,-128000,0.03,,Hist,09/30/2012
EATON VANCE SENIOR INCOME TRUST,EVF,Common,238498,1695,1813000,151000,0.03,,Hist,09/30/2012
WAL MART STORES INC,WMT,Common,24128,-150,1781000,88000,0.03,0.00,Hist,09/30/2012
WELLS FARGO & COMPANY/MN,WFC/WS,WARRANTS,177750,0,1754000,188000,0.03,,Hist,09/30/2012
"PNC FINANCIAL SERVICES GROUP, INC.",PNC,Common,26717,-250,1686000,38000,0.02,,Hist,09/30/2012
JPMORGAN CHASE & CO,JPM/WS,W EXP 10/28/2018,150750,5000,1551000,127000,0.02,,Hist,09/30/2012
DUPONT E I DE NEMOURS & CO,DD,Common,27150,0,1365000,-8000,0.02,,Hist,09/30/2012
BB&T CORP,BBT,Common,40150,0,1331000,92000,0.02,,Hist,09/30/2012
LINDT & SPRUENGLI AG-REG,LDSRF,Common,36,0,1300000,-23000,0.02,,Hist,09/30/2012
"ANHEUSER-BUSCH COMPANIES, LLC",AHBIF,COM,15000,0,1277000,110000,0.02,,Hist,09/30/2012
PRECISION CASTPARTS CORP,PCP,Common,7200,0,1176000,-8000,0.02,0.00,Hist,09/30/2012
HEINEKEN NV /ADR/,HINKY,Common,35471,0,1058000,132000,0.02,,Hist,09/30/2012
DEERE & CO,DE,Common,12450,100,1027000,28000,0.01,,Hist,09/30/2012
CONOCOPHILLIPS,COP,Common,16509,0,944000,21000,0.01,,Hist,09/30/2012
FULTON FINANCIAL CORP,FULT,Common,95168,-1000,937000,-24000,0.01,0.05,Hist,09/30/2012
A P MOLLER-MAERSK A/S,AMKAF,Common,137,-23,930000,-67000,0.01,,Hist,09/30/2012
COMCAST CORP,CMCSA,Common,25163,0,899000,95000,0.01,,Hist,09/30/2012
SABMILLER PLC/FI,SBMRY,Common,18800,0,826000,73000,0.01,,Hist,09/30/2012
LEUCADIA NATIONAL CORP,LUK,Common,35750,-1000,813000,31000,0.01,,Hist,09/30/2012
MATTEL INC /DE/,MAT,Common,22625,0,803000,69000,0.01,0.01,Hist,09/30/2012
PERNOD RICARD S A /FI,PDRDY,COM,35675,0,801000,38000,0.01,,Hist,09/30/2012
LAMAR ADVERTISING CO/NEW,LAMR,Common,21125,-700,783000,159000,0.01,,Hist,09/30/2012
JPMORGAN CHASE & CO,JPM,Common,17100,-3000,692000,-26000,0.01,,Hist,09/30/2012
Walt Disney Co,DIS,Common,12000,0,627000,45000,0.01,0.00,Hist,09/30/2012
COSTCO WHOLESALE CORP /NEW,COST,Common,6155,-10700,616000,-985000,0.01,,Hist,09/30/2012
MCDONALDS CORP,MCD,Common,6560,-275,602000,-3000,0.01,,Hist,09/30/2012
GOOGLE INC.,GOOG,CL A,796,25,601000,154000,0.01,,Hist,09/30/2012
CARLISLE COMPANIES INC,CSL,Common,10834,0,563000,-11000,0.01,,Hist,09/30/2012
GENERAL DYNAMICS CORP,GD,Common,8225,-15,544000,0,0.01,,Hist,09/30/2012
"SWISS HELVETIA FUND, INC.",SWZ,Common,50000,10000,539000,134000,0.01,,Hist,09/30/2012
SCHLUMBERGER LIMITED/NV,SLB,Common,6925,1000,501000,116000,0.01,,Hist,09/30/2012
BAT INDUSTRIES PLC /FI,BTI,Common,4850,0,498000,3000,0.01,,Hist,09/30/2012
RECKITT BENCKISER GROUP PLC,RBGPF,Common,8175,1175,471000,102000,0.01,,Hist,09/30/2012
JOHNSON & JOHNSON,JNJ,Common,5415,-6366,373000,-423000,0.01,,Hist,09/30/2012
PIONEER NATURAL RESOURCES CO,PXD,Common,3000,-400,313000,13000,0.00,,Hist,09/30/2012
"Merck & Co., Inc.",MRK,COM,6486,-1100,292000,-25000,0.00,,Hist,09/30/2012
ANGLO AMERICAN PLC,AAUKF,Common,9500,-500,279000,-49000,0.00,,Hist,09/30/2012
BARRY CALLEBAUT AG,BYCBF,Common,300,0,279000,6000,0.00,,Hist,09/30/2012
3M CO,MMM,Common,2975,-1000,275000,-81000,0.00,,Hist,09/30/2012
IMPERIAL TOBACCO GROUP PLC,ITYBF,Common,7400,0,274000,-11000,0.00,,Hist,09/30/2012
ROCHE HOLDING LTD,RHHBY,Common,1425,-25,266000,15000,0.00,,Hist,09/30/2012
BP PLC,BP,SPONSORED ADR,6126,-2161,259000,-77000,0.00,,Hist,09/30/2012
SCHIBSTED A/S,SBSNF,Common,6587,0,252000,39000,0.00,,Hist,09/30/2012
AT&T CORP,T,Common,6575,-200,248000,6000,0.00,,Hist,09/30/2012
SPDR S&P 500 ETF TRUST,SPY,Common,1700,1700,245000,245000,0.00,,Hist,09/30/2012
DANAHER CORP /DE/,DHR,Common,4151,-900,229000,-34000,0.00,0.00,Hist,09/30/2012
SCOTTS MIRACLE-GRO CO,SMG,CL A,5200,0,226000,12000,0.00,,Hist,09/30/2012
MONSANTO CO /NEW/,MON,Common,2476,0,225000,20000,0.00,,Hist,09/30/2012
HEARTLAND EXPRESS INC,HTLD,Common,16699,-200,223000,-19000,0.00,,Hist,09/30/2012
NORTHERN TRUST CORP,NTRS,Common,4500,0,209000,2000,0.00,,Hist,09/30/2012
SUSQUEHANNA BANCSHARES INC,SUSQ,Common,19581,0,205000,4000,0.00,,Hist,09/30/2012
AES CORP,AES/PC,CV 6.75%,3500,0,175000,3000,0.00,,Hist,09/30/2012
ALLEGHANY CORP /DE,Y,Common,465,0,160000,2000,0.00,,Hist,09/30/2012
YUM BRANDS INC,YUM,Common,2200,0,146000,4000,0.00,,Hist,09/30/2012
UNION PACIFIC CORP,UNP,Common,1150,0,137000,0,0.00,,Hist,09/30/2012
SUNCOR ENERGY INC,SU,COM,4000,0,131000,15000,0.00,,Hist,09/30/2012
HOME DEPOT INC,HD,Common,2130,0,129000,16000,0.00,,Hist,09/30/2012
GENERAL ELECTRIC CO,GE,Common,5501,0,125000,10000,0.00,,Hist,09/30/2012
