NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE,SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE
Eaton Vance Sr Income TR SF,SH BEN INT,27826s103,1722,275982,SH,,SOLE,,275982,0,0
Pimco High Yield Fun-Instl,SH BEN INT,693390841,102,11116,SH,,SOLE,,0,0,11116
Templeton Global Bond FD,SH BEN INT,880208400,230,18537,SH,,SOLE,,18537,0,0
Abbott Labs,COM,002824100,3845,85400,SH,,SOLE,,83400,0,2000
AbbVie Inc,COM,00287Y109,5675,86718,SH,,SOLE,,83400,0,3318
Altria Group Inc,COM,02209s103,342129,6943963,SH,,SOLE,,6639354,0,304608
American Express,COM,025816109,11909,127999,SH,,SOLE,,106289,0,21710
American Intl Group Inc,COM,026874784,336,6000,SH,,SOLE,,6000,0,0
Anheuser-Busch InBev ADR,COM,03524a108,578145,5147302,SH,,SOLE,,4878380,0,268922
Bank Amer Corp,COM,060505104,886,49500,SH,,SOLE,,48500,0,1000
BB&T Corp,COM,054937107,1628,41860,SH,,SOLE,,41860,0,0
Berkshire Hathaway Inc Cl A,COM,084670108,1143560,5060,SH,,SOLE,,4765,0,295
Berkshire Hathaway Inc Cl B,COM,084670702,367731,2449094,SH,,SOLE,,2279621,0,169473
BP PLC ADR,COM,055622104,302,7925,SH,,SOLE,,7925,0,0
British Amern Tob PLC ADR,COM,110448107,1494,13855,SH,,SOLE,,13855,0,0
Brown-Forman Corp Cl A,COM,115637100,247218,2816975,SH,,SOLE,,2684748,0,132227
Brown-Forman Corp Cl B,COM,115637209,37494,426850,SH,,SOLE,,391114,0,35736
Carlisle Inc,COM,142339100,316,3500,SH,,SOLE,,3500,0,0
Centerstate BKS FLA Inc,COM,15201p109,131,11004,SH,,SOLE,,11004,0,0
Chevron Corp,COM,166764100,5007,44630,SH,,SOLE,,43530,0,1100
CIE Financiere Richemont-Unsp,COM,204319107,1683,188300,SH,,SOLE,,188300,0,0
Coca-Cola,COM,191216100,8611,203967,SH,,SOLE,,170817,0,33150
Comcast Corp New Cl A,COM,20030n101,2096,36131,SH,,SOLE,,36131,0,0
Comcast Corp Special Cl A,COM,20030n200,267492,4646790,SH,,SOLE,,4379907,0,266883
Conocophillips,COM,20825c104,577,8356,SH,,SOLE,,7756,0,600
Costco Whsl Corp,COM,22160k105,802,5655,SH,,SOLE,,5655,0,0
Crane,COM,224399105,9871,168152,SH,,SOLE,,149142,0,19010
Danone ADR,COM,23636T100,2666,202350,SH,,SOLE,,201100,0,1250
Diageo PLC Sponsored ADR,COM,25243q205,49430,433253,SH,,SOLE,,399421,0,33832
Disney Walt Productions,COM,254687106,622,6600,SH,,SOLE,,6600,0,0
Dover Corp,COM,260003108,5433,75756,SH,,SOLE,,64856,0,10900
Du Pont E I De Nemours,COM,263534109,2651,35852,SH,,SOLE,,35852,0,0
Exxon Mobil Corp,COM,30231g102,14978,162014,SH,,SOLE,,151542,0,10472
Fomento Economico Mex Sp ADR,COM,344419106,9484,107740,SH,,SOLE,,91465,0,16275
Fulton Finl Corp,COM,360271100,664,53688,SH,,SOLE,,41688,0,12000
General Dynamics Corp,COM,369550108,413,3000,SH,,SOLE,,3000,0,0
General Electric,COM,369604103,295,11661,SH,,SOLE,,11661,0,0
Goldman Sachs Group Inc,COM,38141g104,3657,18868,SH,,SOLE,,18268,0,600
Google Inc Cl A,COM,38259p508,642,1209,SH,,SOLE,,1159,0,50
Google Inc Cl C,COM,38259p706,615,1169,SH,,SOLE,,1119,0,50
Graham Holdings Co,COM,384637104,51308,59404,SH,,SOLE,,56796,0,2608
Heartland Express Inc,COM,422347104,392,14499,SH,,SOLE,,12499,0,2000
Heineken NV Spons ADR,COM,423012301,1852,51937,SH,,SOLE,,51937,0,0
Herman Miller Inc,COM,600544100,9806,333204,SH,,SOLE,,296354,0,36850
Hormel Foods Corp,COM,440452100,5593,107357,SH,,SOLE,,91763,0,15594
I B M,COM,459200101,1580,9849,SH,,SOLE,,9849,0,0
Lamar Advertising Co-A,COM,512816109,797,14860,SH,,SOLE,,14860,0,0
Markel Corp,COM,570535104,11281,16521,SH,,SOLE,,14816,0,1705
Martin Marietta Materials,COM,573284106,225926,2047918,SH,,SOLE,,1931754,0,116164
Mastercard Inc Cl A,COM,57636q104,860073,9982281,SH,,SOLE,,9442826,0,539455
Mattel Inc,COM,577081102,205,6625,SH,,SOLE,,5125,0,1500
McCormick Inc,COM,579780206,3177,42755,SH,,SOLE,,35955,0,6800
McDonalds Corp,COM,580135101,344,3670,SH,,SOLE,,3670,0,0
Merck Inc,COM,58933Y105,246,4336,SH,,SOLE,,3536,0,800
Microsoft Corp,COM,594918104,2766,59550,SH,,SOLE,,58100,0,1450
Nestle SA-Spons ADR,COM,641069406,1129079,15379148,SH,,SOLE,,14567217,0,811931
Northern Trust Corp,COM,665859104,231,3432,SH,,SOLE,,3432,0,0
Oracle Corp,COM,68389x105,450,10000,SH,,SOLE,,10000,0,0
Outfront Media Inc,COM,69007j106,334,12453,SH,,SOLE,,12453,0,0
