gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,costat,ggroup,gind,gsector,gsubind
35907,20191231,2019,INDL,C,D,STD,CIIC,USD,A,,,,
35908,20191231,2019,INDL,C,D,STD,HCCO,USD,A,,,,
35909,20181231,2018,INDL,C,D,STD,KLR,USD,A,4510,451030,45,45103010
35916,20191231,2019,INDL,C,D,STD,UDEC,USD,A,,,,
35917,20191231,2019,INDL,C,D,STD,PDEC,USD,A,,,,
35918,20191231,2019,INDL,C,D,STD,BDEC,USD,A,,,,
35919,20191231,2019,INDL,C,D,STD,TPIF,USD,A,,,,
35920,20191231,2019,INDL,C,D,STD,TPSC,USD,A,,,,
35922,20171231,2017,INDL,C,D,STD,SPT,USD,A,4510,451030,45,45103010
35923,20171231,2017,INDL,C,D,STD,YGMZ,USD,A,2030,203040,20,20304020
35931,20191231,2019,INDL,C,D,STD,URNM,USD,A,,,,
35932,20191231,2019,INDL,C,D,STD,AFSM,USD,A,,,,
35933,20191231,2019,INDL,C,D,STD,AFMC,USD,A,,,,
35934,20191231,2019,INDL,C,D,STD,AFLG,USD,A,,,,
35937,20191231,2019,INDL,C,D,STD,BBIN,USD,A,,,,
35943,20191231,2019,INDL,C,D,STD,KDFI,USD,A,,,,
35958,20171231,2017,INDL,C,D,STD,ADTX,USD,A,3520,352010,35,35201010
35959,20171231,2017,INDL,C,D,STD,UK,USD,A,6010,601020,60,60102020
35966,20191231,2019,INDL,C,D,STD,RPAR,USD,A,,,,
35967,20171231,2017,INDL,C,D,STD,GRIL,USD,A,2530,253010,25,25301040
35968,20191231,2019,INDL,C,D,STD,IQSI,USD,A,,,,
35969,20191231,2019,INDL,C,D,STD,IQSU,USD,A,,,,
35977,20191231,2019,INDL,C,D,STD,SPUS,USD,A,,,,
35978,20141231,2014,INDL,C,D,STD,ARNC,USD,A,1510,151040,15,15104010
35981,20191231,2019,INDL,C,D,STD,RAFE,USD,A,,,,
35986,20191231,2019,INDL,C,D,STD,FLSP,USD,A,,,,
35994,20171231,2017,INDL,C,D,STD,MKD,USD,A,2550,255020,25,25502020
36003,20181231,2018,INDL,C,D,STD,OBLG,USD,A,4510,451030,45,45103010
36005,20181231,2018,INDL,C,D,STD,HFEN,USD,A,6010,601020,60,60102030
36006,20191231,2019,INDL,C,D,STD,SCVX,USD,A,,,,
36009,20191231,2019,INDL,C,D,STD,JOYY,USD,A,,,,
36010,20191231,2019,INDL,C,D,STD,SPSK,USD,A,,,,
36011,20191231,2019,INDL,C,D,STD,GBDV,USD,A,,,,
36014,20181231,2018,INDL,C,D,STD,NRBO,USD,A,3520,352010,35,35201010
36016,20191231,2019,INDL,C,D,STD,GNRS,USD,A,,,,
36017,20171031,2017,INDL,C,D,STD,TIRX,USD,A,4030,403010,40,40301010
36018,20170930,2017,INDL,C,D,STD,3336B,USD,A,3010,301010,30,30101020
36023,20171231,2017,INDL,C,D,STD,AHI,USD,A,3030,303020,30,30302010
36024,20191231,2019,INDL,C,D,STD,NBAC,USD,A,,,,
36025,20171231,2017,INDL,C,D,STD,ONEM,USD,A,3510,351020,35,35102015
36028,20171231,2017,INDL,C,D,STD,ARQT,USD,A,3520,352010,35,35201010
36046,20191231,2019,INDL,C,D,STD,IPV,USD,A,,,,
36048,20171231,2017,INDL,C,D,STD,LIZI,USD,A,5020,502020,50,50202010
36049,20141231,2014,INDL,C,D,STD,PPD,USD,A,3520,352030,35,35203010
36050,20171231,2017,INDL,C,D,STD,CSPR,USD,A,2520,252010,25,25201020
36051,20171231,2017,INDL,C,D,STD,SDGR,USD,A,3510,351030,35,35103010
