gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,costat,ggroup,gind,gsector,gsubind
1004,20000531,1999,INDL,C,D,STD,AIR,USD,A,2010,201010,20,20101010
1010,20001231,2000,INDL,C,D,STD,4165A,USD,I,2030,203040,20,20304010
1013,20001031,2000,INDL,C,D,STD,ADCT.1,USD,I,4520,452010,45,45201020
1019,20001231,2000,INDL,C,D,STD,AFAP,USD,I,2020,202010,20,20201030
1021,20000630,2000,INDL,C,D,STD,IWKS,USD,I,3510,351010,35,35101010
1034,20001231,2000,INDL,C,D,STD,ALO.2,USD,I,3520,352020,35,35202010
1036,20001231,2000,INDL,C,D,STD,UDI.,USD,I,2010,201060,20,20106020
1037,20000331,1999,INDL,C,D,STD,AMCM.,USD,I,4520,452010,45,45201020
1038,20000331,1999,INDL,C,D,STD,AEN.2,USD,I,2540,254010,25,25401030
1045,20001231,2000,INDL,C,D,STD,AAL,USD,A,2030,203020,20,20302010
1048,20001231,2000,INDL,C,D,STD,4267A,USD,I,1010,101020,10,10102040
1050,20001231,2000,INDL,C,D,STD,CECE,USD,A,2020,202010,20,20201050
1056,20000630,2000,INDL,C,D,STD,ARXX,USD,I,4520,452030,45,45203010
1062,20001130,2000,FS,C,D,STD,ASA,USD,A,4020,402030,40,40203010
1072,20000331,1999,INDL,C,D,STD,AVX,USD,I,4520,452030,45,45203015
1075,20001231,2000,INDL,C,D,STD,PNW,USD,A,5510,551010,55,55101010
1076,20001231,2000,INDL,C,D,STD,AAN,USD,A,2550,255040,25,25504060
1078,20001231,2000,INDL,C,D,STD,ABT,USD,A,3510,351010,35,35101010
1081,20001231,2000,INDL,C,D,STD,ABY.2,CAD,I,1510,151050,15,15105020
1082,20000430,1999,INDL,C,D,STD,SERV.1,USD,I,2020,202010,20,20201050
1084,20001231,2000,INDL,C,D,STD,WDDD,USD,A,5020,502030,50,50203010
1094,20000630,2000,INDL,C,D,STD,ACETQ,USD,A,3510,351020,35,35102010
1095,20001231,2000,INDL,C,D,STD,AK,USD,I,2540,254010,25,25401020
1096,20001231,2000,INDL,C,D,STD,MRCBF,CAD,A,6010,601020,60,60102010
1097,20001231,2000,INDL,C,D,STD,ACMTA,USD,A,4030,403010,40,40301040
1099,20000630,2000,INDL,C,D,STD,ACEE,USD,I,2010,201040,20,20104010
1104,20001231,2000,INDL,C,D,STD,ACU,USD,A,2020,202010,20,20201060
1107,20001231,2000,INDL,C,D,STD,2675B,USD,I,2550,255010,25,25501010
1109,20001231,2000,INDL,C,D,STD,AHIX,USD,I,2520,252020,25,25202010
1111,20000331,1999,INDL,C,D,STD,ATVI.1,USD,I,4510,451030,45,45103030
1115,20000930,2000,INDL,C,D,STD,ADAC.,USD,I,3510,351010,35,35101010
1117,20001231,2000,INDL,C,D,STD,BKTI,USD,A,4520,452010,45,45201020
1119,20001231,2000,INDL,C,D,STD,ADX,USD,A,,,,
1121,20001231,2000,INDL,C,D,STD,AE,USD,A,1010,101020,10,10102030
1148,20000930,2000,INDL,C,D,STD,ADV.2,USD,I,4020,402010,40,40201020
1154,20001231,2000,INDL,C,D,STD,AERS.,USD,I,2010,201060,20,20106020
1161,20001231,2000,INDL,C,D,STD,AMD,USD,A,4530,453010,45,45301020
1164,20001231,2000,INDL,C,D,STD,MCIP,USD,I,5010,501010,50,50101020
1165,20000930,2000,INDL,C,D,STD,BFTC,USD,I,2030,203050,20,20305010
1166,20001231,2000,INDL,C,D,STD,ASMIY,USD,A,4530,453010,45,45301010
1173,20000131,1999,INDL,C,D,STD,AIM.1,USD,I,2010,201010,20,20101010
1177,20001231,2000,FS,C,D,STD,AET,USD,I,3510,351020,35,35102030
1183,20000131,1999,INDL,C,D,STD,IDAI,USD,I,2540,254010,25,25401030
1186,20001231,2000,INDL,C,D,STD,AEM,USD,A,1510,151040,15,15104030
1193,20000630,2000,INDL,C,D,STD,1900B,USD,I,2550,255040,25,25504040
1209,20000930,2000,INDL,C,D,STD,APD,USD,A,1510,151010,15,15101040
1210,20000331,1999,INDL,C,D,STD,AIRT,USD,A,2030,203010,20,20301010
1213,20001231,2000,INDL,C,D,STD,ABF,USD,I,2030,203010,20,20301010
1224,20000930,2000,INDL,C,D,STD,EGN1,USD,A,5510,551020,55,55102010
1225,20001231,2000,INDL,C,D,STD,SO1,USD,A,5510,551010,55,55101010
1228,20000630,2000,INDL,C,D,STD,ALAN,USD,A,5510,551040,55,55104010
1230,20001231,2000,INDL,C,D,STD,ALK,USD,A,2030,203020,20,20302010
1234,20001231,2000,INDL,C,D,STD,ATRI,USD,A,3510,351010,35,35101020
1238,20001231,2000,INDL,C,D,STD,AOG.3,CAD,I,1010,101020,10,10102020
1239,20000930,2000,INDL,C,D,STD,ACV.1,USD,I,3030,303020,30,30302010
1240,20000131,1999,INDL,C,D,STD,ABS.1,USD,I,3010,301010,30,30101030
1243,20001231,2000,INDL,C,D,STD,AL.1,USD,I,1510,151040,15,15104010
1244,20000531,1999,INDL,C,D,STD,ALCD.,USD,I,3520,352020,35,35202010
1246,20000930,2000,INDL,C,D,STD,IKN,USD,I,2020,202010,20,20201060
1254,20001231,2000,INDL,C,D,STD,MATX,USD,A,2030,203030,20,20303010
1257,20001231,2000,INDL,C,D,STD,ALX,USD,A,6010,601010,60,60101070
1258,20001231,2000,INDL,C,D,STD,CGYNQ,USD,I,1010,101020,10,10102020
1259,20000731,2000,INDL,C,D,STD,ACEL.,USD,I,3520,352010,35,35201010
1262,20001231,2000,INDL,C,D,STD,AGMJF,CAD,A,2030,203030,20,20303010
1263,20001231,2000,INDL,C,D,STD,0065A,CAD,A,1510,151040,15,15104050
1266,20000831,2000,INDL,C,D,STD,ALCO,USD,A,3020,302020,30,30202010
1272,20000630,2000,INDL,C,D,STD,ATPT,USD,A,,,,
1274,20001231,2000,INDL,C,D,STD,Y,USD,A,4030,403010,40,40301050
1279,20001231,2000,INDL,C,D,STD,AYE,USD,I,5510,551010,55,55101010
1281,20001231,2000,INDL,C,D,STD,ALN.2,USD,I,4520,452010,45,45201020
1283,20001231,2000,INDL,C,D,STD,AORGB,USD,I,4520,452010,45,45201020
1300,20001231,2000,INDL,C,D,STD,HON,USD,A,2010,201050,20,20105010
1308,20001231,2000,INDL,C,D,STD,ALY,USD,I,1010,101010,10,10101020
1318,20001231,2000,INDL,C,D,STD,AT.2,USD,I,5010,501020,50,50102010
1324,20000331,1999,INDL,C,D,STD,SCHR.1,USD,I,2020,202010,20,20201050
1327,20000331,1999,INDL,C,D,STD,SWKS,USD,A,4530,453010,45,45301020
1331,20001231,2000,INDL,C,D,STD,APNI,USD,I,2010,201040,20,20104010
1334,20001231,2000,INDL,C,D,STD,NQLIQ,USD,I,4510,451020,45,45102010
1336,20001231,2000,INDL,C,D,STD,AT2,USD,I,5010,501010,50,50101020
1352,20121231,2012,INDL,C,D,STD,GYLD,USD,A,,,,
1356,20001231,2000,INDL,C,D,STD,AA.3,USD,I,1510,151040,15,15104010
1359,20001231,2000,INDL,C,D,STD,AZA.1,USD,I,3520,352020,35,35202010
1360,20000331,1999,INDL,C,D,STD,SNTO,USD,I,4510,451020,45,45102010
1363,20000731,2000,INDL,C,D,STD,BSWY,USD,I,2550,255040,25,25504040
1367,20000630,2000,INDL,C,D,STD,3AMBEQ,USD,I,1010,101020,10,10102020
1372,20000831,2000,INDL,C,D,STD,AICOQ,USD,I,2510,251010,25,25101010
1380,20001231,2000,INDL,C,D,STD,HES,USD,A,1010,101020,10,10102020
1382,20001231,2000,INDL,C,D,STD,LCC,USD,I,2030,203020,20,20302010
1388,20001231,2000,INDL,C,D,STD,AMR1,USD,A,2030,203020,20,20302010
1393,20000331,1999,INDL,C,D,STD,UHAL,USD,A,2030,203040,20,20304020
1397,20001231,2000,INDL,C,D,STD,ABLT,USD,A,1510,151010,15,15101050
1408,20001231,2000,INDL,C,D,STD,BEAM.2,USD,I,3020,302010,30,30201020
1410,20001031,2000,INDL,C,D,STD,ABM,USD,A,2020,202010,20,20201050
1414,20001231,2000,INDL,C,D,STD,PRI,USD,A,4030,403010,40,40301020
1417,20000630,2000,INDL,C,D,STD,VBF,USD,A,,,,
1418,20001231,2000,INDL,C,D,STD,TFHIZ,USD,I,4020,402010,40,40201010
1429,20000831,2000,INDL,C,D,STD,2388B,USD,I,3020,302020,30,30202010
1439,20001231,2000,INDL,C,D,STD,ECOL,USD,A,2020,202010,20,20201050
1440,20001231,2000,INDL,C,D,STD,AEP,USD,A,5510,551010,55,55101010
1441,20000731,2000,INDL,C,D,STD,CMQ,USD,I,1510,151040,15,15104010
1444,20000731,2000,INDL,C,D,STD,AVCS,USD,I,2530,253010,25,25301010
1447,20001231,2000,INDL,C,D,STD,AXP,USD,A,4020,402020,40,40202010
1448,20001231,2000,INDL,C,D,STD,AXP1,USD,A,4020,402020,40,40202010
1449,20001231,2000,FS,C,D,STD,AFL,USD,A,4030,403010,40,40301020
1450,20001231,2000,INDL,C,D,STD,2551A,USD,I,4020,402020,40,40202010
1465,20001231,2000,INDL,C,D,STD,AGC.1,USD,I,4030,403010,40,40301020
1468,20000229,1999,INDL,C,D,STD,AM.1,USD,I,2520,252010,25,25201050
1478,20001231,2000,INDL,C,D,STD,WYE,USD,I,3520,352020,35,35202010
1487,20001231,2000,INDL,C,D,STD,AIG,USD,A,4030,403010,40,40301030
1491,20001231,2000,INDL,C,D,STD,HAIPF,USD,A,1510,151030,15,15103020
1496,20001231,2000,INDL,C,D,STD,ALGI,USD,I,2020,202010,20,20201060
1500,20001231,2000,INDL,C,D,STD,AMSY,USD,I,4510,451020,45,45102010
1507,20121231,2012,INDL,C,D,STD,HYEM,USD,A,,,,
1511,20000831,2000,INDL,C,D,STD,TEEE.,USD,I,4510,451010,45,45101010
1518,20000930,2000,INDL,C,D,STD,HIST,USD,I,2530,253020,25,25302020
1523,20001231,2000,INDL,C,D,STD,AMAC,USD,I,3510,351020,35,35102015
1526,20001231,2000,INDL,C,D,STD,ANAT,USD,A,4030,403010,40,40301030
1530,20001231,2000,INDL,C,D,STD,3ANUCE,USD,I,2020,202010,20,20201050
1533,20000930,2000,INDL,C,D,STD,APFC,USD,I,1510,151010,15,15101050
1539,20001231,2000,INDL,C,D,STD,AMPH.1,USD,I,4030,403010,40,40301040
1545,20001231,2000,INDL,C,D,STD,ARL,USD,A,6010,601020,60,60102020
1554,20000331,1999,INDL,C,D,STD,ASEI,USD,I,2010,201010,20,20101010
1559,20001231,2000,INDL,C,D,STD,AMS,USD,A,3510,351020,35,35102015
1562,20000430,1999,INDL,C,D,STD,AMSWA,USD,A,4510,451030,45,45103010
1567,20001231,2000,INDL,C,D,STD,TT.2,USD,I,2010,201020,20,20102010
1577,20000630,2000,INDL,C,D,STD,AMK.2,USD,I,4520,452030,45,45203010
1581,20001231,2000,INDL,C,D,STD,T.2,USD,I,5010,501010,50,50101020
1585,20001231,2000,INDL,C,D,STD,AVD,USD,A,1510,151010,15,15101030
1587,20001231,2000,INDL,C,D,STD,AWK.1,USD,I,5510,551040,55,55104010
1593,20001130,2000,INDL,C,D,STD,AMN.2,USD,I,2010,201020,20,20102010
1594,20000131,1999,INDL,C,D,STD,AMESQ,USD,I,2550,255030,25,25503020
1598,20001231,2000,INDL,C,D,STD,AME,USD,A,2010,201040,20,20104010
1602,20001231,2000,INDL,C,D,STD,AMGN,USD,A,3520,352010,35,35201010
1606,20001231,2000,INDL,C,D,STD,AMTA,USD,I,2010,201060,20,20106020
1611,20001231,2000,INDL,C,D,STD,AMPLQ,USD,I,2010,201070,20,20107010
1613,20001231,2000,INDL,C,D,STD,AP,USD,A,1510,151040,15,15104050
1618,20000430,1999,INDL,C,D,STD,AXR,USD,A,2020,202010,20,20201070
1619,20001231,2000,INDL,C,D,STD,ASO.1,USD,I,4010,401010,40,40101015
1627,20000930,2000,INDL,C,D,STD,ANCPA,USD,I,4510,451020,45,45102020
1632,20001031,2000,INDL,C,D,STD,ADI,USD,A,4530,453010,45,45301020
1633,20000731,2000,INDL,C,D,STD,ALOG,USD,I,3510,351010,35,35101010
1634,20000630,2000,INDL,C,D,STD,ANLY,USD,I,4510,451020,45,45102010
1635,20000630,2000,INDL,C,D,STD,ANEN,USD,I,4520,452010,45,45201020
1641,20000229,1999,INDL,C,D,STD,MOCC,USD,I,5010,501010,50,50101010
1642,20000930,2000,INDL,C,D,STD,CRAN,USD,I,2010,201060,20,20106020
1650,20001231,2000,INDL,C,D,STD,ANDR,USD,A,4520,452030,45,45203020
1651,20000930,2000,INDL,C,D,STD,ANDW,USD,I,4520,452010,45,45201020
1655,20000131,1999,INDL,C,D,STD,AGL.1,USD,I,2020,202010,20,20201030
1656,20000331,1999,INDL,C,D,STD,IQUN,USD,I,3510,351010,35,35101010
1659,20001231,2000,INDL,C,D,STD,ANDE,USD,A,3010,301010,30,30101020
1661,20001231,2000,INDL,C,D,STD,NBR,USD,A,1010,101010,10,10101010
1663,20001231,2000,INDL,C,D,STD,BUD.2,USD,I,3020,302010,30,30201010
1669,20001231,2000,INDL,C,D,STD,BIW,USD,I,5510,551040,55,55104010
1676,20100630,2010,INDL,C,D,STD,MXLP,USD,I,1010,101020,10,10102030
1677,20001231,2000,INDL,C,D,STD,KTO,USD,I,2520,252020,25,25202010
1678,20001231,2000,INDL,C,D,STD,APA,USD,A,1010,101020,10,10102020
1681,20000331,1999,INDL,C,D,STD,ASOE,USD,I,1510,151040,15,15104020
1682,20001231,2000,INDL,C,D,STD,APAGF,USD,I,1010,101020,10,10102020
1686,20000229,1999,INDL,C,D,STD,APOG,USD,A,2010,201020,20,20102010
1689,20001231,2000,INDL,C,D,STD,AEP1,USD,A,5510,551010,55,55101010
1690,20000930,2000,INDL,C,D,STD,AAPL,USD,A,4520,452020,45,45202030
1704,20001031,2000,INDL,C,D,STD,AMAT,USD,A,4530,453010,45,45301010
1705,20000430,1999,INDL,C,D,STD,SSHZ,USD,I,2030,203030,20,20303010
1706,20000831,2000,INDL,C,D,STD,EPAC,USD,A,2010,201060,20,20106020
1712,20001231,2000,INDL,C,D,STD,TREC,USD,A,1510,151010,15,15101010
1715,20001031,2000,INDL,C,D,STD,AROBF,CAD,I,2530,253020,25,25302020
1718,20000630,2000,INDL,C,D,STD,AOXY,USD,A,6010,601020,60,60102020
1722,20000630,2000,INDL,C,D,STD,ADM,USD,A,3020,302020,30,30202010
1728,20001231,2000,INDL,C,D,STD,ARDNA,USD,I,3010,301010,30,30101030
1738,20001231,2000,INDL,C,D,STD,WM1,USD,I,4020,402010,40,40201010
1742,20001231,2000,INDL,C,D,STD,PNW1,USD,A,5510,551010,55,55101010
1743,20001231,2000,INDL,C,D,STD,ARCB,USD,A,2030,203040,20,20304020
1745,20001231,2000,INDL,C,D,STD,ETR1,USD,A,5510,551010,55,55101010
1762,20001231,2000,INDL,C,D,STD,3ACKH,USD,I,2010,201020,20,20102010
1766,20001231,2000,INDL,C,D,STD,AIND,USD,I,2030,203040,20,20304020
1773,20001231,2000,INDL,C,D,STD,ARW,USD,A,4520,452030,45,45203030
1783,20001130,2000,INDL,C,D,STD,ARTW,USD,A,2010,201060,20,20106015
1790,20000331,1999,INDL,C,D,STD,AB.H,CAD,A,1510,151040,15,15104020
1794,20000930,2000,INDL,C,D,STD,ASH,USD,A,1510,151010,15,15101050
1797,20000630,2000,INDL,C,D,STD,ASPN.1,USD,I,1010,101020,10,10102020
1814,20001031,2000,INDL,C,D,STD,ASTO,USD,I,2520,252010,25,25201040
1819,20000331,1999,INDL,C,D,STD,NWXJ,USD,I,2010,201040,20,20104010
1820,20000131,1999,INDL,C,D,STD,ALOT,USD,A,4520,452020,45,45202030
1822,20001231,2000,INDL,C,D,STD,ATCCQ,USD,I,4520,452020,45,45202020
1823,20001231,2000,INDL,C,D,STD,ATRO,USD,A,2010,201010,20,20101010
1828,20001231,2000,INDL,C,D,STD,ACLLF,CAD,A,5510,551030,55,55103010
1837,20000930,2000,INDL,C,D,STD,SO7,USD,A,5510,551020,55,55102010
1856,20001231,2000,INDL,C,D,STD,ATMR.1,USD,I,1510,151040,15,15104030
1858,20101231,2010,INDL,C,D,STD,CEVL,USD,I,2030,203010,20,20301010
1860,20000930,2000,INDL,C,D,STD,ATW,USD,I,1010,101010,10,10101010
1864,20000131,1999,INDL,C,D,STD,REX,USD,A,1010,101020,10,10102030
1866,20000531,1999,INDL,C,D,STD,AULT.,USD,I,2010,201040,20,20104010
1868,20000331,1999,INDL,C,D,STD,ASAM,USD,A,4030,403010,40,40301040
1874,20001231,2000,INDL,C,D,STD,AIFS,USD,I,4510,451010,45,45101010
1875,20000930,2000,INDL,C,D,STD,3ATRC,USD,I,4510,451030,45,45103020
1878,20000131,1999,INDL,C,D,STD,ADSK,USD,A,4510,451030,45,45103010
1884,20001231,2000,INDL,C,D,STD,DCAI,USD,I,3510,351020,35,35102015
1891,20000630,2000,INDL,C,D,STD,ADP,USD,A,4510,451020,45,45102020
1895,20000531,1999,INDL,C,D,STD,ABDR,USD,I,2530,253010,25,25301040
1902,20001231,2000,INDL,C,D,STD,DSIIQ,USD,I,3030,303020,30,30302010
1906,20001231,2000,INDL,C,D,STD,AVHI,USD,I,2520,252010,25,25201030
1913,20001231,2000,INDL,C,D,STD,AVY,USD,A,1510,151030,15,15103020
1914,20001231,2000,INDL,C,D,STD,AVL.1,USD,I,2010,201010,20,20101010
1919,20000630,2000,INDL,C,D,STD,AVT,USD,A,4520,452030,45,45203030
1920,20001231,2000,INDL,C,D,STD,AVP,USD,I,3030,303020,30,30302010
1926,20000229,1999,INDL,C,D,STD,AZZ,USD,A,2010,201040,20,20104020
1932,20001231,2000,INDL,C,D,STD,BTI,USD,A,3020,302030,30,30203010
1940,20000630,2000,INDL,C,D,STD,BIAC,USD,I,4520,452030,45,45203010
1943,20001231,2000,INDL,C,D,STD,BMMI,USD,I,2010,201040,20,20104010
1945,20000930,2000,INDL,C,D,STD,BOX.1,USD,I,1510,151010,15,15101040
1949,20000930,2000,INDL,C,D,STD,BRT,USD,A,6010,601010,60,60101060
1951,20000831,2000,INDL,C,D,STD,PRSNQ,USD,I,3510,351010,35,35101010
1956,20001231,2000,INDL,C,D,STD,MRR,USD,I,4040,404010,40,40401010
1968,20001231,2000,INDL,C,D,STD,BMI,USD,A,4520,452030,45,45203010
1969,20001231,2000,INDL,C,D,STD,BPMI,USD,I,1510,151050,15,15105020
1971,20001231,2000,INDL,C,D,STD,BZ.2,USD,I,1510,151010,15,15101050
1974,20001231,2000,INDL,C,D,STD,BKR.1,USD,I,2010,201030,20,20103010
1976,20001231,2000,INDL,C,D,STD,BHI,USD,I,1010,101010,10,10101020
1979,20001231,2000,INDL,C,D,STD,BCPC,USD,A,1510,151010,15,15101050
1981,20001231,2000,INDL,C,D,STD,BEZ,USD,I,2010,201040,20,20104010
1982,20001231,2000,INDL,C,D,STD,PTVCB,USD,A,4030,403010,40,40301040
1988,20001231,2000,INDL,C,D,STD,BLL,USD,A,1510,151030,15,15103010
1992,20001231,2000,INDL,C,D,STD,BTEK,USD,I,1510,151050,15,15105010
1995,20001231,2000,INDL,C,D,STD,CEG,USD,I,5510,551050,55,55105010
1998,20001231,2000,FS,C,D,STD,ONE.1,USD,I,4010,401010,40,40101010
2002,20001231,2000,INDL,C,D,STD,BPOP,USD,A,4010,401010,40,40101015
2005,20001231,2000,INDL,C,D,STD,BOH,USD,A,4010,401010,40,40101015
2006,20001231,2000,INDL,C,D,STD,BTEC.1,USD,I,4510,451020,45,45102010
2007,20001231,2000,INDL,C,D,STD,FBA,USD,I,4010,401010,40,40101010
2008,20001231,2000,INDL,C,D,STD,BDG.2,USD,I,2510,251010,25,25101020
2011,20001231,2000,INDL,C,D,STD,EMA1.,USD,I,5510,551010,55,55101010
2019,20001231,2000,INDL,C,D,STD,BK,USD,A,4020,402030,40,40203010
2025,20001231,2000,INDL,C,D,STD,BRE,USD,I,4040,404020,40,40402050
2028,20000930,2000,INDL,C,D,STD,VSIH,USD,I,2540,254010,25,25401010
2033,20000630,2000,INDL,C,D,STD,FCHDQ,USD,I,2520,252020,25,25202010
2034,20001231,2000,INDL,C,D,STD,BN.2,USD,I,2020,202010,20,20201010
2044,20001231,2000,INDL,C,D,STD,BCR,USD,I,3510,351010,35,35101010
2049,20001231,2000,INDL,C,D,STD,B,USD,A,2010,201060,20,20106020
2052,20000930,2000,INDL,C,D,STD,BRN,USD,A,1010,101020,10,10102020
2054,20001231,2000,INDL,C,D,STD,BRR.2,USD,I,1010,101020,10,10102020
2055,20001231,2000,INDL,C,D,STD,GOLD,USD,A,1510,151040,15,15104030
2058,20001231,2000,INDL,C,D,STD,BARR,USD,I,4520,452030,45,45203010
2060,20000331,1999,INDL,C,D,STD,BRTR,USD,I,4510,451020,45,45102010
2061,20001231,2000,INDL,C,D,STD,DFZ,USD,I,2520,252030,25,25203020
2070,20001231,2000,INDL,C,D,STD,3BASEA,USD,I,3510,351010,35,35101020
2073,20000331,1999,INDL,C,D,STD,ESTE.1,USD,I,1010,101020,10,10102020
2080,20001130,2000,INDL,C,D,STD,BSET,USD,A,2520,252010,25,25201020
2085,20001231,2000,INDL,C,D,STD,6583B,USD,I,3510,351010,35,35101020
2086,20001231,2000,INDL,C,D,STD,BAX,USD,A,3510,351010,35,35101010
2100,20001231,2000,INDL,C,D,STD,BRCOQ,USD,A,1010,101020,10,10102020
2101,20000630,2000,INDL,C,D,STD,AIT,USD,A,2010,201070,20,20107010
2109,20121231,2012,INDL,C,D,STD,CHSO,USD,A,1510,151040,15,15104030
2111,20000930,2000,INDL,C,D,STD,BDX,USD,A,3510,351010,35,35101010
2113,20000831,2000,INDL,C,D,STD,NICH,USD,A,2520,252030,25,25203010
2124,20001231,2000,INDL,C,D,STD,BELFB,USD,A,4520,452030,45,45203015
2128,20001231,2000,INDL,C,D,STD,4994B,USD,I,1010,101020,10,10102020
2130,20001231,2000,INDL,C,D,STD,3CRLH,USD,I,2520,252030,25,25203030
2136,20001231,2000,INDL,C,D,STD,VZ,USD,A,5010,501010,50,50101020
2137,20001231,2000,INDL,C,D,STD,BCE,CAD,A,5010,501010,50,50101020
2138,20001231,2000,INDL,C,D,STD,BLLI,USD,A,4510,451020,45,45102010
2141,20001231,2000,INDL,C,D,STD,BCE1,CAD,I,5010,501010,50,50101020
2142,20001231,2000,INDL,C,D,STD,VZ2,USD,I,5010,501010,50,50101020
2146,20001231,2000,INDL,C,D,STD,BLS,USD,I,5010,501010,50,50101020
2150,20001231,2000,INDL,C,D,STD,BLC,USD,I,2540,254010,25,25401020
2154,20001231,2000,INDL,C,D,STD,BMS,USD,I,1510,151030,15,15103020
2162,20001231,2000,INDL,C,D,STD,BENG,USD,A,1510,151040,15,15104020
2163,20000331,1999,INDL,C,D,STD,BNHN,USD,I,2530,253010,25,25301040
2169,20000930,2000,INDL,C,D,STD,BBC.1,USD,I,3510,351020,35,35102010
2176,20001231,2000,FS,C,D,STD,BRK.B,USD,A,4020,402010,40,40201030
2184,20000229,1999,INDL,C,D,STD,BBY,USD,A,2550,255040,25,25504020
2188,20000531,1999,INDL,C,D,STD,BEHP,USD,I,2010,201060,20,20106020
2189,20001231,2000,INDL,C,D,STD,3BHMSQ,USD,I,1510,151040,15,15104050
2193,20001231,2000,INDL,C,D,STD,BEV,USD,I,3510,351020,35,35102020
2204,20001231,2000,INDL,C,D,STD,NEGI,USD,I,1010,101020,10,10102020
2205,20000630,2000,INDL,C,D,STD,BSKT.,USD,I,2030,203020,20,20302010
2215,20001231,2000,INDL,C,D,STD,SMCO,USD,I,2010,201060,20,20106020
2220,20001231,2000,INDL,C,D,STD,BIO,USD,A,3520,352030,35,35203010
2222,20001231,2000,INDL,C,D,STD,SVNTQ,USD,I,3520,352010,35,35201010
2226,20001231,2000,INDL,C,D,STD,BGEN,USD,I,3520,352010,35,35201010
2230,20000531,1999,INDL,C,D,STD,5938B,USD,A,3510,351010,35,35101010
2236,20000531,1999,INDL,C,D,STD,3BTEL,USD,I,3510,351010,35,35101010
2237,20001231,2000,INDL,C,D,STD,SPEX.2,USD,I,2020,202020,20,20202020
2240,20000731,2000,INDL,C,D,STD,NIMU,USD,A,3510,351010,35,35101010
2246,20000229,1999,INDL,C,D,STD,BLSC,USD,I,3510,351010,35,35101010
2251,20001231,2000,INDL,C,D,STD,3MFLU,USD,I,3520,352030,35,35203010
2255,20001231,2000,INDL,C,D,STD,BDK,USD,I,2520,252010,25,25201040
2258,20000331,1999,INDL,C,D,STD,BBAN,USD,I,5010,501010,50,50101010
2259,20001231,2000,INDL,C,D,STD,BKH,USD,A,5510,551030,55,55103010
2264,20001231,2000,INDL,C,D,STD,LEXPQ,USD,I,2510,251010,25,25101020
2267,20000331,1999,INDL,C,D,STD,BLOCA,USD,I,3510,351010,35,35101020
2269,20000430,1999,INDL,C,D,STD,HRB,USD,A,2530,253020,25,25302020
2270,20001231,2000,INDL,C,D,STD,VAL,USD,A,1010,101010,10,10101010
2271,20001231,2000,INDL,C,D,STD,BLT,USD,I,2010,201060,20,20106020
2277,20000331,1999,INDL,C,D,STD,BRRE,USD,A,6010,601020,60,60102020
2282,20000430,1999,INDL,C,D,STD,BOBE,USD,I,3020,302020,30,30202030
2285,20001231,2000,INDL,C,D,STD,BA,USD,A,2010,201010,20,20101010
2290,20001231,2000,INDL,C,D,STD,OMX,USD,I,2550,255040,25,25504040
2295,20000630,2000,INDL,C,D,STD,BOLT.1,USD,I,1010,101010,10,10101020
2299,20001130,2000,INDL,C,D,STD,CDIC,USD,I,3510,351010,35,35101010
2302,20000430,1999,INDL,C,D,STD,KJFI,USD,I,4510,451010,45,45101010
2312,20001231,2000,INDL,C,D,STD,RHI,USD,A,2020,202020,20,20202010
2316,20001231,2000,INDL,C,D,STD,0141A,USD,A,1510,151010,15,15101020
2328,20001231,2000,INDL,C,D,STD,NST,USD,I,5510,551030,55,55103010
2329,20001231,2000,INDL,C,D,STD,EFU3,USD,I,5510,551020,55,55102010
2337,20001231,2000,INDL,C,D,STD,RFP,USD,A,1510,151050,15,15105020
2338,20001231,2000,INDL,C,D,STD,REXMY,USD,I,1510,151030,15,15103010
2340,20001231,2000,INDL,C,D,STD,ENTP,USD,I,2010,201020,20,20102010
2342,20000630,2000,INDL,C,D,STD,BWL.A,USD,A,2530,253010,25,25301030
2345,20000930,2000,INDL,C,D,STD,WEDC,USD,I,4530,453010,45,45301020
2346,20001231,2000,INDL,C,D,STD,BNE,USD,I,2020,202010,20,20201010
2352,20000731,2000,INDL,C,D,STD,BRC,USD,A,2020,202010,20,20201010
2369,20001231,2000,FS,C,D,STD,BAM,CAD,A,4020,402030,40,40203010
2381,20001231,2000,INDL,C,D,STD,BRER,USD,A,6010,601020,60,60102020
2390,20001031,2000,INDL,C,D,STD,BRID,USD,A,3020,302020,30,30202030
2393,20000630,2000,INDL,C,D,STD,BGG,USD,A,2010,201060,20,20106020
2396,20000331,1999,INDL,C,D,STD,VN.,CAD,I,3020,302010,30,30201020
2402,20000630,2000,INDL,C,D,STD,MSGI,USD,I,4520,452030,45,45203010
2403,20001231,2000,INDL,C,D,STD,BMY,USD,A,3520,352020,35,35202010
2406,20000630,2000,INDL,C,D,STD,CYSTQ,CAD,I,1510,151050,15,15105020
2408,20001231,2000,INDL,C,D,STD,TU,CAD,A,5010,501010,50,50101020
2410,20001231,2000,INDL,C,D,STD,BP,USD,A,1010,101020,10,10102010
2411,20000331,1999,INDL,C,D,STD,BTY10,USD,A,5010,501010,50,50101020
2433,20001231,2000,INDL,C,D,STD,BNSSA,USD,I,2010,201060,20,20106020
2435,20000430,1999,INDL,C,D,STD,BF.B,USD,A,3020,302010,30,30201020
2436,20000131,1999,INDL,C,D,STD,CAL,USD,A,2550,255040,25,25504010
